time	velocity	number_of_branches
2020.91794112415	2342.14408457637	232
2020.92399747411	2342.14406767809	232
2020.93005382407	2342.14405077522	232
2020.93611017403	2342.14403385323	232
2020.94216652399	2342.14401692643	232
2020.94822287395	2342.14399999505	232
2020.95427922391	2342.14398305909	232
2020.96033557387	2342.14396611853	232
2020.96639192383	2342.1439491734	232
2020.97244827379	2342.14393222365	232
2020.97850462375	2342.14391526932	232
2020.98456097371	2342.14389831041	232
2020.99061732367	2342.1438813469	232
2020.99667367364	2342.14386437879	232
2021.0027300236	2342.14384740611	232
2021.00878637356	2342.14383042881	232
2021.01484272352	2385.34081436409	234
2021.02089907348	2603.87746797208	236
2021.02695542344	2603.87746797208	236
2021.0330117734	2603.87746797208	236
2021.03906812336	2603.87746797208	236
2021.04512447332	2603.87746797208	236
2021.05118082328	2603.87746797208	236
2021.05723717324	2603.87746797208	236
2021.0632935232	2603.87746797208	236
2021.06934987316	2603.87746797208	236
2021.07540622312	2603.87746797208	236
2021.08146257308	2603.87746797208	236
2021.08751892304	2603.87746797208	236
2021.093575273	2603.87746797208	236
2021.09963162296	2603.87746797208	236
2021.10568797292	2603.87746797208	236
2021.11174432288	2603.87746797208	236
2021.11780067284	2603.87746797208	236
2021.1238570228	2603.87746797208	236
2021.12991337276	2603.87746797208	236
2021.13596972272	2603.87746797208	236
2021.14202607268	2603.87746797208	236
2021.14808242265	2603.87746797208	236
2021.15413877261	2603.87746797208	236
2021.16019512257	2603.87746797208	236
2021.16625147253	2603.87746797208	236
2021.17230782249	2603.87746797208	236
2021.17836417245	2603.87746797208	236
2021.18442052241	2603.87746797208	236
2021.19047687237	2603.87746797208	236
2021.19653322233	2603.87746797208	236
2021.20258957229	2603.87746797208	236
2021.20864592225	2603.87746797208	236
2021.21470227221	2603.87746797208	236
2021.22075862217	2603.87746797208	236
2021.22681497213	2603.87746797208	236
2021.23287132209	2603.87746797208	236
2021.23892767205	2603.87746797208	236
2021.24498402201	2603.87746797208	236
2021.25104037197	2603.87746797208	236
2021.25709672193	2603.87746797208	236
2021.26315307189	2603.87746797208	236
2021.26920942185	2603.87746797208	236
2021.27526577181	2603.87746797208	236
2021.28132212177	2603.87746797208	236
2021.28737847173	2603.87746797208	236
2021.29343482169	2603.87746797208	236
2021.29949117166	2603.87746797208	236
2021.30554752162	2603.87746797208	236
2021.31160387158	2603.87746797208	236
2021.31766022154	2603.87746797208	236
2021.3237165715	2603.87746797208	236
2021.32977292146	2603.87746797208	236
2021.33582927142	2603.87746797208	236
2021.34188562138	2603.87746797208	236
2021.34794197134	2603.87746797208	236
2021.3539983213	2603.87746797208	236
2021.36005467126	2603.87746797208	236
2021.36611102122	2603.87746797208	236
2021.37216737118	2603.87746797208	236
2021.37822372114	2603.87746797208	236
2021.3842800711	2603.87746797208	236
2021.39033642106	2603.87746797208	236
2021.39639277102	2603.87746797208	236
2021.40244912098	2603.87746797208	236
2021.40850547094	2603.87746797208	236
2021.4145618209	2603.87746797208	236
2021.42061817086	2603.87745714383	236
2021.42667452082	2603.87744564782	236
2021.43273087078	2603.87743415092	236
2021.43878722074	2612.65745618061	235
2021.4448435707	2622.84221508542	234
2021.45089992067	2622.84228468458	234
2021.45695627063	2622.84235424416	234
2021.46301262059	2633.03559165918	233
2021.46906897055	2633.03565270464	233
2021.47512532051	2642.88187492505	232
2021.48118167047	2642.88188227282	232
2021.48723802043	2642.88189060021	232
2021.49329437039	2655.90950457686	230
2021.49935072035	2655.90958590467	230
2021.50540707031	2655.90966720631	230
2021.51146342027	2655.90960353377	230
2021.51751977023	2666.2798568575	229
