# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Sep 13 12:04:54 CEST 2022 [seed=1663063478612]
# Alpha_DTA.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.NYC_counties.other	location.rates.other.NYC_counties	location.indicators.NYC_counties.other	location.indicators.other.NYC_counties	location.nonZeroRates	location.branchRates	location.treeLikelihood
0	-6611.084791664063	-1820.9877754043516	-4790.097016259711	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	-4790.097016259711
1000	-5553.3549919707475	-547.9449132991617	-5005.410078671585	0.30116519742703546	0.30116519742703396	0.8776555926376295	0.8912997669559048	1.0	1.0	2.0	0.0	-5005.410078671585
2000	-5556.508568092213	-602.8206626415399	-4953.6879054506735	0.3307499218338199	0.3307499218338196	1.420293852556144	1.3192874644087254	1.0	1.0	2.0	0.0	-4953.6879054506735
3000	-5552.268299637811	-557.9237018981529	-4994.344597739658	0.30739001868064586	0.30739001868064647	0.21152931562689367	0.19384966838205112	1.0	1.0	2.0	0.0	-4994.344597739658
4000	-5555.952325839829	-536.3306974783105	-5019.621628361519	0.29387964297917635	0.29387964297917835	1.5605225311200817	1.8696360854197345	1.0	1.0	2.0	0.0	-5019.621628361519
5000	-5558.1434925248195	-558.1274533291038	-5000.016039195716	0.30496740874397577	0.3049674087439736	2.576714272889253	2.446674860799249	1.0	1.0	2.0	0.0	-5000.016039195716
6000	-5555.682360790574	-528.2971542745046	-5027.38520651607	0.29016244396095636	0.2901624439609555	0.918946661907521	1.2511038918626878	1.0	1.0	2.0	0.0	-5027.38520651607
7000	-5554.044351540904	-547.62980935893	-5006.414542181974	0.30089212120088416	0.3008921212008817	0.9216668498353975	1.0297667725459678	1.0	1.0	2.0	0.0	-5006.414542181974
8000	-5552.971938743174	-569.9434334986914	-4983.028505244482	0.31350526395000433	0.3135052639500038	0.6446109162453382	0.6379949228399328	1.0	1.0	2.0	0.0	-4983.028505244482
9000	-5555.288737896811	-542.5891978408873	-5012.6995400559235	0.2976503103062073	0.2976503103062051	1.3257488631659056	1.492127394514802	1.0	1.0	2.0	0.0	-5012.6995400559235
10000	-5553.03942357731	-563.9687195114728	-4989.070704065837	0.31026575854741084	0.31026575854741184	0.6299473214933589	0.580578830385545	1.0	1.0	2.0	0.0	-4989.070704065837
11000	-5555.333506340254	-568.1586615031424	-4987.174844837112	0.31141931704399145	0.31141931704399156	1.5950399059416853	1.7035475005178067	1.0	1.0	2.0	0.0	-4987.174844837112
12000	-5556.75482842991	-566.2643954702016	-4990.490432959708	0.31036485168925465	0.3103648516892522	1.5256957657922734	1.7999500238071466	1.0	1.0	2.0	0.0	-4990.490432959708
13000	-5554.609097580058	-531.9635010836157	-5022.6455964964425	0.29227540220502174	0.29227540220502074	0.9819806145268519	1.004199832257619	1.0	1.0	2.0	0.0	-5022.6455964964425
14000	-5555.356623053548	-562.3749980022164	-4992.981625051331	0.30806139483225786	0.3080613948322571	1.7884495333163706	1.8449107237409408	1.0	1.0	2.0	0.0	-4992.981625051331
15000	-5556.5152594375795	-531.341240626152	-5025.174018811427	0.2908622488796888	0.2908622488796885	1.7823113810302271	2.1566432493036336	1.0	1.0	2.0	0.0	-5025.174018811427
16000	-5554.155840123735	-521.2986678174157	-5032.85717230632	0.2863737172069777	0.28637371720697485	0.9539028955400767	1.121517780396145	1.0	1.0	2.0	0.0	-5032.85717230632
17000	-5553.717965053244	-529.6912497913228	-5024.026715261922	0.2910599099837833	0.2910599099837815	0.9149049974210862	1.013881893919795	1.0	1.0	2.0	0.0	-5024.026715261922
18000	-5554.880540775319	-551.8735591395714	-5003.006981635747	0.3026014117566583	0.30260141175665783	1.4781348606273295	1.602494304947541	1.0	1.0	2.0	0.0	-5003.006981635747
19000	-5553.488084411561	-549.9496929503043	-5003.538391461257	0.3023093478234819	0.30230934782348434	0.792216380427861	0.89672470766481	1.0	1.0	2.0	0.0	-5003.538391461257
