# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Sep 13 11:31:08 CEST 2022 [seed=1663061462585]
# Iota_DTA.xml
state	location.rates.NYC_counties.other	location.rates.other.NYC_counties	location.indicators.NYC_counties.other	location.indicators.other.NYC_counties	location.nonZeroRates
0	1.0	1.0	1.0	1.0	2.0
1000	2.8791220335515297	0.5638519193024597	1.0	1.0	2.0
2000	2.1459358506203223	0.408594974915755	1.0	1.0	2.0
3000	1.351593449486322	0.263740205678489	1.0	1.0	2.0
4000	0.6862732799031961	0.12864293676947836	1.0	1.0	2.0
5000	0.05994320682867452	0.012211215565396614	1.0	1.0	2.0
6000	0.7795689086761761	0.15690140685115694	1.0	1.0	2.0
7000	0.9838468969625028	0.18440786612167134	1.0	1.0	2.0
8000	0.0680654598544256	0.014142943680305034	1.0	1.0	2.0
9000	3.467445842180441	0.701926938448434	1.0	1.0	2.0
10000	1.726898946529052	0.34206514460889526	1.0	1.0	2.0
11000	1.1917580762538416	0.24437679075231605	1.0	1.0	2.0
12000	1.0257676556847342	0.188335501146413	1.0	1.0	2.0
13000	1.5171548085691395	0.2625458749142221	1.0	1.0	2.0
14000	1.3212901777363173	0.24261733866209104	1.0	1.0	2.0
15000	2.1086322926108436	0.44688757195367357	1.0	1.0	2.0
16000	2.5842836473311652	0.5429108410645697	1.0	1.0	2.0
17000	1.501367524106825	0.3471172920966327	1.0	1.0	2.0
18000	0.7586377847767695	0.14936204909858938	1.0	1.0	2.0
19000	2.1548025662011185	0.4668784413552696	1.0	1.0	2.0
20000	2.2324027355842886	0.4329727738367585	1.0	1.0	2.0
21000	1.358532933535869	0.28904913950835825	1.0	1.0	2.0
22000	1.2265559015934413	0.2242252969683012	1.0	1.0	2.0
23000	1.1555199996384797	0.2425143802654874	1.0	1.0	2.0
24000	1.941458109393338	0.3605368447790097	1.0	1.0	2.0
25000	0.17162849857329168	0.03100005031450481	1.0	1.0	2.0
26000	2.744432573451522	0.5204081900815779	1.0	1.0	2.0
27000	1.3653379303163917	0.24533651201332193	1.0	1.0	2.0
28000	1.1209403721824687	0.20865808052237936	1.0	1.0	2.0
29000	4.405085874805976	0.7461447289271855	1.0	1.0	2.0
30000	2.2844077275250223	0.41747553142772115	1.0	1.0	2.0
31000	1.4078064461816457	0.24814624632721932	1.0	1.0	2.0
32000	2.525911051571514	0.5129613627591062	1.0	1.0	2.0
33000	0.2377117158539251	0.04566778896778277	1.0	1.0	2.0
34000	1.0005261236953389	0.16954545565374046	1.0	1.0	2.0
35000	1.0336752377659202	0.2231494087437503	1.0	1.0	2.0
36000	0.23895551732406262	0.045130149060514047	1.0	1.0	2.0
37000	1.9049119734334792	0.38260695308370773	1.0	1.0	2.0
38000	1.9601551846805494	0.39067362922328003	1.0	1.0	2.0
39000	1.100858123782103	0.1973324948305211	1.0	1.0	2.0
40000	2.081021575348806	0.4463786541089917	1.0	1.0	2.0
41000	1.889183167292693	0.3804507535428294	1.0	1.0	2.0
42000	0.8419799306088128	0.175046415377504	1.0	1.0	2.0
43000	0.2064228815153071	0.037265202254161356	1.0	1.0	2.0
44000	1.2758054729935204	0.23127575265353179	1.0	1.0	2.0
45000	1.5841164059075363	0.30605801341619826	1.0	1.0	2.0
46000	1.1363292664973952	0.20460389104769902	1.0	1.0	2.0
47000	2.6690183134450893	0.5086105207144759	1.0	1.0	2.0
48000	0.6061444470719637	0.11893943767016382	1.0	1.0	2.0
49000	2.1246163973538885	0.4153525657395073	1.0	1.0	2.0
50000	1.472149790463289	0.2995906916421747	1.0	1.0	2.0
51000	0.8876197993440665	0.18151491426265118	1.0	1.0	2.0
52000	1.2017946622008633	0.21069062053082535	1.0	1.0	2.0
53000	1.868145247217572	0.4032303686993162	1.0	1.0	2.0
54000	1.3047371603185813	0.26822254015516855	1.0	1.0	2.0
55000	0.8487054359750379	0.1777948652556984	1.0	1.0	2.0
56000	1.1125013426913228	0.21781212859303023	1.0	1.0	2.0
57000	0.5443091141959453	0.10364611390579762	1.0	1.0	2.0
58000	2.04301215080707	0.4432507547505249	1.0	1.0	2.0
59000	1.9290255364287836	0.38222523890453075	1.0	1.0	2.0
60000	2.148928105497744	0.434415186354858	1.0	1.0	2.0
61000	2.4566384698229085	0.5119237902477537	1.0	1.0	2.0
62000	2.3280009546451055	0.5116842863952492	1.0	1.0	2.0
63000	1.1016305505102493	0.23536136330450408	1.0	1.0	2.0
64000	3.403784161507318	0.583171602637236	1.0	1.0	2.0
65000	0.7679157185151076	0.15122520925372407	1.0	1.0	2.0
