# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Sep 13 12:04:54 CEST 2022 [seed=1663063478612]
# Alpha_DTA.xml
state	location.rates.NYC_counties.other	location.rates.other.NYC_counties	location.indicators.NYC_counties.other	location.indicators.other.NYC_counties	location.nonZeroRates
0	1.0	1.0	1.0	1.0	2.0
1000	0.8776555926376295	0.8912997669559048	1.0	1.0	2.0
2000	1.420293852556144	1.3192874644087254	1.0	1.0	2.0
3000	0.21152931562689367	0.19384966838205112	1.0	1.0	2.0
4000	1.5605225311200817	1.8696360854197345	1.0	1.0	2.0
5000	2.576714272889253	2.446674860799249	1.0	1.0	2.0
6000	0.918946661907521	1.2511038918626878	1.0	1.0	2.0
7000	0.9216668498353975	1.0297667725459678	1.0	1.0	2.0
8000	0.6446109162453382	0.6379949228399328	1.0	1.0	2.0
9000	1.3257488631659056	1.492127394514802	1.0	1.0	2.0
10000	0.6299473214933589	0.580578830385545	1.0	1.0	2.0
11000	1.5950399059416853	1.7035475005178067	1.0	1.0	2.0
12000	1.5256957657922734	1.7999500238071466	1.0	1.0	2.0
13000	0.9819806145268519	1.004199832257619	1.0	1.0	2.0
14000	1.7884495333163706	1.8449107237409408	1.0	1.0	2.0
15000	1.7823113810302271	2.1566432493036336	1.0	1.0	2.0
16000	0.9539028955400767	1.121517780396145	1.0	1.0	2.0
17000	0.9149049974210862	1.013881893919795	1.0	1.0	2.0
18000	1.4781348606273295	1.602494304947541	1.0	1.0	2.0
19000	0.792216380427861	0.89672470766481	1.0	1.0	2.0
20000	1.927989157516143	1.872887604154299	1.0	1.0	2.0
21000	1.0707441955483759	1.3514486048621	1.0	1.0	2.0
22000	0.23169482186186374	0.23218270976928226	1.0	1.0	2.0
23000	0.9494186547561099	1.2808530135970604	1.0	1.0	2.0
24000	1.0786546723697539	1.448737866050419	1.0	1.0	2.0
25000	0.42755371966170325	0.3987111424736249	1.0	1.0	2.0
26000	1.1733794915739044	1.183311906043385	1.0	1.0	2.0
27000	0.5223187568210848	0.6457698577037139	1.0	1.0	2.0
28000	0.21244793783696309	0.24739781983322798	1.0	1.0	2.0
29000	1.2505796908583322	1.3579783394188414	1.0	1.0	2.0
30000	1.898561142918288	1.9560008007886185	1.0	1.0	2.0
31000	0.666007031331262	0.6883871587564103	1.0	1.0	2.0
32000	1.3102077053261982	1.3281797008367362	1.0	1.0	2.0
33000	0.7499086173082243	0.8582573395445482	1.0	1.0	2.0
34000	0.9619687687443076	0.8665749222208396	1.0	1.0	2.0
35000	0.10663976461397044	0.10161855929553945	1.0	1.0	2.0
36000	0.7965447539649747	0.7422501812922602	1.0	1.0	2.0
37000	0.9572804848004997	1.2411169712952217	1.0	1.0	2.0
38000	1.0495331170952693	0.8744987408746593	1.0	1.0	2.0
39000	0.1430733197333519	0.1572712630280469	1.0	1.0	2.0
40000	1.1663974611514556	1.1113173466865005	1.0	1.0	2.0
41000	2.007292106871841	2.1127983554952174	1.0	1.0	2.0
42000	0.35914718096173454	0.3680151804664321	1.0	1.0	2.0
43000	0.48930618383945407	0.40206369640500905	1.0	1.0	2.0
44000	0.5858816741732165	0.8019059477975884	1.0	1.0	2.0
45000	0.2036273496848164	0.19760596261097618	1.0	1.0	2.0
46000	0.4760223813991841	0.6261748157500249	1.0	1.0	2.0
47000	0.6920689780339035	0.6769788298106754	1.0	1.0	2.0
48000	0.29465875280666143	0.23298720340016882	1.0	1.0	2.0
49000	0.6719888605012438	0.8191140124353675	1.0	1.0	2.0
50000	0.25627772531126647	0.23815135513110106	1.0	1.0	2.0
51000	1.0409049952333167	1.0979478389493842	1.0	1.0	2.0
52000	1.5761401710949148	1.8225939267995384	1.0	1.0	2.0
53000	0.25346180901434545	0.28199927359225124	1.0	1.0	2.0
54000	2.588849941871663	2.498082789781136	1.0	1.0	2.0
55000	2.358474263009711	2.585883375857686	1.0	1.0	2.0
56000	1.7587374140465295	1.5642851482443825	1.0	1.0	2.0
57000	0.7664030160712383	0.9471394447553869	1.0	1.0	2.0
58000	0.6156880455663417	0.7756473403403387	1.0	1.0	2.0
59000	1.2611318228919566	1.2707793541677954	1.0	1.0	2.0
60000	1.5734360998382468	1.837962374906066	1.0	1.0	2.0
61000	0.7247572330769979	0.6979909504987357	1.0	1.0	2.0
62000	1.2084225552560524	1.451627043160012	1.0	1.0	2.0
63000	0.5233734992193434	0.5927017196669817	1.0	1.0	2.0
64000	0.8376502564205122	1.1534993017298005	1.0	1.0	2.0
