# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Jul 12 17:51:07 CEST 2022 [seed=1657641066630]
# -overwrite All_clades.xml
state	joint	prior	likelihood	coordinates.precision.col11	coordinates.precision.col12	coordinates.precision.col21	coordinates.precision.col22	correlation	coordinates.varCovar.coordinates.precision.col11	coordinates.varCovar.coordinates.precision.col12	coordinates.varCovar.coordinates.precision.col21	coordinates.varCovar.coordinates.precision.col22	coordinates.diffusionRate104	coordinates.diffusionRate115	coordinates.diffusionRate369	coordinates.diffusionRate478	coordinates.diffusionRate505	coordinates.diffusionRate554	coordinates.diffusionRate569	coordinates.diffusionRate581	coordinates.diffusionRate593	coordinates.diffusionRate714	coordinates.diffusionRate757	coordinates.diffusionRate769	coordinates.diffusionRate830	coordinates.diffusionRate841	coordinates.diffusionRate859	coordinates.diffusionRate871	coordinates.diffusionRate970	coordinates.diffusionRate1000	coordinates.diffusionRate1096	coordinates.diffusionRate1151	coordinates.diffusionRate1170	coordinates.diffusionRate1218	coordinates.diffusionRate1227	coordinates.diffusionRate1360	coordinates.diffusionRate1435	coordinates.diffusionRate1449	coordinates.diffusionRate1574	coordinates.diffusionRate1582	coordinates.diffusionRate1673	coordinates.diffusionRate1674	coordinates.diffusionRate1691	coordinates.diffusionRate1748	coordinates.diffusionRate1753	coordinates.diffusionRate1797	coordinates.diffusionRate1805	coordinates.diffusionRate1901	coordinates.diffusionRate1905	coordinates.diffusionRate1911	coordinates.diffusionRate2112	coordinates.diffusionRate2226	coordinates.diffusionRate2231	coordinates.diffusionRate2232	coordinates.diffusionRate2280	coordinates.diffusionRate2452	coordinates.diffusionRate2638	coordinates.diffusionRate2769	coordinates.diffusionRate2776	coordinates.diffusionRate2784	coordinates.diffusionRate2935	coordinates.diffusionRate3049	coordinates.diffusionRate3176	coordinates.diffusionRate3203	coordinates.diffusionRate3209	coordinates.diffusionRate3260	coordinates.diffusionRate3268	coordinates.diffusionRate3273	coordinates.diffusionRate3319	coordinates.diffusionRate3332	coordinates.diffusionRate3343	coordinates.diffusionRate3414	coordinates.diffusionRate3459	coordinates.diffusionRate3472	coordinates.diffusionRate3528	coordinates.diffusionRate3537	coordinates.diffusionRate3539	coordinates.diffusionRate3582	coordinates.traitLikelihood104	coordinates.traitLikelihood115	coordinates.traitLikelihood369	coordinates.traitLikelihood478	coordinates.traitLikelihood505	coordinates.traitLikelihood554	coordinates.traitLikelihood569	coordinates.traitLikelihood581	coordinates.traitLikelihood593	coordinates.traitLikelihood714	coordinates.traitLikelihood757	coordinates.traitLikelihood769	coordinates.traitLikelihood830	coordinates.traitLikelihood841	coordinates.traitLikelihood859	coordinates.traitLikelihood871	coordinates.traitLikelihood970	coordinates.traitLikelihood1000	coordinates.traitLikelihood1096	coordinates.traitLikelihood1151	coordinates.traitLikelihood1170	coordinates.traitLikelihood1218	coordinates.traitLikelihood1227	coordinates.traitLikelihood1360	coordinates.traitLikelihood1435	coordinates.traitLikelihood1449	coordinates.traitLikelihood1574	coordinates.traitLikelihood1582	coordinates.traitLikelihood1673	coordinates.traitLikelihood1674	coordinates.traitLikelihood1691	coordinates.traitLikelihood1748	coordinates.traitLikelihood1753	coordinates.traitLikelihood1797	coordinates.traitLikelihood1805	coordinates.traitLikelihood1901	coordinates.traitLikelihood1905	coordinates.traitLikelihood1911	coordinates.traitLikelihood2112	coordinates.traitLikelihood2226	coordinates.traitLikelihood2231	coordinates.traitLikelihood2232	coordinates.traitLikelihood2280	coordinates.traitLikelihood2452	coordinates.traitLikelihood2638	coordinates.traitLikelihood2769	coordinates.traitLikelihood2776	coordinates.traitLikelihood2784	coordinates.traitLikelihood2935	coordinates.traitLikelihood3049	coordinates.traitLikelihood3176	coordinates.traitLikelihood3203	coordinates.traitLikelihood3209	coordinates.traitLikelihood3260	coordinates.traitLikelihood3268	coordinates.traitLikelihood3273	coordinates.traitLikelihood3319	coordinates.traitLikelihood3332	coordinates.traitLikelihood3343	coordinates.traitLikelihood3414	coordinates.traitLikelihood3459	coordinates.traitLikelihood3472	coordinates.traitLikelihood3528	coordinates.traitLikelihood3537	coordinates.traitLikelihood3539	coordinates.traitLikelihood3582
0	-2603.2714377941443	-592.700798207747	-2010.5706395863972	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	934.4072952843032	855.8914138557595	1712.9815340260207	716.3362527809285	2365.539178489697	766.6696194087465	2475.4756441637005	827.7090972340796	2209.7462489741106	904.3567835601036	1944.0830699633138	728.6822416976539	802.6392606643673	783.9051996042493	597.6836918557308	2144.7260017049894	1236.341673308602	1675.314713015441	913.4142864444282	423.02520282713976	1570.1673607727976	852.5762990279355	1530.9992299823757	792.795356837456	2839.7921936712096	907.2319887274223	1081.813583904043	2272.960954652854	3645.6376348946505	1856.6491644130156	2203.8760404936565	374.0654535785348	1248.2681126272812	1694.1556146324358	1012.1505777864492	651.07959094533	2298.593856211432	1010.2069910530628	1089.8781878654809	1830.5292435015256	739.5303369777496	1320.8714126881773	1604.1979064434042	935.9376388370079	1434.3012871587582	2154.9007341391825	2618.9491927337526	1125.4884357634955	1603.3396545571434	1231.730125780263	929.1309938079355	882.2704479663669	1610.2351330174076	1154.3161388693743	985.3280999221738	1331.7507513717399	1644.9338066135401	916.1792372539176	2250.379127433138	1964.655770877273	1368.3485494348386	927.1918175792712	1129.420172504007	1213.6746573109338	1143.7554394383114	578.9244596808105	-27.216317387621235	-27.216297469916842	-35.84345515040489	-37.89315289625145	-30.336971899138387	-40.27535091401823	-27.218285852363	-38.270091312540615	-27.218535978293556	-27.181767909335584	-27.223658079117403	-27.21785037174597	-30.323882179722418	-35.693081857107515	-27.112670947568418	-27.22923023972782	-27.157570467345447	-27.224409391487026	-27.20674721209989	-27.18142540228772	-30.43667522916194	-33.11663835878575	-33.27017741801777	-35.72305877306569	-27.218476232724335	-38.25037297257046	-40.440635663163846	-27.20351348664822	-27.217434823459254	-27.204672396705444	-27.210792151437698	-27.194970686947613	-27.153108257441147	-30.39490134553092	-33.068560065796014	-42.088939782953595	-27.218592017898636	-27.062407392926183	-33.059010106214004	-27.22020521038221	-30.396693548841327	-27.242448988132185	-27.17496545984308	-42.35622677535649	-27.188160521848843	-27.21401903825079	-27.219383939837503	-30.377418216222576	-33.2306086947007	-27.20311129519589	-30.349411535080606	-37.84417484662558	-27.209672810380155	-40.40544234515009	-33.18540285174612	-27.221393717096436	-30.420918561004434	-27.19862009324917	-27.210978758799985	-27.23738908225177	-27.220216345533768	-30.429581569043858	-27.19763995709307	-30.322815616894744	-30.31497936542845	-33.20507036286554
100000	-2024.7317872953495	-786.230375406734	-1238.5014118886154	0.15447879386564284	-0.18242386797169402	-0.18242386797169402	7.330519007010369	0.1714272517997839	6.66937537586021	0.16597095674345466	0.16597095674345494	0.14054626458437972	1315.74815911463	972.0591592954659	187.4755007178694	251.68716134469193	239.85907218235207	256.3828680721052	570.766942564588	431.6069501019002	676.4917151396805	1685.3760413007687	440.8628329536955	423.3393909110334	524.9234257881114	434.3369759147163	627.5055593679391	605.496094779498	921.4462460090737	858.4025452428278	383.4563408065081	444.61888857114116	325.84667525210114	205.8934691826512	494.3731987411646	292.91463611587943	2296.5423409499367	278.9021979140287	555.1614445227062	547.9978399290926	184.58815939173752	636.443796577421	1280.0488112027588	1118.1514203853758	48.90697652402338	265.75643314063626	145.77844247490538	154.05926044607028	253.9101457238068	516.2775182833906	579.9470145836469	966.3819691203048	607.7910251149777	1489.386662846929	592.6802364844688	231.11133581035708	816.2541213577503	209.87457297909913	593.7288892494796	351.6937557262098	336.8908636270199	252.26355487303357	252.48329297832743	391.06645923047193	1489.0455077833008	394.01570629580164	510.67722197918636	249.7936766327691	741.2489190794483	371.9619243846831	848.791822391151	598.1498493532386	373.97752580725535	1034.4752574829856	821.9379578537357	220.1363612506954	1029.1914607780855	182.12451866996537	-16.98261098520837	-19.150070100397762	-18.879970468628084	-23.888630208986868	-23.355444671222482	-13.91274365605429	-20.097382911406953	-27.086058846537515	-15.362909460143799	-19.613462114020678	-17.887077959011247	-18.03248311789603	-19.07002800697073	-20.426530132402306	-19.07282507467832	-18.405862409866288	-17.542589162503123	-18.693031283464574	-16.19939700732692	-18.829068987770064	-19.475316461438616	-15.739198180046241	-15.422915997296755	-17.372478950360577	-20.106159029187587	-19.48654838261525	-18.439539512765418	-19.659097339612238	-18.16336653236758	-19.615352937314164	-22.60872273676926	-17.269103327719122	-16.090961098606137	-22.27832781178234	-18.03248591972709	-16.75115450311548	-17.601769522098575	-18.910973699208085	-21.113906146692816	-17.911742439344334	-21.898612868538663	-21.157358039829777	-18.414906334794015	-15.177452709019963	-17.593969389114125	-17.116079792989385	-19.198319602367977	-20.44498630515396	-15.529867873072144	-16.76828406488699	-16.053780492341605	-16.920174844246436	-19.252218431878514	-17.26651645059485	-19.4915084778651	-18.985851506197747	-18.013506725223824	-20.118441231414163	-19.886542958882007	-20.622195955186058	-17.871211274718725	-21.937643151962263	-18.111101176036637	-19.472502147803425	-22.624974289536723	-14.036108702396417
200000	-1729.663925720991	-757.9130799092607	-971.7508458117304	3.7403373254154197	-2.9373328834403174	-2.9373328834403174	4.136258393541206	0.7467821882893035	0.6044442111978419	0.42924152430344964	0.4292415243034496	0.54658704296735	181.8253925189282	86.29031455396378	292.61723783897367	183.50089710717378	184.33842600234132	75.08454644809473	410.0154196597683	273.3893969470415	101.16503221831994	208.47687299168814	146.722146036315	198.1262876057488	163.16652519611523	232.74714803595316	114.42384807119672	118.53977927312751	152.13417579867536	887.6045689825307	363.36877584106685	55.62317071170305	196.80944801120106	81.3424347776064	145.36649534940912	259.5023927513972	268.5686231459283	227.60361408580093	237.47536606331371	221.7811687731257	153.7232719261812	220.09070331042915	315.52248230951244	263.8743284723362	46.86587951973987	218.59957231781902	131.0434737537695	137.74878432441608	77.91009447077653	143.93830053202132	86.52068729712497	137.64625184438788	447.6741406228569	310.8913651555116	169.57214252233243	184.72452083983342	343.23008011544283	153.43036850233335	108.09681560360971	219.1062787749465	159.8946971521878	310.6007845386564	196.4185615745152	122.39883137349588	151.09936048531674	234.64474228389682	288.83561331792475	304.7501089974661	153.50101220707631	186.30783420289322	262.0588685408223	378.5874753723648	337.2026686895786	212.14299364236464	106.4881341141739	309.26330970036685	195.00063948106916	63.34540313235525	-15.161388026998848	-14.777683149294795	-13.069912385902054	-17.110623427354497	-15.872831104228158	-5.853667288741907	-16.124809268211663	-15.553980108392146	-15.569942463972875	-17.04807666070006	-16.082927575530352	-15.077379134523653	-16.383239783300755	-18.71792720871831	-14.43904742121115	-14.771379217029821	-14.05237979978717	-18.780896805901392	-14.134180159333042	-14.813133042819077	-14.702902983486972	-13.389953120774727	-13.110906316915242	-15.075177536299647	-16.587135608416386	-13.756365833021245	-9.67021063584552	-15.9974940693604	-14.815450629771902	-15.921351419550938	-18.365968481855656	-16.25804264245655	-13.432626726699178	-17.245419521275892	-12.838491838236079	-7.705377266596611	-15.35315015435273	-14.327824144858578	-14.257133504622722	-13.705803166696512	-16.202434475663498	-16.08698670341272	-15.470536195641628	-9.643492027062436	-15.692447751387377	-19.585414806690288	-14.135554292680009	-11.841774775684414	-14.401785077657335	-13.780664670642365	-16.3602051481421	-9.780562515846945	-18.23197689931163	-9.993068268701242	-15.017149682772173	-15.658853782827613	-12.3186084519032	-16.562780703667038	-13.744058303723426	-18.462877291395472	-16.269400981462695	-16.323845819901724	-17.688184144972716	-15.18043349166345	-13.262693581085035	-10.14286633478659
300000	-1642.639933590513	-840.0371901737346	-802.6027434167783	3.383798965132542	1.6103631166778605	1.6103631166778605	11.645138317423768	-0.2565365280567806	0.31634479487676836	-0.04374615190790378	-0.04374615190790377	0.0919222391654587	98.62611022338551	162.1555759047817	142.81811849821491	102.69291913718567	154.48012171236311	61.20091166161957	74.765155313624	377.40605168148903	106.33349024082405	162.208683985399	360.1383926923148	135.94554040209377	57.24999993889894	88.42933421639026	113.12692134188961	204.64332411369307	26.379509736210405	260.3834352888015	177.68138915336863	58.33442034995659	145.02564131688376	103.95189439969985	151.4353529821618	78.40596258757826	216.90429193178477	165.72830334987088	82.1673321600308	148.55533724598965	128.64645230305004	119.0254401585742	240.3806246245463	191.98979525142954	64.06084130974591	172.84756369701415	129.2605859255072	108.8615524004837	201.0279866447187	132.90928115694663	101.01010125113291	149.38533495548478	165.43982886954626	375.58741974776007	248.2405893820298	93.4966352827828	93.78811004511009	169.06167329850146	139.39345640480423	95.42790229828469	149.72994907519305	44.20859569412232	70.76138397208108	72.31264725886489	210.3317386234004	52.50264263524946	205.31186636273864	90.86615713422434	115.4906970633274	139.13732669686806	116.83466643296126	361.47985839793915	49.95814394114576	360.7319271406706	104.12002940460953	140.73083747865132	77.11809988282147	142.97357598411216	-13.651685117906988	-13.543770461709386	-11.054186010628467	-20.572648582256083	-16.660864748414696	1.0829355611724107	-12.598697886974975	-17.731975467908445	-13.400621947872553	-12.912361564516189	-16.666518172592603	-11.498980304052253	-10.396865504199798	-9.416492758356334	-14.831501113487677	-15.517071550393627	-11.539835253337307	-14.120916611643313	-14.160058226790317	-13.784563739392294	-13.275301437008784	-10.341132315292757	-9.833785290483787	-11.618846112636776	-14.384708219496122	-8.224419325864853	-5.474112241473637	-15.5535434664097	-14.177259560800577	-13.965379538775217	-14.788446308805735	-13.839092913865658	-12.408412483927563	-17.526846192647646	-12.003358514170792	-5.579554947261297	-13.248882757585864	-11.638208486859803	-11.593112630263182	-11.479046176089176	-17.161731157103265	-15.212081428999062	-13.721057513990369	-3.8897029380726007	-11.654311490921229	-11.308225828606284	-13.10231476219881	-9.784293373422813	-10.610152854626245	-11.07771056949216	-9.474281297549867	-6.354948225127655	-12.631638059129177	1.547055445241643	-12.959565232283195	-13.790938896664752	-12.22424596684942	-15.104831350104032	-10.506244998716662	-16.506401256609596	-13.016777253895189	-20.91201411629634	-10.68180674131892	-11.101021252689119	-12.173478276533444	-5.25989563984
400000	-1566.2075949202283	-757.9476637908994	-808.259931129329	4.263438545050711	-0.6044939012105185	-0.6044939012105185	6.726119025108707	0.11288328669748152	0.23757985398030232	0.021351922593914722	0.021351922593914722	0.15059309881462735	141.114375297889	62.694353200270626	105.16092575898195	126.14177552602602	213.40458858312726	79.11723519301783	112.06516287877325	208.66385377371023	117.08704711023005	70.7217257071879	98.21706011350315	237.49754589615353	127.72200885316394	79.00624067204667	176.10872734074374	163.3363235873039	40.93505458934066	150.55672112810973	257.0711746522018	95.13518367096017	178.73472008622642	113.77078742544614	102.4473716698802	114.90500922855296	192.78455841121615	114.62688743013186	116.71048544960715	271.38872763021396	133.52601717539932	116.95651307624058	259.3008157456486	287.1109758163188	102.62338575927095	139.15928786100454	152.29400443232703	126.79114134808725	122.4503408772693	130.4256100219718	160.94799064588096	201.52581777009297	145.48695316676503	227.84149158532512	102.55735835680109	96.51145440092847	90.63584134633187	113.29095229028826	203.64470912119108	233.25760024016355	244.3396387450067	135.7743328606546	90.52075782349687	65.90527978356745	93.41824555614058	66.71325278260741	103.41451484885017	114.82902830770185	105.78297698157547	165.00104694219485	213.97139345849817	362.3351686524732	173.23653313764677	236.5385472635894	239.0808040924162	220.39644845013785	146.77182480272955	95.62437322530258	-13.969159687063426	-13.187831534816052	-11.176412336593467	-11.755861689180078	-15.064381809164454	-2.837991094845801	-15.465590074222009	-13.518937930276511	-11.220221119791224	-13.425001799817842	-15.166393715317323	-12.048599444274318	-14.087926792099825	-7.351492029916251	-13.804947147049567	-14.114434488749529	-11.933389942334825	-12.62364784079285	-13.228966564293565	-16.127356227227	-13.61102344019066	-7.712738566415309	-8.370225920124527	-11.223696843787005	-14.330966563116501	-8.103919291383928	-7.471116541585436	-15.134227856960909	-12.784921331661325	-12.686052651935213	-14.743519355937847	-14.42994261180009	-14.169917086760748	-14.93885902088107	-10.938242911665217	-8.05812205909173	-11.507536123759337	-13.618134019108092	-11.99434167591971	-13.212654762924434	-14.008285630737296	-14.720272073499332	-11.858223715757127	-9.150191715122801	-11.79461328342115	-11.3982524061552	-16.116223376357848	-15.276816595250615	-10.806916811141647	-15.171494290549404	-9.963568777190625	-6.025747870299018	-13.436705257917975	-3.2775450309988354	-12.102816765717147	-12.468057771857492	-9.265139646296385	-14.487574203109705	-13.389631793178399	-17.61387159587882	-11.893346229853856	-15.452129701346768	-12.233149977466464	-15.602000381896719	-11.307159147549747	-8.291495177943595
500000	-1696.7791553360007	-696.171448749127	-1000.6077065868737	1.5948008780388787	0.9111063536847653	0.9111063536847653	4.6146645877443095	-0.33585032435704415	0.7067564306990188	-0.13953999522036803	-0.13953999522036803	0.24425085611463115	190.91608395106434	111.75000132237798	171.5220553463193	182.90772939902968	323.41426067189656	103.39676704345815	736.9551991454383	200.42610822638818	180.0419780520684	191.65847012756788	143.79785046073684	140.68601585125973	162.77961964966255	119.23922636420868	93.96902414882358	220.98594080319427	154.0271906556982	340.3451764909014	253.82883190985225	65.23340936698612	198.034142264468	215.22347050158282	145.9230487734068	191.35826392781013	730.7768106786006	171.0503373625812	152.8416563559775	230.50459605690628	213.42627455605933	321.1140236248712	176.43307143707136	187.85881847276283	286.5606197408734	256.9561967028692	148.12379573847736	183.08971847560005	77.29979678872596	119.55676262368976	68.9888050450256	351.86600806652314	284.12793194083025	546.4696977092996	228.15129183880512	150.21611835920672	70.72026158449107	111.93020930002274	240.7316626637995	929.7671303248724	339.61629243837154	268.04703822825036	132.97767252983286	170.1456781606582	207.89969695647355	232.06886380288807	119.67619901858578	78.98985961168538	430.3582056599943	155.99371569002008	429.999775909456	260.15203689551436	186.3246106117069	390.3512968348696	165.34690968880312	139.44720571750813	250.3951762979609	69.25988586825802	-19.23132082190394	-15.728309648025746	-10.353867986291373	-18.778221776319214	-18.164798888871605	-15.62567025644023	-18.676085867360666	-18.34522553571717	-14.488948029462529	-16.28855366621943	-15.957686898493625	-14.77009234362038	-13.69301307884637	-10.840119011526005	-16.18036596095758	-15.833069124709054	-14.22409485151649	-20.417128269799356	-15.185814506383126	-15.768986431753104	-16.522570815637163	-12.237318889701935	-12.116081287335808	-12.67496104500145	-17.3013690790146	-14.601760051071851	-15.23050996212655	-16.241839694215695	-16.410914860608404	-14.864359175172567	-19.10905232782623	-13.950802309510589	-15.635242811992379	-16.63401875375842	-11.059721066546896	-12.9073564477925	-13.830281781114298	-15.63780545653631	-13.267370295870188	-13.899083633112008	-15.946959368819408	-16.535428227303893	-15.325487924678265	-10.667795924541782	-15.158917557914771	-14.74253451102255	-16.524445152884255	-18.296219776538756	-12.208527730819632	-16.66506290959241	-13.443255382170015	-11.825361457848384	-15.163880676159648	-9.203841492235261	-15.46002497655085	-14.670965619967598	-13.459817784128957	-15.150966007470057	-16.16098129920761	-18.682481517265302	-14.065825607604138	-17.600407440047302	-15.546643851201871	-18.627511533799563	-14.105182598835679	-12.685387560103164
600000	-1712.6994830184476	-710.8460096166359	-1001.8534734018116	2.023090257345472	0.02736438362916622	0.02736438362916622	2.498175267753869	-0.012172130187794923	0.49436656574110555	-0.005415167035312221	-0.005415167035312221	0.40035148679036126	151.05217522150176	93.41059106741332	105.33715525154781	124.55474490802241	550.6786217876365	228.00936960480962	224.9564624222858	379.18637363772405	255.33258472120255	431.75473667301736	137.34841142805618	133.47542813681477	112.0374750512368	206.16514573206553	547.9260048504817	130.02204435996205	106.30364968241378	456.45621018231674	152.80915874287632	69.12196655900371	193.5838545212697	76.91466064495296	280.1785802444053	162.49945479609502	310.0252289901434	205.44638014626037	142.99679462895594	315.3632388938284	103.99735345241061	146.71094011575792	235.53537395034033	126.1564595487876	53.07647428592313	209.36843593015323	83.6459692374534	160.94236316107953	131.74773011579063	101.88541314470056	161.18123697910247	205.67138828877233	179.03093716520058	548.3494008787001	263.23253019796203	112.0095024551792	383.37652929117917	188.5015118170994	177.28310697801152	204.70288466272498	218.9133769788772	204.9153395208046	77.76566080703802	172.06038853702145	189.65854983943117	92.60454353780361	93.75812767067318	191.70598472418678	140.753045656679	363.77711780117284	82.40296131618864	297.7763538537884	176.81558595463196	439.1309290310904	75.68174841014209	356.38986920967466	163.16022287535355	183.5955957645844	-14.540729441730162	-15.644901893502745	-14.473584368843827	-16.24727770144654	-20.517902210593316	-16.556636767317762	-16.27410760467098	-21.76979304254086	-14.752345633114851	-16.05138819724745	-17.60908370185979	-13.866285681155507	-14.363279366206575	-14.714262205529938	-17.668771110501343	-15.721527473504604	-14.53995515419946	-17.02778692603409	-14.60430388764673	-17.0841890264404	-16.785139835031078	-11.81588073746423	-14.903426491996541	-11.155152619841692	-18.171241376355844	-14.248732053870281	-12.591929540217116	-17.06981413892342	-16.42266607631485	-13.521418428331243	-17.16013961694717	-13.745445812261298	-14.632408484507962	-18.00153741316393	-13.002725502109634	-11.68477737869513	-15.180656583796978	-14.305498673609751	-12.298311167379202	-15.945441677944586	-14.543717548154936	-17.298783818479126	-14.812552129939734	-7.361699140162948	-15.602435688080877	-14.652223091883954	-14.37689656252588	-18.20810476169864	-11.57870510046689	-17.33815400021364	-11.255571393637982	-11.068082754014272	-14.325357712598471	-5.407955630169896	-15.955830352156717	-17.606873785869013	-14.22450251295861	-16.208557160347613	-14.761571513677978	-17.22956474759314	-12.933820217546137	-20.19147937339298	-16.0586612328542	-20.534073917017928	-16.013227342678658	-15.634616910842444
700000	-1614.2474017567276	-711.6420819565323	-902.6053198001954	8.189353170057304	-1.8615160272749645	-1.8615160272749645	1.908542220884629	0.47085923584697986	0.15689462564184034	0.15302876563569953	0.1530287656356995	0.6732182740339957	171.45588413925233	169.00879228196547	126.72587109422781	156.5595081821026	285.8665906575212	189.94545290197985	249.83487729903294	291.67995045047144	328.64200859835194	121.12092186992426	108.9225137276934	214.14522707199455	77.61378614516887	104.85250579787925	99.21988308994182	186.02643253841498	261.16001939543645	248.7197355148751	394.92868306048194	211.93860009536718	312.4137195233106	113.47804104488874	190.801852310149	119.06562685580454	395.4906023090407	263.61877395583065	140.4649795971742	141.88670922140318	128.10251529805774	122.4179710015988	260.4084464483377	128.79589111445387	150.18654617126091	138.35934779894265	210.01972577235298	144.95359107641048	278.0903923805872	90.31978302400137	121.66943552650822	67.98433574215461	169.95571955765826	428.8834701955312	150.27614546575137	87.46980262915966	194.79967897293022	143.4651935917095	144.51604303830229	198.6932548420483	127.62039901384	267.54689635932334	116.57533631066543	127.70539088175747	351.2133743662709	59.996114374229194	141.67090754633097	235.9704592564695	138.99251006841507	207.74266186892723	99.03876616724331	528.9371732390745	47.40844172820779	347.20172755804106	188.04711437278291	136.62151272308773	159.9498834665571	37.787592005592295	-13.286332596596694	-15.654336514982637	-11.27216028257703	-14.585765104224693	-18.925449101781297	-12.216808235734879	-13.236191452926793	-15.265254259793945	-17.666210596023028	-15.02628264660632	-13.675502427161938	-13.475029871038732	-12.29089351087286	-9.114309346489168	-16.432633073581826	-16.34465831807461	-14.791715996215462	-15.44092767648896	-17.502151418276675	-17.460854336729156	-15.752889683855514	-9.598869491712682	-10.993317544192642	-12.027327141936677	-17.464718012074158	-9.82906718874484	-8.031870057628879	-14.953346829997354	-14.643367931959887	-14.249159468554527	-14.987534193836005	-13.705337053713812	-14.650734975508175	-16.15554031243293	-13.225067299033096	-8.95185935920039	-14.47336189289786	-15.155015994060864	-12.885656301147955	-13.47167350792271	-14.449816188111946	-16.74467036302851	-12.450811083199003	-4.638249080123121	-14.130142434947077	-13.60282180970418	-15.10867699362402	-12.229848218133597	-13.002286450823416	-14.921869834204339	-16.666251661383654	-8.149422235510716	-16.468954473544382	-3.4788603352444234	-11.567570339064325	-15.929044613727898	-12.788741813792704	-16.19506041159618	-14.06081677450263	-16.818033691026177	-13.014247905026622	-19.350268478116952	-13.664807748777793	-11.29775054100892	-13.46291026768702	-9.544205047697986
800000	-2005.4383854900445	-722.0258996594048	-1283.4124858306398	0.376366563893098	0.33898588357613807	0.33898588357613807	2.224799085272359	-0.37045093692652786	3.079611210288796	-0.4692310124097917	-0.4692310124097917	0.5209740947017547	280.65021610043533	1117.8986627095196	548.6102046868997	166.8243978829652	443.9401068236862	228.56998625699325	379.0756164590919	504.92986626072246	408.36224420445285	383.73596049773073	571.111892425572	903.6573302594002	309.70173856497104	273.8165363870524	505.4684598528508	306.3753006555157	672.0959113626407	1118.2997846867677	173.3344863487168	563.2480219794163	227.6016133237076	284.6643759606913	235.21920861952825	149.8627846263686	1097.3078078761278	495.94583323182553	216.17140100010315	464.7622307959645	485.42058747085684	345.67086364143717	523.470301552776	405.0234700259697	351.4813502000232	258.16448150825624	352.66946447153987	329.85508078936397	725.0509536847709	367.28467378552057	235.47644437832884	142.09398304559508	243.95641436534208	413.6959266187979	498.84362246773514	245.5892779837705	162.60395445509803	624.6359338771741	321.69195354339286	320.499006168729	271.8190088437816	519.3448290126566	390.1528110429691	251.3682758225148	664.8152898040505	134.0921228363459	186.52693981739924	212.18213216852044	452.6489664614913	339.65311719007593	585.1017833628532	473.3416007977347	304.70867888219544	1261.4203372843165	191.60664096107936	163.95585466054368	450.24451489184383	89.97772437683098	-19.657500050306872	-20.89274246603673	-20.679667501684698	-23.699302296749657	-19.805740225044666	-22.816869004192288	-19.04225883155315	-21.982227656980342	-17.529422958801696	-18.45826337324629	-19.07893313788382	-19.70357608328116	-19.35002427425861	-14.472048818125742	-19.21066539534359	-20.336627606197503	-18.42172964061383	-21.03764139321794	-17.406910882662075	-19.8482990084142	-19.432693440172752	-15.647912951754169	-18.28631375441899	-17.28155262475292	-21.63795075010787	-20.425517521588738	-18.694731231563892	-18.981039184485333	-18.937684063496608	-17.8083384455668	-20.60633927407624	-19.529551775860583	-19.521591732584678	-22.042671087701667	-20.988701166228967	-25.374677204464234	-19.41308827385029	-18.91222366745341	-19.040510434774813	-19.291499650276005	-21.705268246424644	-19.49322044111459	-17.37926238350265	-15.27582010495449	-15.919380507608874	-19.495862225468144	-17.009280576984505	-16.539331497590116	-23.380420059399402	-19.533144092061843	-17.28906047873435	-22.207810123730535	-25.400233920323334	-17.63254022731338	-18.288125951655935	-18.98491332789292	-18.870338744099225	-21.191515507136007	-17.69608321039346	-19.82331395720846	-17.81710984928955	-23.62794564512703	-18.34668716449573	-18.399064039364813	-20.11339220357266	-16.708322505419368
