node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear
4,1,0.11134,-73.9871407700888,40.7440604133783,-73.9804632797892,40.7511919862882,0.11134,0,2021.49649561644,2021.60783561644
4,5,0.00273999999999999,-73.9871407700888,40.7440604133783,-73.978551678858,40.7463364910365,0.00273999999999999,0,2021.49649561644,2021.49923561644
5,2,0.1116,-73.978551678858,40.7463364910365,-73.9613179289013,40.8154813832596,0.11434,0.00273999999999999,2021.49923561644,2021.61083561644
5,3,0.1446,-73.978551678858,40.7463364910365,-74.0019488887405,40.6448877749069,0.14734,0.00273999999999999,2021.49923561644,2021.64383561644
