node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear
4,1,0.124853642,-74.0123212830257,40.7293887439035,-74.008267488929,40.7248194955319,0.124853642,0,2021.53779019363,2021.66264383563
4,5,0.04792821649,-74.0123212830257,40.7293887439035,-73.9934270034117,40.716336291045,0.04792821649,0,2021.53779019363,2021.58571841012
5,2,0.0189254255,-73.9934270034117,40.716336291045,-73.9972256332403,40.7208298698905,0.06685364199,0.04792821649,2021.58571841012,2021.60464383562
5,3,0.1759254255,-73.9934270034117,40.716336291045,-73.943772646519,40.6432879077684,0.22385364199,0.04792821649,2021.58571841012,2021.76164383562
10,6,0.1005291131,-73.9138247973765,40.7312688598747,-74.0150808797114,40.6410840746654,0.1005291131,0,2021.54878595539,2021.64931506849
10,11,0.05611149854,-73.9138247973765,40.7312688598747,-73.844076364446,40.8104788072459,0.05611149854,0,2021.54878595539,2021.60489745393
11,12,0.000880562714199999,-73.844076364446,40.8104788072459,-73.8329264670538,40.8072817277106,0.0569920612542,0.05611149854,2021.60489745393,2021.60577801664
11,9,0.02241761459,-73.844076364446,40.8104788072459,-73.8876904582501,40.8839948944541,0.07852911313,0.05611149854,2021.60489745393,2021.62731506852
12,7,0.02153705188,-73.8329264670538,40.8072817277106,-73.6275485648147,40.7438732252584,0.0785291131342,0.0569920612542,2021.60577801664,2021.62731506852
12,8,0.02753705188,-73.8329264670538,40.8072817277106,-73.9283602822816,40.8096629929464,0.0845291131342,0.0569920612542,2021.60577801664,2021.63331506852
17,13,0.06161429323,-73.6390417331492,40.7003202401002,-73.65221016531,40.7062837769165,0.06161429323,0,2021.77964598072,2021.84126027395
17,18,0.08535185876,-73.6390417331492,40.7003202401002,-73.6276881087279,40.7197743230244,0.08535185876,0,2021.77964598072,2021.86499783948
18,19,0.01111553939,-73.6276881087279,40.7197743230244,-73.623867348334,40.7333071129044,0.09646739815,0.08535185876,2021.86499783948,2021.87611337887
19,15,0.01414689508,-73.623867348334,40.7333071129044,-73.622231232796,40.7573906963323,0.11061429323,0.09646739815,2021.87611337887,2021.89026027395
18,14,0.05626243447,-73.6276881087279,40.7197743230244,-73.6304965177916,40.6965405674539,0.14161429323,0.08535185876,2021.86499783948,2021.92126027395
19,16,0.1211468951,-73.623867348334,40.7333071129044,-73.6504745459442,40.6983848053975,0.21761429325,0.09646739815,2021.87611337887,2021.99726027397
26,20,0.0047674076,-74.0338882130362,40.6385351099263,-74.0395728470916,40.6260674045382,0.0047674076,0,2021.67195861976,2021.67672602736
26,27,0.06190373399,-74.0338882130362,40.6385351099263,-74.0173044007643,40.636074378437,0.06190373399,0,2021.67195861976,2021.73386235375
27,29,0.04774786428,-74.0173044007643,40.636074378437,-74.0014388982081,40.6359998764923,0.10965159827,0.06190373399,2021.73386235375,2021.78161021803
29,30,0.01004322257,-74.0014388982081,40.6359998764923,-73.9938607264532,40.6460319438746,0.11969482084,0.10965159827,2021.78161021803,2021.7916534406
30,23,7.25867599400132e-05,-73.9938607264532,40.6460319438746,-73.9941137275096,40.6455555100282,0.11976740759994,0.11969482084,2021.7916534406,2021.79172602736
29,25,0.01011580933,-74.0014388982081,40.6359998764923,-74.0084296580537,40.6290510085965,0.1197674076,0.10965159827,2021.78161021803,2021.79172602736
27,28,0.08467800512,-74.0173044007643,40.636074378437,-74.0182166616104,40.6183066482819,0.14658173911,0.06190373399,2021.73386235375,2021.81854035887
28,21,0.02518566849,-74.0182166616104,40.6183066482819,-74.0048790264136,40.6081436725579,0.1717674076,0.14658173911,2021.81854035887,2021.84372602736
28,22,0.1021856685,-74.0182166616104,40.6183066482819,-74.0313974960754,40.6253818878201,0.24876740761,0.14658173911,2021.81854035887,2021.92072602737
30,24,0.1480725868,-73.9938607264532,40.6460319438746,-73.9720696072327,40.6987874307718,0.26776740764,0.11969482084,2021.7916534406,2021.9397260274
39,40,6.18983326599876e-05,-73.57756915209,40.7010507512309,-73.5759546320859,40.7008888082515,6.18983326599876e-05,0,2021.77790144659,2021.77796334492
40,41,0.03435889528,-73.5759546320859,40.7008888082515,-73.6706570387936,40.7036334372198,0.03442079361266,6.18983326599876e-05,2021.77796334492,2021.8123222402
40,37,0.04389966877,-73.5759546320859,40.7008888082515,-73.4492806422345,40.7233898756573,0.04396156710266,6.18983326599876e-05,2021.77796334492,2021.82186301369
41,42,0.01916633057,-73.6706570387936,40.7036334372198,-73.650558672334,40.7096685698855,0.05358712418266,0.03442079361266,2021.8123222402,2021.83148857077
42,44,0.01513037291,-73.650558672334,40.7096685698855,-73.6535905596832,40.7125986159062,0.06871749709266,0.05358712418266,2021.83148857077,2021.84661894368
44,45,0.007276193931,-73.6535905596832,40.7125986159062,-73.6265797000555,40.699012011363,0.07599369102366,0.06871749709266,2021.84661894368,2021.85389513761
45,36,0.003967876073,-73.6265797000555,40.699012011363,-73.6380657493796,40.679526077344,0.07996156709666,0.07599369102366,2021.85389513761,2021.85786301368
42,43,0.05744353775,-73.650558672334,40.7096685698855,-73.6482036846239,40.7138860819249,0.11103066193266,0.05358712418266,2021.83148857077,2021.88893210852
43,32,0.006930905167,-73.6482036846239,40.7138860819249,-73.6432948353085,40.7182578218681,0.11796156709966,0.11103066193266,2021.88893210852,2021.89586301369
45,35,0.06096787607,-73.6265797000555,40.699012011363,-73.3705535672921,40.8214701118625,0.13696156709366,0.07599369102366,2021.85389513761,2021.91486301368
44,34,0.08524407,-73.6535905596832,40.7125986159062,-73.7752140222,40.7638571461891,0.15396156709266,0.06871749709266,2021.84661894368,2021.93186301368
43,33,0.04793090517,-73.6482036846239,40.7138860819249,-73.6752783479985,40.7187060981491,0.15896156710266,0.11103066193266,2021.88893210852,2021.93686301369
39,38,0.1619615671,-73.57756915209,40.7010507512309,-73.6285760862888,40.6205556171553,0.1619615671,0,2021.77790144659,2021.93986301369
41,31,0.1575407735,-73.6706570387936,40.7036334372198,-73.9792882611799,40.74609604774,0.19196156711266,0.03442079361266,2021.8123222402,2021.9698630137
49,46,0.1020965707,-73.9570704939734,40.6846148215922,-73.9921202781098,40.7179062350592,0.1020965707,0,2021.42646507315,2021.52856164385
49,50,0.04792572919,-73.9570704939734,40.6846148215922,-73.9224494632124,40.6588411152073,0.04792572919,0,2021.42646507315,2021.47439080234
50,47,0.07317084146,-73.9224494632124,40.6588411152073,-73.9054434586874,40.5967680853072,0.12109657065,0.04792572919,2021.47439080234,2021.5475616438
50,48,0.1091708415,-73.9224494632124,40.6588411152073,-73.8872778797393,40.6895128214576,0.15709657069,0.04792572919,2021.47439080234,2021.58356164384
59,51,0.00489539541600001,-73.5275480538693,40.9379145675401,-73.4771998263094,40.8608082513231,0.00489539541600001,0,2021.54266624842,2021.54756164384
59,60,0.01706757586,-73.5275480538693,40.9379145675401,-73.6612246317236,41.0654605966527,0.01706757586,0,2021.54266624842,2021.55973382428
60,52,0.01482781956,-73.6612246317236,41.0654605966527,-73.6826623737343,41.2577736569777,0.03189539542,0.01706757586,2021.55973382428,2021.57456164384
