NewYork,Bronx,Kings,Queens,Richmond,Nassau,Suffolk,Westchester
NewYork,NA,NA,NA,NA,147,NA,Inf,NA
Bronx,NA,NA,NA,NA,0,NA,0,NA
Kings,Inf,0.5,NA,Inf,678.8,0.6,220.1,Inf
Queens,0,NA,Inf,NA,0.3,Inf,0,0
Richmond,0.3,0.3,19.6,0.4,NA,1.4,0.2,0
Nassau,1.5,0,200.7,Inf,0.8,NA,Inf,0
Suffolk,0,0,0,0.2,0.1,0,NA,Inf
Westchester,0.2,Inf,0,Inf,0,4.2,0,NA
