NewYork,Bronx,Kings,Queens,Richmond,Nassau,Suffolk,Westchester
NewYork,NA,Inf,Inf,Inf,2.1,Inf,Inf,Inf
Bronx,1.3,NA,0.1,104.5,0,3.8,0,0
Kings,276.3,0.1,NA,0,55.8,0.2,0.4,0
Queens,8.1,0,Inf,NA,0.6,122.2,1.6,165
Richmond,0.1,0.1,0.1,0.1,NA,0,0.1,43.7
Nassau,0,Inf,Inf,Inf,0.1,NA,Inf,239.4
Suffolk,0.1,0,1.8,0,0,58.7,NA,507.5
Westchester,Inf,49.7,18,0,0.2,0.1,0.3,NA
