# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed May 18 06:20:08 EDT 2022 [seed=1652869207600]
# -overwrite All_clades.xml
state	joint	prior	likelihood	coordinates.precision.col11	coordinates.precision.col12	coordinates.precision.col21	coordinates.precision.col22	correlation	coordinates.varCovar.coordinates.precision.col11	coordinates.varCovar.coordinates.precision.col12	coordinates.varCovar.coordinates.precision.col21	coordinates.varCovar.coordinates.precision.col22	coordinates.diffusionRate3	coordinates.diffusionRate16	coordinates.diffusionRate17	coordinates.diffusionRate49	coordinates.diffusionRate64	coordinates.diffusionRate100	coordinates.diffusionRate173	coordinates.diffusionRate253	coordinates.diffusionRate340	coordinates.diffusionRate352	coordinates.diffusionRate428	coordinates.diffusionRate440	coordinates.diffusionRate457	coordinates.diffusionRate465	coordinates.diffusionRate478	coordinates.diffusionRate482	coordinates.diffusionRate527	coordinates.diffusionRate603	coordinates.diffusionRate628	coordinates.diffusionRate663	coordinates.diffusionRate690	coordinates.diffusionRate718	coordinates.traitLikelihood3	coordinates.traitLikelihood16	coordinates.traitLikelihood17	coordinates.traitLikelihood49	coordinates.traitLikelihood64	coordinates.traitLikelihood100	coordinates.traitLikelihood173	coordinates.traitLikelihood253	coordinates.traitLikelihood340	coordinates.traitLikelihood352	coordinates.traitLikelihood428	coordinates.traitLikelihood440	coordinates.traitLikelihood457	coordinates.traitLikelihood465	coordinates.traitLikelihood478	coordinates.traitLikelihood482	coordinates.traitLikelihood527	coordinates.traitLikelihood603	coordinates.traitLikelihood628	coordinates.traitLikelihood663	coordinates.traitLikelihood690	coordinates.traitLikelihood718
0	-1035.141134046949	-334.453985166459	-700.6871488804901	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	1219.4160739825809	3279.8315974067423	2141.788744148179	2832.196167389243	1571.0247251933947	6192.762658767401	5665.103555712603	33204.64113533367	1181.1483500501004	800.4297702571287	915.5597619208498	714.0168529145798	370.57002169101094	2644.4119313779393	4760.9421454986	15229.682919057514	435.61097401094725	2343.8467349389994	2942.978752440671	520.0847496794072	1079.6370106997044	844.6077940207106	-30.04728314353459	-25.04364923488711	-28.069437828342853	-31.308557985527273	-31.896375132048625	-24.495646305102994	-27.070388639070043	-27.7309902083592	-30.040261451932047	-54.111568511884116	-34.14923789866887	-40.01869410711491	-50.591350415999884	-29.826891269408083	-29.858762736315832	-26.86477815428681	-24.358214851686768	-33.8263257881481	-24.028163930772372	-26.509976186741905	-37.27653197679696	-33.5640631238607
10000	-659.9368697964248	-351.66905917601406	-308.2678106204108	1.7525797532366663	0.21922338417154194	0.21922338417154194	1.9745430000473123	-0.11784595621627687	0.5786231702636196	-0.06424156351227478	-0.06424156351227477	0.5135787131165709	197.71062667867838	357.9316757577424	464.57233353294777	423.4059987926281	235.89224736712202	584.9231461693245	668.8763650916377	2392.429163746609	220.03531820187004	258.1751689058405	202.93951430173655	113.1538857140891	117.81045371401346	450.24419556132585	2440.7016551750444	1787.207943476596	216.19737268191196	518.4814363638386	262.0105085348829	237.96218222139535	198.33167375619627	259.0854871336951	-17.639558286172868	-14.010457183167178	-13.527468885877255	-14.751653306557763	-14.833732989034486	-14.878263787555575	-14.64918746270988	-13.401640542754745	-16.132036573272707	-33.77467865729242	-14.274507745256898	-11.856173241734798	14.611106027788985	-15.490878033711786	-18.167569309159244	-16.167416296265245	-14.00892128012717	-16.99525420134931	-14.115124691909935	-14.798629942646313	-9.506066497422218	-9.899697734221954
20000	-578.594275847743	-345.71479761434694	-232.8794782333961	6.245168076597082	-0.4155620954109832	-0.4155620954109832	3.4775850570180715	0.08917127603548909	0.1614072251535515	0.019287730882072758	0.019287730882072758	0.2898607031413406	137.02942629838404	164.88199038294542	334.90212513389656	474.9868009809941	233.16526502897372	496.0837667220343	725.8913983098605	1761.8952781774028	189.0694512702692	238.4538397660726	213.27329419048323	101.07162217538071	79.29887289294956	287.3656596010263	1684.26648987003	577.868295272587	422.30060552594756	350.52921718820585	448.53372417180776	299.09957942769904	157.89239175047592	208.270719900785	-11.556018725991546	-10.745866811118642	-11.526483596780214	-12.385947909889252	-9.328801195961933	-11.087036822756506	-12.921228826253994	-9.71732579039247	-12.970582155420992	-31.448403946916937	-11.162377162360722	-8.45049492213182	21.5680200001514	-14.206764755720508	-14.427475700148648	-12.997717111906834	-12.651206130081613	-14.238460166205659	-10.809501114802572	-11.820240291295288	-2.6886864790190863	-7.3068786183923
30000	-682.6484249111523	-376.29912659615934	-306.349298314993	1.304069438358555	0.02360112810673422	0.02360112810673422	4.93060989542999	-0.009307479368595476	0.766896767350272	-0.0036708701833519683	-0.0036708701833519683	0.20283223736771505	338.6839899500421	117.95225717254479	384.4796289873684	441.1789936814953	697.8103093583486	664.4776408677632	1698.3580832258097	2505.561448205377	236.76091163757906	230.55004832338014	221.68317742579438	148.78910836676104	88.41646473118308	277.691438074598	723.0901435885653	4220.469626928583	459.8671126569633	366.32399375443447	299.1113331256663	261.5159632651726	225.0325628930716	211.35815163647274	-13.422943200676427	-14.866597010681113	-13.477209353605387	-12.003045187236854	-12.087826392278908	-12.855109549822402	-13.495015536352902	-12.02221325075622	-13.96786034246582	-50.830801310436655	-14.01590235485591	-12.250232012924968	13.028181843591135	-16.017871778934023	-15.648655129267437	-15.600267932131638	-15.688876205855635	-14.923535274907007	-12.646228547173276	-14.377899368585616	-9.62984680353264	-9.549543616103357
40000	-720.0463101861578	-397.7399535449623	-322.3063566411956	1.3126693272969312	1.1307224033468937	1.1307224033468937	2.1981639774508155	-0.6656536000002191	1.3679282654763574	-0.7036541185336495	-0.7036541185336496	0.8168805850943329	264.7465322237332	233.8357474824036	812.4188804719735	511.634639842034	630.6303118258692	909.4697087341808	1054.9442949310312	3534.927210975226	448.99809836706225	297.38002141802747	261.3469989659988	197.6720309216136	134.65911296635218	814.4528599710987	714.434068285373	2161.7463246384214	181.71308511693982	593.2127870621478	679.7386089352824	2216.020890442444	215.34752124958516	406.6915946567409	-16.398175156782948	-14.140502012355759	-14.930045291023369	-14.058519870558602	-11.800255198747351	-14.775943809101586	-15.52793249441741	-13.150264360472573	-17.526620545968242	-18.069399736899122	-16.921733019904178	-18.22973031738297	9.432686894780524	-18.753267369976072	-18.448877180015483	-16.276325740824436	-15.282678996467375	-16.67645142694685	-14.098817035845869	-17.13147587302365	-16.29095521309801	-13.251072886164232
50000	-616.916705242055	-379.33474218235415	-237.58196305970077	5.750764833997544	-0.5962449894121225	-0.5962449894121225	1.0152077517879363	0.2467655194614097	0.18516522037555064	0.10874999197738143	0.10874999197738144	1.048890373364243	270.09362502363246	243.78941031051653	314.76311664743275	377.15948769294425	360.5179758313748	518.043004396556	197.01555758422253	1713.5407499243474	142.11687629257014	264.9079711910322	245.285489040947	145.32880431739446	134.61250871270627	259.35753929943263	1918.699841059542	1394.587345231738	196.20583336296556	288.53499470059836	940.3096842838061	295.42710951526794	193.22772124962165	251.2785568163035	-12.817285511929372	-14.04433202485619	-11.276626521631314	-10.02804655484469	-9.369060294501784	-14.580090065616679	-13.965213566298758	-15.240210207724623	-13.540990329288762	11.871659641106252	-14.64173398724528	-12.52829207257132	12.648819230722893	-17.046640915866778	-15.338246366879503	-15.17154704310239	-13.367475613791644	-16.797004150405563	-12.582475020543807	-15.3734174191313	-8.354046213573739	-6.039708051726418
60000	-644.1095803206326	-400.44867761403617	-243.66090270659643	2.407109455247217	-0.08253927544790128	-0.08253927544790128	1.7897689591473	0.03976621415250705	0.4160940227453607	0.019189124372772225	0.01918912437277222	0.5596162852770634	148.85946541342022	203.66703994544952	481.7647890368417	359.6579717611441	197.89539574569875	365.6491619817821	1009.9285238673028	3390.2217175796577	200.16379841219774	255.83838843785324	155.30492999896381	143.1861657275784	105.76220181711922	378.15927896239225	977.5071698631236	2114.4630593016946	484.8551263170583	462.55442614653043	788.1928171134109	198.18092373573035	214.48505731424373	228.10774267991312	-15.277790023517372	-11.248205051129633	-13.575103132497505	-9.984611948470999	-10.948225178584739	-17.271621867889472	-11.245308660371665	-16.238178879982055	-15.233553129014684	9.019470232980439	-16.541225664122766	-10.853673215401516	15.953398266153073	-15.804299340402228	-14.254921753122327	-15.604756636569096	-14.454256493981832	-14.766969793400628	-12.447610681386307	-15.256475411724171	-9.8550274766437	-7.771956867517244
70000	-654.63518534574	-387.45179521554667	-267.1833901301933	2.2307131359581853	1.5013882925704372	1.5013882925704372	3.0240314412280926	-0.5780667789743177	0.6732667656448735	-0.3342673048748019	-0.3342673048748019	0.4966433211151325	282.6214724345111	104.79221141361734	861.6410641128567	413.6395930803134	129.97570535357934	1752.388333003535	1043.4342806026748	4606.596446765102	200.96687976388833	248.6905426713732	256.59334525871714	174.51188446542088	117.75663341233651	133.9511172872772	1363.2669637223025	3112.9010474735364	428.275304216728	401.06290123665275	831.7371183840905	381.69320862968044	235.71402291223538	434.0019973917211	-15.223022298483059	-12.386101088116556	-14.031063690511937	-13.788140994456477	-11.411979324532984	-16.09238810226325	-10.467910446173398	-17.269521859104056	-15.913044081673153	-1.8980518653612872	-17.19600275218715	-13.295652889495944	17.58349155187473	-15.165714159043045	-17.001678417205166	-16.652819186093776	-15.882904386153186	-14.444494628082186	-12.048649831010836	-14.838734886111736	-11.501880100942156	-8.257126695066672
80000	-541.7154088564154	-388.61009734624645	-153.10531151016892	13.489101407202918	-3.011717208679403	-3.011717208679403	4.928349615332511	0.36937876610167947	0.0858469363873517	0.05246111088097983	0.05246111088097983	0.23496669692914152	314.7924821599549	121.05477918463932	472.3708893717998	245.26842795786968	156.67222159575132	581.9480789319426	300.79962819150234	745.7525560027175	115.39430911612577	222.33191041394497	164.569610986039	98.43267876835876	78.05157932153784	108.54010990851714	643.401362489635	755.4815036306065	247.03379812131155	393.39819002723914	463.6927238101011	368.8177112289429	154.14336128448994	166.88541613298239	-12.26986675381801	-8.264667857013865	-7.636899636305849	-6.66905645197115	-5.776763370712944	-14.20279038794447	-6.165148783260294	-8.799964325287238	-9.545239672985321	16.63446811872558	-11.99039457677829	-4.81229353242677	16.643833843519182	-9.573467653211196	-11.441001807409046	-13.728140087576962	-13.448492108658659	-18.284558768912067	-10.72945273373282	-11.582558871018126	-0.8275932584428887	-0.635262834947742
90000	-564.2051168506291	-381.5432141339119	-182.66190271671724	6.33807529799947	-0.8322566793521219	-0.8322566793521219	2.1555426884977327	0.22516468584253044	0.16620295051604256	0.06417108621096657	0.06417108621096655	0.48869680045840846	251.05269411918266	129.60612385083567	594.5536952295851	505.3206620263986	181.1966528165586	316.80762122363205	234.88300678867685	2353.8612293480223	103.8046879694944	244.3872649848561	223.26932822754816	122.7097163215886	76.85773116351129	140.84279993051075	711.2365627074308	2192.997595026365	231.99072911597082	351.95156868782203	276.19727238780905	282.53919014358036	179.5876475967341	134.05289939162176	-14.009138981163023	-12.314928370985704	-11.397580521334802	-9.315359452596335	-7.126972531603179	-13.98019846183196	-9.270356689691488	-11.667577542313321	-12.604396372444649	18.75986094706839	-12.150544782259242	-9.758552481424639	23.67254780599815	-11.41363682492014	-14.15880287486696	-14.969152976101157	-13.571807382402886	-15.56078052079245	-11.421203610627268	-12.431844576738456	-3.7278296920676084	-4.243646823618468
100000	-644.7062552168429	-393.99128275174394	-250.71497246509892	2.383461829510102	0.4844897128789123	0.4844897128789123	1.8376884914622031	-0.23149654395841246	0.4433153574401523	-0.11687602726950491	-0.11687602726950493	0.5749751591759167	170.9166460264767	393.28690448226234	303.3666012383948	232.79516431101484	194.06155878769536	176.89480433389505	890.6437096024083	3825.741704996325	190.0548868206917	260.61466433707506	137.06717284485873	122.29866502667072	110.3375385692499	260.44384110150844	530.7712883922268	1134.2968786984363	223.3890962840735	497.1469508112196	593.8672725643615	456.7944675803823	154.49286852707436	140.0032243708522	-14.084576261884806	-13.636837075674023	-16.080361502383756	-11.371025490216715	-11.770420056990776	-15.164732772921466	-10.530629182020352	-15.34521353777782	-14.403187905323765	6.731811425284501	-17.768422786796336	-14.289782007387455	18.452712450816286	-12.89106585456369	-13.735180740707651	-15.85848984256769	-14.957899065507064	-16.610240208162992	-12.569900856091353	-16.66442292945561	-10.532456963372049	-7.634651301394332
110000	-491.84649032380275	-355.59389357360885	-136.25259675019387	17.251469974892377	-1.51379592800344	-1.51379592800344	4.032079744534699	0.18150547214708465	0.05994077802174782	0.02250404541568686	0.022504045415686857	0.25645984152855644	77.97352146203085	85.66700785553353	276.0238519544225	254.54391238908386	261.0527910735172	1933.7926845595616	486.3423755131057	1459.6626048099079	137.7179437851982	219.83541975443768	202.76360111326989	103.58296681854998	64.15078057973928	239.45660915623336	492.00330994259366	535.0015809131721	184.45289968150183	274.273307922834	233.52838373482913	422.6291602497728	224.14508578475954	165.07638343352778	-8.81714386641019	-8.221328279646901	-8.440580608656376	-6.162809595753618	-5.488665448135244	-14.894371959578638	-6.042246093536705	-6.786259478022691	-13.166985816595602	19.20784954022764	-11.993555169028085	-8.186718830720725	34.93755601014426	-13.71958821996395	-9.174367149287727	-13.94568838744977	-15.39301760483636	-14.506856440362458	-11.54882745221309	-12.653225961025349	-1.1722533430099844	-0.08351259633232999
120000	-551.3485573541572	-363.77479088095464	-187.57376647320254	5.996042821748703	1.8677669333305202	1.8677669333305202	5.750662236470997	-0.3180763575837649	0.18554914450119872	-0.060264808183166776	-0.06026480818316678	0.1934665209359904	108.32249886111222	181.57434735787535	358.90225096308313	516.0257533952845	130.00393529525869	457.4655102584888	565.72512208062	1980.24032304432	65.97982615686632	226.5013724129532	212.74466819068206	80.7390297192571	80.02044309357609	214.16573113950224	536.8114603853487	684.664076158029	203.84516861447068	249.25480930683625	271.7942593840155	282.85971279017895	137.96799957906765	144.57998910124618	-12.29622643342292	-10.333432131505607	-12.42727214988015	-9.218102797794085	-5.376977114750538	-12.482889583023333	-7.472155015462402	-7.8769865492052675	-10.787059606776234	-10.502992011116065	-14.297683506589845	-8.64269796836448	24.981970290275726	-10.85093885276138	-11.759467629550564	-13.269883437460948	-12.45671749520056	-10.45040471827017	-12.71008732603998	-12.22750886169777	-4.480487300206713	-2.6357662743992645
130000	-614.2480248984944	-348.4826783197343	-265.76534657876	1.3051708299099647	-0.9529759580947051	-0.9529759580947051	5.896501571664077	0.3435192315059208	0.8686938475160527	0.1403958502454798	0.1403958502454798	0.19228246717489367	381.4312870491979	1041.3768524526838	886.6638804653851	448.8634187235193	316.136510666688	398.9394512423278	1105.5226171589477	2181.702222559681	211.70967766539525	250.38381888990102	368.7835784074792	144.25170238285173	121.25960111564486	213.5152754422277	930.3059494421857	1868.5200679243983	320.83073156859746	563.726229048903	878.0854807293181	1011.6992947995396	229.0565224492557	272.605406830351	-14.22207340860136	-14.194549234462428	-16.836152217965036	-12.636954819094388	-10.679169042054529	-14.197965730098273	-10.406592496547876	-10.935492174514218	-13.924587286257402	-6.2434008168981325	-15.214022753276213	-11.860610980952215	10.543409618773982	-13.751824056830433	-15.152043066734304	-15.95558845826177	-14.989077591128558	-17.705422022134535	-12.539082126983267	-15.02470474228836	-11.99409755748099	-7.845345614969702
