NewYork,Bronx,Kings,Queens,Richmond,Nassau,Suffolk,Westchester
NewYork,NA,1.1,NA,0.9,0.5,76,Inf,0.6
Bronx,0.6,NA,2.6,319.2,0.2,4,0.1,18.6
Kings,NA,13.4,NA,2.5,0,0,3.9,NA
Queens,5.7,0.1,0.1,NA,6.5,0.2,122.5,0.6
Richmond,1.4,0.3,0.3,0.1,NA,0.5,0.2,0.4
Nassau,0.9,1,26.1,1.3,48.1,NA,0.1,0.8
Suffolk,0.2,0.2,0.2,0.1,0,23.1,NA,0
Westchester,Inf,0.1,0,0.4,0.1,2.1,0,NA
