# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Feb 10 11:10:04 CET 2023 [seed=1676023803481]
# All_clades.xml
state	location.rates.NewYork.Bronx	location.rates.NewYork.Kings	location.rates.NewYork.Queens	location.rates.NewYork.Richmond	location.rates.NewYork.Nassau	location.rates.NewYork.Suffolk	location.rates.NewYork.Westchester	location.rates.Bronx.Kings	location.rates.Bronx.Queens	location.rates.Bronx.Richmond	location.rates.Bronx.Nassau	location.rates.Bronx.Suffolk	location.rates.Bronx.Westchester	location.rates.Kings.Queens	location.rates.Kings.Richmond	location.rates.Kings.Nassau	location.rates.Kings.Suffolk	location.rates.Kings.Westchester	location.rates.Queens.Richmond	location.rates.Queens.Nassau	location.rates.Queens.Suffolk	location.rates.Queens.Westchester	location.rates.Richmond.Nassau	location.rates.Richmond.Suffolk	location.rates.Richmond.Westchester	location.rates.Nassau.Suffolk	location.rates.Nassau.Westchester	location.rates.Suffolk.Westchester	location.rates.Bronx.NewYork	location.rates.Kings.NewYork	location.rates.Queens.NewYork	location.rates.Richmond.NewYork	location.rates.Nassau.NewYork	location.rates.Suffolk.NewYork	location.rates.Westchester.NewYork	location.rates.Kings.Bronx	location.rates.Queens.Bronx	location.rates.Richmond.Bronx	location.rates.Nassau.Bronx	location.rates.Suffolk.Bronx	location.rates.Westchester.Bronx	location.rates.Queens.Kings	location.rates.Richmond.Kings	location.rates.Nassau.Kings	location.rates.Suffolk.Kings	location.rates.Westchester.Kings	location.rates.Richmond.Queens	location.rates.Nassau.Queens	location.rates.Suffolk.Queens	location.rates.Westchester.Queens	location.rates.Nassau.Richmond	location.rates.Suffolk.Richmond	location.rates.Westchester.Richmond	location.rates.Suffolk.Nassau	location.rates.Westchester.Nassau	location.rates.Westchester.Suffolk	location.indicators.NewYork.Bronx	location.indicators.NewYork.Kings	location.indicators.NewYork.Queens	location.indicators.NewYork.Richmond	location.indicators.NewYork.Nassau	location.indicators.NewYork.Suffolk	location.indicators.NewYork.Westchester	location.indicators.Bronx.Kings	location.indicators.Bronx.Queens	location.indicators.Bronx.Richmond	location.indicators.Bronx.Nassau	location.indicators.Bronx.Suffolk	location.indicators.Bronx.Westchester	location.indicators.Kings.Queens	location.indicators.Kings.Richmond	location.indicators.Kings.Nassau	location.indicators.Kings.Suffolk	location.indicators.Kings.Westchester	location.indicators.Queens.Richmond	location.indicators.Queens.Nassau	location.indicators.Queens.Suffolk	location.indicators.Queens.Westchester	location.indicators.Richmond.Nassau	location.indicators.Richmond.Suffolk	location.indicators.Richmond.Westchester	location.indicators.Nassau.Suffolk	location.indicators.Nassau.Westchester	location.indicators.Suffolk.Westchester	location.indicators.Bronx.NewYork	location.indicators.Kings.NewYork	location.indicators.Queens.NewYork	location.indicators.Richmond.NewYork	location.indicators.Nassau.NewYork	location.indicators.Suffolk.NewYork	location.indicators.Westchester.NewYork	location.indicators.Kings.Bronx	location.indicators.Queens.Bronx	location.indicators.Richmond.Bronx	location.indicators.Nassau.Bronx	location.indicators.Suffolk.Bronx	location.indicators.Westchester.Bronx	location.indicators.Queens.Kings	location.indicators.Richmond.Kings	location.indicators.Nassau.Kings	location.indicators.Suffolk.Kings	location.indicators.Westchester.Kings	location.indicators.Richmond.Queens	location.indicators.Nassau.Queens	location.indicators.Suffolk.Queens	location.indicators.Westchester.Queens	location.indicators.Nassau.Richmond	location.indicators.Suffolk.Richmond	location.indicators.Westchester.Richmond	location.indicators.Suffolk.Nassau	location.indicators.Westchester.Nassau	location.indicators.Westchester.Suffolk	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	56.0
50000	1.2158249111429342	2.6768055535218	2.3555226489015366	0.8034840944973681	1.588498202453878	0.9865207093313884	1.4941225099104596	0.8004281761741416	1.2999820977297079	0.9945436937841262	1.7063692172291671	0.23238422678602091	3.189861669270134	4.162855238952303	0.8397277301707426	1.455603748333208	1.9650335766956823	0.07394855451371803	0.5540528499356888	1.3370499483636735	2.0583533822186273	0.4349977485038315	0.2786895422988491	0.9863380319240062	1.404033063742965	2.0290681022727868	1.2995966516909598	0.09062710148385306	1.9942106003009756	2.0661027238058374	1.7136649973343536	3.364638135855962	1.6778159034609583	7.4883917809672	4.065286705878579	1.050403273223625	0.636877938901598	1.326017457645113	0.37301629101670314	2.1406104710343175	0.8509627073678885	2.2607945522189907	0.5785920551893021	1.6432411208151334	1.167614896416468	3.1547524228804864	0.16605661651961434	1.5245422292533102	2.3613650776774535	0.14384733842793695	0.9293287663898209	0.32585246355280534	2.506262340822222	2.5197305240261243	3.9739704511282734	0.34148324671509384	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	32.0
100000	2.4059885377729437	2.043320790763533	2.989591715552943	0.17732409742467672	3.606537024470197	1.013859124526618	1.950707533279354	1.8124556405023453	1.9743415655131118	6.621052750873318	1.7025368433181167	1.1821940142517597	2.165126850294508	2.3056153186674857	0.7667646419280795	2.1163065697040104	1.9429159603344395	4.40738910652764	1.5478885514275247	2.2409859750270478	0.2265643516034147	1.6822110996822648	1.0840356725512146	3.6339586861419364	2.9128992480820037	3.5893614788961994	0.8894319829392633	0.7286312125619052	4.098671046476513	2.2743881718739574	4.8272034908200485	3.8964248296837685	2.055514727861493	1.4654266772029474	0.8696379107034258	0.8615576393479497	0.6707983572424316	6.705676326366844	2.249746921285913	0.40946524833890885	0.6176754103824615	3.422470502479317	1.523519204067098	2.220128416635122	1.8671050779251757	1.7296238684585032	0.0686949200640378	2.14784065011269	1.078717756348602	0.37155163687900344	2.4582095874286107	0.4428754568964797	0.6916756944671115	5.157179664033239	0.6300980316040962	0.5028650821122709	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	33.0
150000	1.1544168257843557	3.1968305518905806	0.3205377423477524	0.22042642541869373	2.304866625784075	1.6518601284325192	1.4395664031476494	1.9114532230181995	1.3955388862908134	1.9928049038591453	2.066328671276547	0.8916486566709475	1.2839943335356165	4.565222811788157	0.5280667666616374	3.203932603093756	2.2993248833341315	3.535850551471686	0.6962557654771646	2.2795532459317562	1.2637691380020273	1.186533118492967	1.6220925712506618	0.7592495859267725	0.7655230051596216	2.883028640645804	1.6697110316553254	0.7238537557233725	1.7580578786372412	2.051662885014636	2.868096647219991	0.6079553437173331	3.4492616079675282	1.1431011601621905	0.7876826193530404	1.2453141304517208	0.5852815706951175	1.8124929074750022	1.0166280255929963	3.2138854139692143	0.873968717386925	2.4297460049341555	1.9853724177747964	3.3604710003822706	3.961256019254773	2.0015505770041266	0.997038212022667	2.7987173113332964	1.3364696201009292	0.6679151521034731	1.5376826577099156	0.13382136268863234	1.180072927887897	2.842066299393777	0.0855203886370079	1.2842478149453749	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	36.0
200000	0.9310025501872529	2.3740145845727727	3.1576986067411967	0.29339746317270654	4.8932590632192365	2.6202965085720766	1.569265010906177	1.1132395419273031	0.20678364005321542	1.4847899986266293	2.2228130317276507	0.9597181611191129	0.94115249265932	4.060257120605539	2.0287639705485123	1.940385023253074	2.3203451281858114	0.5517214518179001	2.0985011383831655	1.5152286223110787	1.2427486139953585	0.20795263477631618	0.028712032396611964	0.25150338714775006	2.552597961941231	3.6991622460549047	0.5340577381828236	0.7573596658934447	1.6034498294073698	2.4016077934762166	3.805410195276479	0.312286165809519	2.194617195541738	0.7904640547435066	2.627387841863048	0.6045216941318794	1.1227947463806043	0.6938781706444713	1.4534216128158826	2.0921056764022934	1.9638453005372714	2.9282168991280764	0.7885851175607451	2.4095472189992875	1.014472274377099	1.5288893518948006	0.5070940704162417	3.7870597042080907	1.2890876442846657	1.3281472883698533	0.9240378088142036	2.23305176116282	1.2365252861999063	4.259195130835693	0.2191228226280499	0.1441004991631576	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	30.0
250000	2.1589514664658633	2.549813587131107	1.3987454369382915	1.40903563860598	1.5833711380135644	1.1170964909632601	1.4237961180862453	0.4749305494577876	0.710393459613582	7.547465393543392	0.5634720697834669	0.9917776668696474	0.0986516686631962	2.8428113819604315	2.398399507758131	1.6620788510041336	1.618039274079809	0.3463708654374346	3.0689975693227787	1.2904474097075755	1.8844749638713165	2.1540298415312837	0.09585987051612038	0.7412089044152835	0.7207591787939507	2.327858556401674	1.7129936417645473	0.20922630672268533	1.0749572292257235	1.718226360939451	2.854472298600345	2.30633873356499	2.130037373076579	1.3521900257942672	1.2490612030382984	0.7315131767085713	0.3341502799089915	2.2772894145474654	0.8362963854569043	0.937859924327793	0.5092919392238724	1.06524824026306	0.9862518361181521	1.9008775601370465	0.6199671081775223	1.3100329633999095	0.2354687768553849	1.1955303770025327	1.4909601405236874	0.9588134156858673	1.3986446407708522	6.023327936848333	2.393316634761017	2.908254632810473	0.39194879962558166	0.2536137331129272	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	31.0
300000	1.096067138479132	2.3996901536753774	4.664527919550416	1.4516475478920305	2.4538878752448468	1.5920965466709345	1.1335286185853086	1.0080513148965062	0.7775416590067303	0.40734545757033463	1.4805874287493483	0.5504293743392297	0.18150445174819638	1.043622336398056	1.9859559062231744	2.4462402467231157	3.3026582336717403	0.6258483390798524	3.6072914689369195	1.2293114231609465	0.6724513144406752	0.45102114575225055	0.22699741682173963	2.0615660401806433	2.6633263061944206	2.794403257355821	1.7634502442904998	0.26555964286959477	2.8521190410134785	2.014893562091371	2.8505975618829016	0.27989828421181123	0.6905921352969292	1.1144619618680602	1.3547320504985538	1.4397449048114808	1.132285372089717	2.281254887430173	0.4986502322750723	2.8047724589302323	1.385847395036928	1.9882652560187666	0.8035026848502699	2.112460166663339	10.943536216666182	0.3397730322362299	0.9577550937999638	2.8313843813599644	1.0113883743815424	0.8756996529803837	0.7960820606381631	0.5981085689053226	1.228807667566621	2.120599191887867	1.9918312586522748	0.434685537159588	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	31.0
350000	0.6265227247655688	2.0619502223801316	2.3107368024451427	1.7329575513802247	2.2536427208325835	2.585855361554178	1.3255130343841375	0.7029634963338789	0.6389044666405572	0.19798314590548288	2.3901741909983003	0.46920267667181365	0.818937538414924	2.663986761067827	1.579590333502146	2.3586132102591115	1.9757405024527448	0.18912492036992362	2.281889435095363	1.7574047708097686	1.6790004488023056	0.4634104851217259	0.41501813588837677	0.8513603892282636	0.43866108341213605	2.839458575483079	1.290106616528718	0.7876134060530321	2.013995628266971	1.211892596950186	3.0638213301633135	0.641256682155182	1.5465978442890889	0.09275433927811833	1.7494739962451271	0.2935079573091137	2.1072179806087252	5.793631635598684	0.7193939658995715	1.4276714041189194	1.3016385644724602	3.8188654310373265	0.27406633441763567	1.7722288904879198	0.7423123166436847	1.0900825354003407	2.3872493415125304	2.1240982639153385	2.308278996690665	0.9105366749312558	0.5442124613431194	1.088282876913765	3.0334705192919227	4.489766896498796	0.4608528161916426	1.9508875674437622	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	31.0
400000	3.061916348866168	2.2306849564095814	2.3616226783274192	3.630962651907415	2.5228742120660783	1.9165603599053156	1.034432985957791	0.934339849021845	0.44914377398421534	3.104435134014646	1.2539635026573994	4.891848065946873	2.4846244268719118	1.6604884147251207	0.7628642914642332	1.3822178012332804	1.12223587975982	0.09346070428888985	0.1141718923995068	2.176942285252981	2.7662696864476413	2.464522656652731	2.9406991022740283	0.48158321146447924	0.7950395904723753	3.0103042156722726	1.9217354177824928	0.9171356532331639	1.55873411334272	1.898332625145636	2.3192463873486724	4.426246264822058	2.1100963241161104	0.19397848544552657	1.7617347530805194	0.7362874142204554	2.2844149220540304	2.673154075324543	0.4888029752985888	1.2183678937561093	0.6139936022224416	2.281973574639897	1.2375943129059017	1.5128343738827863	1.7452896374208706	0.8138830802018124	0.07461798895993532	2.4155198469624373	1.5615672806135183	2.164247680671754	1.263490562426342	0.20239902828664777	4.0698008380851665	4.797688010925541	1.585300698476692	1.1227434066826423	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	28.0
450000	2.1258490672462718	2.1800339267838256	2.626385498538701	3.0516271894889893	0.851721571671614	3.0191746862347304	0.8117795093804855	0.3756878158888117	0.9718353881663722	0.3897060542013051	2.9092975726874877	1.3823719896377933	1.7091896021866562	2.5437607632660875	1.2026130219325697	1.6841116994152472	2.2908525715425316	0.2693573493180703	0.6870668138244996	2.0117546388062233	1.0926992597910608	2.7525609732612364	0.9577219985321853	0.12276902623318148	4.069287205401031	2.3295282417283647	1.6827001317474624	0.17781865839535033	1.6161791828884953	3.113635476023868	4.354331983380646	1.7859104917802615	2.0272631922518007	3.6261563421687164	1.7317386581464862	0.8393340030453706	1.510872107783579	1.5864958930769664	0.7194189726590293	0.7091856542747849	0.7320981500906557	3.3743127000710724	2.829426989231972	1.886233158077193	1.4202469379761455	1.8997394697630388	0.35114779013748637	2.2528757872345517	3.618073282346828	0.3296943005414901	1.088701585939979	0.6218608904049218	1.8261828155557016	1.5022200625516913	2.2864695324296456	2.2548652438028345	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	31.0
