NewYork,Bronx,Kings,Queens,Richmond,Nassau,Suffolk,Westchester
NewYork,NA,Inf,Inf,0,Inf,193,1,NA
Bronx,1.5,NA,26.5,0,0.3,0,0.1,0.2
Kings,0.3,0,NA,Inf,0.3,0,143.5,0
Queens,Inf,75.6,25.6,NA,0.2,0.8,0.2,2.6
Richmond,0.3,0.3,0.6,0.2,NA,0.2,0.2,0.3
Nassau,NA,0.2,NA,NA,Inf,NA,NA,5.4
Suffolk,1,0.1,0,0.3,0,1.6,NA,0
Westchester,0.3,0.1,0.2,4,0.4,0.2,0.2,NA
