node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear
4,1,0.16388,-73.6021451090099,40.7316179517129,-73.6093432118073,40.7523571574566,0.16388,0,2021.75440767123,2021.91828767123
4,5,0.00827,-73.6021451090099,40.7316179517129,-73.600428169522,40.7298046205168,0.00827,0,2021.75440767123,2021.76267767123
5,3,0.11161,-73.600428169522,40.7298046205168,-73.5774220446473,40.7191393685539,0.11988,0.00827,2021.76267767123,2021.87428767123
5,2,0.16061,-73.600428169522,40.7298046205168,-73.6382462676042,40.7402809206404,0.16888,0.00827,2021.76267767123,2021.92328767123
