NewYork,Bronx,Kings,Queens,Richmond,Nassau,Suffolk,Westchester
NewYork,NA,Inf,Inf,1.2,5645,15.8,42.4,2819.4
Bronx,2819.4,NA,57.2,0,0,0,0.1,0.1
Kings,0.5,0.6,NA,Inf,6.2,1406.5,19.3,0
Queens,Inf,Inf,464.7,NA,0.2,3.6,4.4,55.8
Richmond,1.7,0,0.4,0.1,NA,31.4,0.1,0.1
Nassau,935.6,16.6,1.9,Inf,Inf,NA,Inf,621.6
Suffolk,0.4,0,0.3,3.4,0,Inf,NA,0.1
Westchester,1.2,3.9,0.2,2.5,1,0.2,0.2,NA
