# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Sep 13 16:35:44 CEST 2022 [seed=1663079604808]
# Delta_DTA.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.NYC_counties.other	location.rates.other.NYC_counties	location.indicators.NYC_counties.other	location.indicators.other.NYC_counties	location.nonZeroRates	location.branchRates	location.treeLikelihood
0	-21363.520987937045	-5254.591428409546	-16108.9295595275	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	-16108.9295595275
1000	-18640.521871560035	-1532.2938844474825	-17108.227987112554	0.2918140727970237	0.2918140727970186	0.40497504754883684	1.153692520945839	1.0	1.0	2.0	0.0	-17108.227987112554
2000	-18640.756215188176	-1508.0938989323977	-17132.662316255777	0.2872648764496803	0.28726487644967325	0.3197092629669789	0.9510785163616233	1.0	1.0	2.0	0.0	-17132.662316255777
3000	-18641.756768590625	-1560.8645872143713	-17080.892181376254	0.29725442117516615	0.2972544211751596	0.4349102038705436	1.098318920821474	1.0	1.0	2.0	0.0	-17080.892181376254
4000	-18643.229602240805	-1527.1397836109297	-17116.089818629876	0.2905941249460773	0.29059412494606934	0.7063789903514655	2.110631785986926	1.0	1.0	2.0	0.0	-17116.089818629876
5000	-18642.122061658923	-1548.8977272913885	-17093.224334367536	0.294947836981703	0.2949478369816997	0.4757104525217494	1.214752557309226	1.0	1.0	2.0	0.0	-17093.224334367536
6000	-18639.626163183184	-1553.9444620529734	-17085.681701130212	0.2961716082809908	0.29617160828099204	0.08410821728770583	0.22057918303691254	1.0	1.0	2.0	0.0	-17085.681701130212
7000	-18640.49573578778	-1581.8167554397708	-17058.67898034801	0.3014575687597279	0.30145756875971996	0.11254399769462115	0.27993433705444903	1.0	1.0	2.0	0.0	-17058.67898034801
8000	-18641.49592643072	-1567.6621359653263	-17073.833790465396	0.29873909018181716	0.2987390901818124	0.15365694852734624	0.37327420027773467	1.0	1.0	2.0	0.0	-17073.833790465396
9000	-18642.523628790706	-1519.8404673716084	-17122.6831614191	0.2895139228242063	0.2895139228242017	0.32885964693708963	0.8667371287692616	1.0	1.0	2.0	0.0	-17122.6831614191
10000	-18641.249772713545	-1506.9033386222486	-17134.346434091298	0.28701930941883075	0.28701930941883436	0.36892337561920985	1.0020905145642631	1.0	1.0	2.0	0.0	-17134.346434091298
11000	-18642.949947391757	-1586.1987483599385	-17056.75119903182	0.3019036368730124	0.3019036368730046	0.6419163010665472	1.7879019710999817	1.0	1.0	2.0	0.0	-17056.75119903182
12000	-18639.731140644184	-1568.3087519996577	-17071.422388644525	0.2988635184890624	0.2988635184890574	0.14329722472686837	0.3762195996981175	1.0	1.0	2.0	0.0	-17071.422388644525
13000	-18643.258362833796	-1527.053579990892	-17116.204782842902	0.2909580036979083	0.2909580036979072	0.19308719620690776	0.6250535668292908	1.0	1.0	2.0	0.0	-17116.204782842902
14000	-18641.04079763156	-1525.7296284149083	-17115.31116921665	0.29063538983080756	0.29063538983079823	0.2979585051194602	0.8919952303484747	1.0	1.0	2.0	0.0	-17115.31116921665
15000	-18641.573984174687	-1556.1475600567358	-17085.42642411795	0.29637231587616686	0.29637231587616214	0.4016833179274212	1.051123358684228	1.0	1.0	2.0	0.0	-17085.42642411795
16000	-18640.829434690535	-1545.6679068347744	-17095.161527855762	0.2942733810625129	0.2942733810625114	0.5434416386671744	1.4623479485385573	1.0	1.0	2.0	0.0	-17095.161527855762
17000	-18641.875576873234	-1552.8292363584567	-17089.04634051478	0.2955344234464773	0.2955344234464743	0.6988660836014469	1.8398298701376539	1.0	1.0	2.0	0.0	-17089.04634051478
18000	-18640.91251963925	-1541.2840680773238	-17099.628451561926	0.2934419051935246	0.29344190519352287	0.532132356115974	1.4603141070155314	1.0	1.0	2.0	0.0	-17099.628451561926
19000	-18639.694935394193	-1537.1512943412397	-17102.543641052955	0.29291914082190657	0.2929191408219026	0.1566494790745685	0.4508373415406593	1.0	1.0	2.0	0.0	-17102.543641052955
20000	-18640.33039061702	-1522.5928572727216	-17117.737533344298	0.2901088357612968	0.2901088357612996	0.22658879368175297	0.5943364235009045	1.0	1.0	2.0	0.0	-17117.737533344298
21000	-18642.013925746083	-1538.9344590333483	-17103.079466712734	0.29276420675102766	0.29276420675102804	0.8715753978629128	2.3334586673958135	1.0	1.0	2.0	0.0	-17103.079466712734
22000	-18642.5053919095	-1518.330506829003	-17124.174885080498	0.2888258109567837	0.28882581095678045	0.875160037547208	2.427425051911602	1.0	1.0	2.0	0.0	-17124.174885080498
23000	-18647.52341930367	-1493.0745665480413	-17154.448852755628	0.2836420287641754	0.2836420287641711	1.2436652146356377	4.050785352257503	1.0	1.0	2.0	0.0	-17154.448852755628
24000	-18641.456585030137	-1515.3096370375831	-17126.146947992554	0.2884960439349582	0.28849604393495715	0.5165326973260163	1.4985506772594241	1.0	1.0	2.0	0.0	-17126.146947992554
25000	-18641.200773648627	-1569.5382410264772	-17071.66253262215	0.29898101409104133	0.2989810140910417	0.298050104039177	0.8333657268073027	1.0	1.0	2.0	0.0	-17071.66253262215
26000	-18641.775779893076	-1562.1164311656635	-17079.65934872741	0.29733720305677397	0.2973372030567683	0.6294861561464296	1.7204612462292808	1.0	1.0	2.0	0.0	-17079.65934872741
27000	-18639.719465688555	-1546.7701024006928	-17092.949363287862	0.29468278188705127	0.2946827818870519	0.25883899880864203	0.6972096254779593	1.0	1.0	2.0	0.0	-17092.949363287862
28000	-18640.413001388002	-1548.301794098624	-17092.111207289377	0.29495273364368135	0.29495273364367747	0.28956626533781793	0.7792252051032317	1.0	1.0	2.0	0.0	-17092.111207289377
29000	-18640.049916326705	-1527.00361614008	-17113.046300186626	0.2908837690969508	0.2908837690969482	0.3055601115364062	0.8528182142797043	1.0	1.0	2.0	0.0	-17113.046300186626
30000	-18640.38456735379	-1562.752045655013	-17077.63252169878	0.29765436843372495	0.2976543684337225	0.358161330592801	0.9602873482828582	1.0	1.0	2.0	0.0	-17077.63252169878
31000	-18640.741440549	-1522.0040055061957	-17118.737435042807	0.2899551527070652	0.2899551527070638	0.2613767005475651	0.7785061048725369	1.0	1.0	2.0	0.0	-17118.737435042807
