# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Sep 13 12:56:02 CEST 2022 [seed=1663066532401]
# O-BA1_DTA.xml
state	location.rates.NYC_counties.other	location.rates.other.NYC_counties	location.indicators.NYC_counties.other	location.indicators.other.NYC_counties	location.nonZeroRates
0	1.0	1.0	1.0	1.0	2.0
1000	0.7410428950938206	2.382641772471418	1.0	1.0	2.0
2000	0.5874548930274592	1.9655818208503728	1.0	1.0	2.0
3000	1.0582077385989022	3.7031434781950336	1.0	1.0	2.0
4000	1.0467122041736907	3.596476954981187	1.0	1.0	2.0
5000	0.4342297497418665	1.5112640842518417	1.0	1.0	2.0
6000	0.16160461652699523	0.6115961701937973	1.0	1.0	2.0
7000	0.19273598392907212	0.6972484182018446	1.0	1.0	2.0
8000	0.29820844618261544	0.9809946874862556	1.0	1.0	2.0
9000	0.3034800881001435	0.9305688959540632	1.0	1.0	2.0
10000	0.21723945642555537	0.6938058189782451	1.0	1.0	2.0
11000	0.06883284585378911	0.27086632762971014	1.0	1.0	2.0
12000	0.2834848189595637	0.9792972355816125	1.0	1.0	2.0
13000	0.643914054209829	1.9501770729503538	1.0	1.0	2.0
14000	0.1527424805918595	0.6309157081930149	1.0	1.0	2.0
15000	0.33078702894628037	1.2818009143773461	1.0	1.0	2.0
16000	0.5524161327817328	1.8439341071526647	1.0	1.0	2.0
17000	0.06470813158296328	0.2135216447498303	1.0	1.0	2.0
18000	0.45112183088451807	1.5356063640442053	1.0	1.0	2.0
19000	0.44499533166560257	1.6307783661134814	1.0	1.0	2.0
20000	0.5373688003943273	1.868574779938279	1.0	1.0	2.0
21000	0.3157720586277183	0.9958690337333622	1.0	1.0	2.0
22000	0.6002416112840474	2.0513022660368936	1.0	1.0	2.0
23000	0.2328317361917018	0.8715487809654591	1.0	1.0	2.0
24000	0.2531484482287164	0.87602252354071	1.0	1.0	2.0
25000	0.24412174425565533	0.9801910303051501	1.0	1.0	2.0
26000	0.3878792767878287	1.3229465204409676	1.0	1.0	2.0
27000	0.09188748513707348	0.32521547256861977	1.0	1.0	2.0
28000	0.8482112099123864	2.6695993071626396	1.0	1.0	2.0
29000	0.35592872287512045	1.1215454012361523	1.0	1.0	2.0
30000	0.26112313760328787	0.8300102823071629	1.0	1.0	2.0
31000	0.45562035727887884	1.6298786846638194	1.0	1.0	2.0
32000	0.25265072797316096	0.8586308843683856	1.0	1.0	2.0
33000	1.432749481098044	5.416664552744896	1.0	1.0	2.0
34000	0.43112690108023527	1.3914985736560446	1.0	1.0	2.0
35000	0.2761459552753295	0.9863976517797013	1.0	1.0	2.0
36000	0.4357933178454839	1.4799165220931987	1.0	1.0	2.0
37000	0.3280409268535039	1.3426836696637188	1.0	1.0	2.0
38000	0.0830951220017784	0.2741484311252907	1.0	1.0	2.0
39000	0.665641953999287	2.4997297313838476	1.0	1.0	2.0
40000	0.16948104776821254	0.6427401732622173	1.0	1.0	2.0
41000	0.6762527242503199	2.325274681504099	1.0	1.0	2.0
42000	0.276495926359425	0.9595726845126107	1.0	1.0	2.0
43000	0.4564020342385775	1.55301173146653	1.0	1.0	2.0
44000	0.48592055081783536	1.4998485579530858	1.0	1.0	2.0
45000	0.6784180018551206	2.246412457977674	1.0	1.0	2.0
46000	0.6756725611276017	2.636928376075174	1.0	1.0	2.0
47000	0.843788494225196	3.358257653090199	1.0	1.0	2.0
48000	0.14281171509643575	0.4796769236383362	1.0	1.0	2.0
49000	0.42577404236618294	1.6955941015452196	1.0	1.0	2.0
50000	0.8483472208692496	2.5596364405681578	1.0	1.0	2.0
51000	0.49485277707027026	2.030213513447585	1.0	1.0	2.0
52000	0.4715388470010602	1.9268287087146756	1.0	1.0	2.0
53000	2.2016016431117182	7.706886005686326	1.0	1.0	2.0
54000	0.29051709095671785	1.1118570963118437	1.0	1.0	2.0
55000	0.08667127346810002	0.29639194102945005	1.0	1.0	2.0
56000	0.5374119669968513	1.579474280764248	1.0	1.0	2.0
57000	0.0810932050850661	0.29350251265513494	1.0	1.0	2.0
58000	0.29979945191073076	1.1309577128330632	1.0	1.0	2.0
59000	0.3992443445895215	1.4469942206776687	1.0	1.0	2.0
60000	0.16959041870525965	0.6211445394605662	1.0	1.0	2.0
61000	0.49572400941320727	1.6965550341597477	1.0	1.0	2.0
62000	0.5667376824395761	1.5315183410246744	1.0	1.0	2.0
63000	0.689055091618091	2.317108716856554	1.0	1.0	2.0
64000	0.3199867180210972	1.0558084243859323	1.0	1.0	2.0
65000	0.1439129301577586	0.529522551800749	1.0	1.0	2.0
66000	0.5621316524134924	1.9649656526651762	1.0	1.0	2.0
67000	0.6582506805324397	2.0865095176471105	1.0	1.0	2.0
68000	0.5560263322767494	1.8424126866645072	1.0	1.0	2.0
69000	1.0795569873300535	3.731832893461436	1.0	1.0	2.0
70000	0.7144831127321444	1.9891482322364111	1.0	1.0	2.0
71000	0.6028587544664331	1.9079749550471963	1.0	1.0	2.0
72000	0.2201839766711323	0.8117363644557564	1.0	1.0	2.0
73000	0.641030901120191	2.1349483684315658	1.0	1.0	2.0
74000	0.2473025138990381	0.9062479537331134	1.0	1.0	2.0
75000	0.1775955535299721	0.5561743879720804	1.0	1.0	2.0
76000	0.12448336528100909	0.42646238552121674	1.0	1.0	2.0
77000	1.146324235235699	3.9667308800239214	1.0	1.0	2.0
78000	0.5327802544530407	2.193782005795147	1.0	1.0	2.0
79000	0.17236750640142667	0.6145424888773139	1.0	1.0	2.0
80000	1.2294436005547502	3.8595113947721638	1.0	1.0	2.0
81000	0.04133798908557379	0.1344282839231478	1.0	1.0	2.0
82000	0.3067746516914746	1.1322043757158458	1.0	1.0	2.0
83000	0.44620791790530195	1.5625367851134107	1.0	1.0	2.0
84000	0.6792010785514274	2.479692417509835	1.0	1.0	2.0
85000	0.387393048269016	1.1444795910775236	1.0	1.0	2.0
86000	1.154097694011038	4.233927177124218	1.0	1.0	2.0
87000	0.051439756218236335	0.18788928188960974	1.0	1.0	2.0
88000	0.2332017202475935	0.7901946072191808	1.0	1.0	2.0
89000	0.1171758743212856	0.3759970003701038	1.0	1.0	2.0
90000	0.7734766389463605	2.516886282570727	1.0	1.0	2.0
91000	0.8208427804101571	3.0084353496474137	1.0	1.0	2.0
92000	1.631335863517173	5.45391165160608	1.0	1.0	2.0
93000	0.596796911868403	1.9550334686496385	1.0	1.0	2.0
94000	0.6450395808035916	2.427708227635847	1.0	1.0	2.0
95000	0.49084485621767443	1.3714265471418858	1.0	1.0	2.0
96000	1.090315229125822	3.4374770834764754	1.0	1.0	2.0
97000	0.9446512953851237	3.229823494278469	1.0	1.0	2.0
