node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear,cladeID
5,1,Kings,Kings,0.11644,0.11644,0,2021.27761027397,2021.39405027397,Alpha_87
5,6,Kings,Queens,0.14898,0.14898,0,2021.27761027397,2021.42659027397,Alpha_87
6,7,Queens,Kings,0.03366,0.18264,0.14898,2021.42659027397,2021.46025027397,Alpha_87
6,4,Queens,Queens,0.05846,0.20744,0.14898,2021.42659027397,2021.48505027397,Alpha_87
7,2,Kings,Kings,0.0458,0.22844,0.18264,2021.46025027397,2021.50605027397,Alpha_87
7,3,Kings,Suffolk,0.0488,0.23144,0.18264,2021.46025027397,2021.50905027397,Alpha_87
4,1,Westchester,Westchester,0.14667,0.14667,0,2021.01541686742,2021.16208686742,Alpha_636
4,5,Westchester,Westchester,0.06963,0.06963,0,2021.01541686742,2021.08504686742,Alpha_636
5,2,Westchester,Westchester,0.0000400000000100043,0.06967000000001,0.06963,2021.08504686742,2021.08508686742,Alpha_636
5,3,Westchester,Westchester,0.01104,0.08067,0.06963,2021.08504686742,2021.09608686742,Alpha_636
5,1,Bronx,Bronx,0.001412572784,0.001412572784,0,2021.16511465757,2021.16652723035,Alpha_296
5,6,Bronx,Bronx,0.00610179556099999,0.00610179556099999,0,2021.16511465757,2021.17121645313,Alpha_296
6,2,Bronx,Bronx,0.00131077722300002,0.00741257278400001,0.00610179556099999,2021.17121645313,2021.17252723035,Alpha_296
6,7,Bronx,Bronx,0.01988217537,0.025983970931,0.00610179556099999,2021.17121645313,2021.1910986285,Alpha_296
7,3,Bronx,Bronx,0.000428601853400018,0.0264125727844,0.025983970931,2021.1910986285,2021.19152723035,Alpha_296
7,4,Bronx,Kings,0.1294286019,0.155412572831,0.025983970931,2021.1910986285,2021.3205272304,Alpha_296
4,1,Queens,Kings,0.00302,0.00302,0,2021.0090001895,2021.0120201895,Alpha_182
4,5,Queens,Queens,0.04932,0.04932,0,2021.0090001895,2021.0583201895,Alpha_182
5,2,Queens,Queens,0.0027,0.05202,0.04932,2021.0583201895,2021.0610201895,Alpha_182
5,3,Queens,Queens,0.0027,0.05202,0.04932,2021.0583201895,2021.0610201895,Alpha_182
6,7,Kings,Kings,0.05184222177,0.05184222177,0,2021.30697739726,2021.35881961903,Alpha_593
6,8,Kings,Kings,0.00166891407799999,0.00166891407799999,0,2021.30697739726,2021.30864631134,Alpha_593
7,1,Kings,Kings,0.000826692311999999,0.052668914082,0.05184222177,2021.35881961903,2021.35964631134,Alpha_593
7,2,Kings,Kings,0.003826692312,0.055668914082,0.05184222177,2021.35881961903,2021.36264631134,Alpha_593
8,3,Kings,Kings,0.079,0.080668914078,0.00166891407799999,2021.30864631134,2021.38764631134,Alpha_593
8,9,Kings,Suffolk,0.13375,0.135418914078,0.00166891407799999,2021.30864631134,2021.44239631134,Alpha_593
9,4,Suffolk,Suffolk,0.00025,0.135668914078,0.135418914078,2021.44239631134,2021.44264631134,Alpha_593
9,5,Suffolk,Suffolk,0.00025,0.135668914078,0.135418914078,2021.44239631134,2021.44264631134,Alpha_593
4,1,Nassau,Nassau,0.000952297639399999,0.000952297639399999,0,2021.22772178082,2021.22867407846,Alpha_306
4,5,Nassau,Nassau,0.000902297639500001,0.000902297639500001,0,2021.22772178082,2021.22862407846,Alpha_306
5,3,Nassau,Nassau,0.000049999999909997,0.000952297639409998,0.000902297639500001,2021.22862407846,2021.22867407846,Alpha_306
5,2,Nassau,Nassau,0.01905,0.0199522976395,0.000902297639500001,2021.22862407846,2021.24767407846,Alpha_306
4,1,Suffolk,Westchester,0.26569,0.26569,0,2021.03529835616,2021.30098835616,Alpha_190
4,5,Suffolk,Suffolk,0.00262000000000001,0.00262000000000001,0,2021.03529835616,2021.03791835616,Alpha_190
5,2,Suffolk,Suffolk,0.0000699999999099754,0.00268999999990999,0.00262000000000001,2021.03791835616,2021.03798835616,Alpha_190
5,3,Suffolk,Suffolk,0.0000699999999099754,0.00268999999990999,0.00262000000000001,2021.03791835616,2021.03798835616,Alpha_190
5,6,NewYork,Suffolk,0.04012,0.04012,0,2021.19222178082,2021.23234178082,Alpha_14
5,7,NewYork,NewYork,0.05867472101,0.05867472101,0,2021.19222178082,2021.25089650183,Alpha_14
7,3,NewYork,NewYork,0.000205278987100002,0.0588799999971,0.05867472101,2021.25089650183,2021.25110178082,Alpha_14
6,2,Suffolk,Suffolk,0.02676,0.06688,0.04012,2021.23234178082,2021.25910178082,Alpha_14
6,1,Suffolk,Suffolk,0.04376,0.08388,0.04012,2021.23234178082,2021.27610178082,Alpha_14
7,4,NewYork,Kings,0.04720527899,0.10588,0.05867472101,2021.25089650183,2021.29810178082,Alpha_14
12,13,Kings,Kings,0.07975,0.07975,0,2021.14810410959,2021.22785410959,Alpha_64
12,17,Kings,Kings,0.0125,0.0125,0,2021.14810410959,2021.16060410959,Alpha_64
17,18,Kings,Nassau,0.01821030039,0.03071030039,0.0125,2021.16060410959,2021.17881440998,Alpha_64
18,7,Nassau,Nassau,0.00122969960700001,0.031939999997,0.03071030039,2021.17881440998,2021.18004410959,Alpha_64
18,19,Nassau,Queens,0.03442969961,0.06514,0.03071030039,2021.17881440998,2021.21324410959,Alpha_64
19,20,Queens,Queens,0.00267000000000001,0.06781,0.06514,2021.21324410959,2021.21591410959,Alpha_64
17,6,Kings,Kings,0.05544,0.06794,0.0125,2021.16060410959,2021.21604410959,Alpha_64
20,9,Queens,Queens,0.00513,0.07294,0.06781,2021.21591410959,2021.22104410959,Alpha_64
19,8,Queens,Queens,0.0218,0.08694,0.06514,2021.21324410959,2021.23504410959,Alpha_64
20,21,Queens,Queens,0.01918,0.08699,0.06781,2021.21591410959,2021.23509410959,Alpha_64
21,10,Queens,Queens,0.00294999999999999,0.08994,0.08699,2021.23509410959,2021.23804410959,Alpha_64
13,14,Kings,Kings,0.02621,0.10596,0.07975,2021.22785410959,2021.25406410959,Alpha_64
21,11,Queens,Queens,0.02195,0.10894,0.08699,2021.23509410959,2021.25704410959,Alpha_64
14,15,Kings,Kings,0.04795842914,0.15391842914,0.10596,2021.25406410959,2021.30202253873,Alpha_64
15,2,Kings,Kings,0.001021570857,0.154939999997,0.15391842914,2021.30202253873,2021.30304410959,Alpha_64
14,16,Kings,Kings,0.0598283803,0.1657883803,0.10596,2021.25406410959,2021.31389248989,Alpha_64
16,4,Kings,Kings,0.000151619704700012,0.1659400000047,0.1657883803,2021.31389248989,2021.31404410959,Alpha_64
16,5,Kings,Kings,0.000151619704700012,0.1659400000047,0.1657883803,2021.31389248989,2021.31404410959,Alpha_64
15,3,Kings,Kings,0.01802157086,0.17194,0.15391842914,2021.30202253873,2021.32004410959,Alpha_64
13,1,Kings,Kings,0.09719,0.17694,0.07975,2021.22785410959,2021.32504410959,Alpha_64
5,1,Kings,Kings,0.00103665794300001,0.00103665794300001,0,2021.05174808219,2021.05278474013,Alpha_736
5,6,Kings,Kings,0.0000670019044299863,0.0000670019044299863,0,2021.05174808219,2021.05181508409,Alpha_736
6,7,Kings,Kings,0.000709656038400008,0.000776657942829995,0.0000670019044299863,2021.05181508409,2021.05252474013,Alpha_736
7,3,Kings,Bronx,0.01626,0.01703665794283,0.000776657942829995,2021.05252474013,2021.06878474013,Alpha_736
6,2,Kings,Richmond,0.03096965604,0.03103665794443,0.0000670019044299863,2021.05181508409,2021.08278474013,Alpha_736
7,4,Kings,Kings,0.18326,0.18403665794283,0.000776657942829995,2021.05252474013,2021.23578474013,Alpha_736
4,1,Bronx,Bronx,0.001597793281,0.001597793281,0,2021.08792109589,2021.08951888917,Alpha_222
4,5,Bronx,Bronx,0.01039779328,0.01039779328,0,2021.08792109589,2021.09831888917,Alpha_222
5,2,Bronx,NewYork,0.000199999999999999,0.01059779328,0.01039779328,2021.09831888917,2021.09851888917,Alpha_222
5,3,Bronx,Bronx,0.0352,0.04559779328,0.01039779328,2021.09831888917,2021.13351888917,Alpha_222
6,1,Westchester,Bronx,0.03668,0.03668,0,2021.26114746644,2021.29782746644,Alpha_334
6,7,Westchester,Westchester,0.01267,0.01267,0,2021.26114746644,2021.27381746644,Alpha_334
7,2,Westchester,Westchester,0.00201,0.01468,0.01267,2021.27381746644,2021.27582746644,Alpha_334
7,8,Westchester,Westchester,0.0027,0.01537,0.01267,2021.27381746644,2021.27651746644,Alpha_334
8,9,Westchester,Westchester,0.001067489426,0.016437489426,0.01537,2021.27651746644,2021.27758495587,Alpha_334
8,3,Westchester,Westchester,0.00231,0.01768,0.01537,2021.27651746644,2021.27882746644,Alpha_334
9,4,Westchester,Westchester,0.001242510574,0.01768,0.016437489426,2021.27758495587,2021.27882746644,Alpha_334
9,5,Westchester,Westchester,0.004242510574,0.02068,0.016437489426,2021.27758495587,2021.28182746644,Alpha_334
4,1,NewYork,NewYork,0.04826,0.04826,0,2021.04340682009,2021.09166682009,Alpha_242
4,5,NewYork,NewYork,0.02067527317,0.02067527317,0,2021.04340682009,2021.06408209326,Alpha_242
5,2,NewYork,NewYork,0.000584726833299992,0.0212600000033,0.02067527317,2021.06408209326,2021.06466682009,Alpha_242
5,3,NewYork,Kings,0.1185847268,0.13925999997,0.02067527317,2021.06408209326,2021.18266682006,Alpha_242
29,1,Nassau,Nassau,0.07853,0.07853,0,2021.14810410959,2021.22663410959,Alpha_429
29,30,Nassau,Nassau,0.00902999999999998,0.00902999999999998,0,2021.14810410959,2021.15713410959,Alpha_429
30,33,Nassau,Nassau,0.00609000000000004,0.01512,0.00902999999999998,2021.15713410959,2021.16322410959,Alpha_429
33,34,Nassau,Nassau,0.00907000000000002,0.02419,0.01512,2021.16322410959,2021.17229410959,Alpha_429
34,43,Nassau,Nassau,0.00295999999999996,0.02715,0.02419,2021.17229410959,2021.17525410959,Alpha_429
43,47,Nassau,Nassau,0.00546999999999997,0.03262,0.02715,2021.17525410959,2021.18072410959,Alpha_429
47,48,Nassau,Nassau,0.00409233708099999,0.036712337081,0.03262,2021.18072410959,2021.18481644667,Alpha_429
48,19,Nassau,Nassau,0.000817662919100015,0.0375300000001,0.036712337081,2021.18481644667,2021.18563410959,Alpha_429
48,20,Nassau,Queens,0.000817662919100015,0.0375300000001,0.036712337081,2021.18481644667,2021.18563410959,Alpha_429
47,49,Nassau,Queens,0.0487636758300001,0.0813836758300001,0.03262,2021.18072410959,2021.22948778542,Alpha_429
49,50,Queens,Queens,0.000546324167999934,0.081929999998,0.0813836758300001,2021.22948778542,2021.23003410959,Alpha_429
34,35,Nassau,Nassau,0.06894,0.09313,0.02419,2021.17229410959,2021.24123410959,Alpha_429
33,5,Nassau,Kings,0.09141,0.10653,0.01512,2021.16322410959,2021.25463410959,Alpha_429
35,36,Nassau,Suffolk,0.033,0.12613,0.09313,2021.24123410959,2021.27423410959,Alpha_429
35,38,Nassau,Nassau,0.0356,0.12873,0.09313,2021.24123410959,2021.27683410959,Alpha_429
49,28,Queens,Queens,0.0551463241699999,0.13653,0.0813836758300001,2021.22948778542,2021.28463410959,Alpha_429
50,21,Queens,Nassau,0.0596,0.141529999998,0.081929999998,2021.23003410959,2021.28963410959,Alpha_429
50,51,Queens,Queens,0.061231457,0.143161456998,0.081929999998,2021.23003410959,2021.29126556659,Alpha_429
51,55,Queens,Queens,0.00124796809500005,0.144409425093,0.143161456998,2021.29126556659,2021.29251353468,Alpha_429
55,26,Queens,Queens,0.000120574903199944,0.1445299999962,0.144409425093,2021.29251353468,2021.29263410959,Alpha_429
36,37,Suffolk,Suffolk,0.02182,0.14795,0.12613,2021.27423410959,2021.29605410959,Alpha_429
38,9,Nassau,Suffolk,0.0238,0.15253,0.12873,2021.27683410959,2021.30063410959,Alpha_429
30,31,Nassau,Nassau,0.16038,0.16941,0.00902999999999998,2021.15713410959,2021.31751410959,Alpha_429
31,2,Nassau,Nassau,0.000119999999900033,0.1695299999999,0.16941,2021.31751410959,2021.31763410959,Alpha_429
36,6,Suffolk,Suffolk,0.0484,0.17453,0.12613,2021.27423410959,2021.32263410959,Alpha_429
38,39,Nassau,Nassau,0.05434,0.18307,0.12873,2021.27683410959,2021.33117410959,Alpha_429
51,52,Queens,Suffolk,0.048288543,0.191449999998,0.143161456998,2021.29126556659,2021.33955410959,Alpha_429
39,40,Nassau,Nassau,0.00852999999999998,0.1916,0.18307,2021.33117410959,2021.33970410959,Alpha_429
52,53,Suffolk,Suffolk,0.01084,0.202289999998,0.191449999998,2021.33955410959,2021.35039410959,Alpha_429
53,23,Suffolk,Suffolk,0.000239999999999962,0.202529999998,0.202289999998,2021.35039410959,2021.35063410959,Alpha_429
40,41,Nassau,Suffolk,0.02219,0.21379,0.1916,2021.33970410959,2021.36189410959,Alpha_429
41,42,Suffolk,Suffolk,0.00324323596699999,0.217033235967,0.21379,2021.36189410959,2021.36513734556,Alpha_429
42,13,Suffolk,Suffolk,0.00149676403299998,0.21853,0.217033235967,2021.36513734556,2021.36663410959,Alpha_429
43,44,Nassau,Queens,0.20406,0.23121,0.02715,2021.17525410959,2021.37931410959,Alpha_429
53,54,Suffolk,Nassau,0.0301399999999999,0.232429999998,0.202289999998,2021.35039410959,2021.38053410959,Alpha_429
54,25,Nassau,Nassau,0.000099999999999989,0.232529999998,0.232429999998,2021.38053410959,2021.38063410959,Alpha_429
42,14,Suffolk,Suffolk,0.02649676403,0.243529999997,0.217033235967,2021.36513734556,2021.39163410959,Alpha_429
54,24,Nassau,Suffolk,0.0131,0.245529999998,0.232429999998,2021.38053410959,2021.39363410959,Alpha_429
37,8,Suffolk,Suffolk,0.11458,0.26253,0.14795,2021.29605410959,2021.41063410959,Alpha_429
41,12,Suffolk,Suffolk,0.04874,0.26253,0.21379,2021.36189410959,2021.41063410959,Alpha_429
44,45,Queens,Queens,0.03969,0.2709,0.23121,2021.37931410959,2021.41900410959,Alpha_429
45,46,Queens,Queens,0.00262000000000001,0.27352,0.2709,2021.41900410959,2021.42162410959,Alpha_429
46,17,Queens,Queens,0.00000999999994300005,0.273529999999943,0.27352,2021.42162410959,2021.42163410959,Alpha_429
46,18,Queens,Queens,0.00000999999994300005,0.273529999999943,0.27352,2021.42162410959,2021.42163410959,Alpha_429
52,22,Suffolk,Suffolk,0.09008,0.281529999998,0.191449999998,2021.33955410959,2021.42963410959,Alpha_429
39,10,Nassau,Nassau,0.09846,0.28153,0.18307,2021.33117410959,2021.42963410959,Alpha_429
45,16,Queens,Queens,0.01063,0.28153,0.2709,2021.41900410959,2021.42963410959,Alpha_429
40,11,Nassau,Queens,0.09293,0.28453,0.1916,2021.33970410959,2021.43263410959,Alpha_429
44,15,Queens,Queens,0.05332,0.28453,0.23121,2021.37931410959,2021.43263410959,Alpha_429
37,7,Suffolk,Nassau,0.15258,0.30053,0.14795,2021.29605410959,2021.44863410959,Alpha_429
55,27,Queens,Suffolk,0.3151205749,0.459529999993,0.144409425093,2021.29251353468,2021.60763410958,Alpha_429
31,32,Nassau,Suffolk,0.4348080772,0.6042180772,0.16941,2021.31751410959,2021.75232218679,Alpha_429
32,3,Suffolk,Suffolk,0.000311922777999962,0.604529999978,0.6042180772,2021.75232218679,2021.75263410957,Alpha_429
32,4,Suffolk,Suffolk,0.00631192277799997,0.610529999978,0.6042180772,2021.75232218679,2021.75863410957,Alpha_429
4,1,NewYork,Kings,0.09226,0.09226,0,2021.12472438356,2021.21698438356,Alpha_349
4,5,NewYork,Kings,0.10931,0.10931,0,2021.12472438356,2021.23403438356,Alpha_349
5,3,Kings,Kings,0.01595,0.12526,0.10931,2021.23403438356,2021.24998438356,Alpha_349
5,2,Kings,Queens,0.04895,0.15826,0.10931,2021.23403438356,2021.28298438356,Alpha_349
4,1,NewYork,NewYork,0.001887457196,0.001887457196,0,2021.08539712329,2021.08728458049,Alpha_624
4,5,NewYork,NewYork,0.0185274572,0.0185274572,0,2021.08539712329,2021.10392458049,Alpha_624
5,3,NewYork,NewYork,0.000359999999999999,0.0188874572,0.0185274572,2021.10392458049,2021.10428458049,Alpha_624
5,2,NewYork,NewYork,0.02436,0.0428874572,0.0185274572,2021.10392458049,2021.12828458049,Alpha_624
4,1,Kings,Kings,0.02287,0.02287,0,2021.21349164382,2021.23636164382,Alpha_642
4,5,Kings,Kings,0.02039,0.02039,0,2021.21349164382,2021.23388164382,Alpha_642
5,2,Kings,Kings,0.00248,0.02287,0.02039,2021.23388164382,2021.23636164382,Alpha_642
5,3,Kings,Queens,0.00248,0.02287,0.02039,2021.23388164382,2021.23636164382,Alpha_642
4,1,NewYork,NewYork,0.04826,0.04826,0,2021.27761027397,2021.32587027397,Alpha_242
4,5,NewYork,NewYork,0.02067527317,0.02067527317,0,2021.27761027397,2021.29828554714,Alpha_242
5,2,NewYork,NewYork,0.000584726833299992,0.0212600000033,0.02067527317,2021.29828554714,2021.29887027397,Alpha_242
5,3,NewYork,Kings,0.1185847268,0.13925999997,0.02067527317,2021.29828554714,2021.41687027394,Alpha_242
5,1,Queens,Nassau,0.06655,0.06655,0,2021.01255082192,2021.07910082192,Alpha_43
5,6,Queens,Queens,0.00301999999999999,0.00301999999999999,0,2021.01255082192,2021.01557082192,Alpha_43
6,7,Queens,Queens,0.00483913283500001,0.007859132835,0.00301999999999999,2021.01557082192,2021.02040995476,Alpha_43
7,3,Queens,Queens,0.000690867165399997,0.0085500000004,0.007859132835,2021.02040995476,2021.02110082193,Alpha_43
