node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear,cladeID,transitionEvent
6,7,Queens,Queens,0.02817,0.02817,0,2021.01818205479,2021.04635205479,3,0
7,8,Queens,Queens,0.02872,0.05689,0.02817,2021.04635205479,2021.07507205479,3,0
8,9,Queens,Queens,0.04603,0.10292,0.05689,2021.07507205479,2021.12110205479,3,0
9,2,Queens,Queens,0.000350000000099993,0.1032700000001,0.10292,2021.12110205479,2021.12145205479,3,0
7,1,Queens,Queens,0.1021,0.13027,0.02817,2021.04635205479,2021.14845205479,3,0
8,4,Queens,Queens,0.07838,0.13527,0.05689,2021.07507205479,2021.15345205479,3,0
6,5,Queens,Queens,0.16327,0.16327,0,2021.01818205479,2021.18145205479,3,0
9,3,Queens,Queens,0.15835,0.26127,0.10292,2021.12110205479,2021.27945205479,3,0
5,6,Nassau,Nassau,0.04012,0.04012,0,2021.07494191781,2021.11506191781,14,0
5,7,Nassau,NewYork,0.05867472101,0.05867472101,0,2021.07494191781,2021.13361663882,14,1
7,3,NewYork,NewYork,0.000205278987100002,0.0588799999971,0.05867472101,2021.13361663882,2021.13382191781,14,0
6,2,Nassau,Nassau,0.02676,0.06688,0.04012,2021.11506191781,2021.14182191781,14,0
6,1,Nassau,Westchester,0.04376,0.08388,0.04012,2021.11506191781,2021.15882191781,14,1
7,4,NewYork,NewYork,0.04720527899,0.10588,0.05867472101,2021.13361663882,2021.18082191781,14,0
4,1,Westchester,Westchester,0.10112,0.10112,0,2021.08792109589,2021.18904109589,16,0
4,5,Westchester,Westchester,0.0000700308251700005,0.0000700308251700005,0,2021.08792109589,2021.08799112671,16,0
5,2,Westchester,Westchester,0.002049969175,0.00212000000017,0.0000700308251700005,2021.08799112671,2021.09004109589,16,0
5,3,Westchester,Westchester,0.002049969175,0.00212000000017,0.0000700308251700005,2021.08799112671,2021.09004109589,16,0
11,1,Suffolk,Suffolk,0.04801,0.04801,0,2021.15151054795,2021.19952054795,17,0
11,12,Suffolk,Suffolk,0.03757,0.03757,0,2021.15151054795,2021.18908054795,17,0
12,13,Suffolk,Suffolk,0.02049,0.05806,0.03757,2021.18908054795,2021.20957054795,17,0
13,15,Suffolk,Suffolk,0.00336,0.06142,0.05806,2021.20957054795,2021.21293054795,17,0
15,17,Suffolk,Suffolk,0.00317000000000001,0.06459,0.06142,2021.21293054795,2021.21610054795,17,0
17,10,Suffolk,Suffolk,0.02142,0.08601,0.06459,2021.21610054795,2021.23752054795,17,0
17,18,Suffolk,Nassau,0.05939928948,0.12398928948,0.06459,2021.21610054795,2021.27549983743,17,1
18,19,Nassau,Nassau,0.00166289114199999,0.125652180622,0.12398928948,2021.27549983743,2021.27716272857,17,0
19,8,Nassau,Nassau,0.001357819382,0.127010000004,0.125652180622,2021.27716272857,2021.27852054795,17,0
13,14,Suffolk,Suffolk,0.10516,0.16322,0.05806,2021.20957054795,2021.31473054795,17,0
