NewYork,Bronx,Kings,Queens,Richmond,Nassau,Suffolk,Westchester
NewYork,NA,324.6,Inf,153.7,0.2,6927.5,Inf,4.9
Bronx,23.1,NA,411.2,6054.8,5.3,154.6,0.9,12163.9
Kings,Inf,1522.2,NA,24382.1,0.1,5.8,6927.5,Inf
Queens,4833,8,1.9,NA,102.8,664.4,8091.2,8.7
Richmond,1.4,1.8,0.7,1.6,NA,1.2,1.2,1.3
Nassau,48.6,28.7,6927.5,5.8,12163.9,NA,8.7,24.7
Suffolk,0.4,1,1.3,1.8,1.2,923.2,NA,1.5
Westchester,Inf,5.6,0.4,406.8,0.2,356.4,0.2,NA
