node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear,cladeID
4,1,Queens,Kings,0.00302,0.00302,0,2021.12770356164,2021.13072356164,Alpha_182
4,5,Queens,Queens,0.04932,0.04932,0,2021.12770356164,2021.17702356164,Alpha_182
5,2,Queens,Queens,0.0027,0.05202,0.04932,2021.17702356164,2021.17972356164,Alpha_182
5,3,Queens,Queens,0.0027,0.05202,0.04932,2021.17702356164,2021.17972356164,Alpha_182
7,1,Nassau,Bronx,0.04858,0.04858,0,2020.95854452051,2021.00712452051,Alpha_470
7,8,Nassau,Nassau,0.06348,0.06348,0,2020.95854452051,2021.02202452051,Alpha_470
8,9,Nassau,Nassau,0.03186,0.09534,0.06348,2021.02202452051,2021.05388452051,Alpha_470
9,3,Nassau,Nassau,0.000239999999900001,0.0955799999999,0.09534,2021.05388452051,2021.05412452051,Alpha_470
9,10,Nassau,Queens,0.01156368063,0.10690368063,0.09534,2021.05388452051,2021.06544820114,Alpha_470
10,4,Queens,Queens,0.001676319373,0.108580000003,0.10690368063,2021.06544820114,2021.06712452051,Alpha_470
10,11,Queens,Kings,0.02131631937,0.12822,0.10690368063,2021.06544820114,2021.08676452051,Alpha_470
11,5,Kings,Kings,0.000359999999999999,0.12858,0.12822,2021.08676452051,2021.08712452051,Alpha_470
8,2,Nassau,Nassau,0.0971,0.16058,0.06348,2021.02202452051,2021.11912452051,Alpha_470
11,6,Kings,Queens,0.03536,0.16358,0.12822,2021.08676452051,2021.12212452051,Alpha_470
4,1,Queens,Queens,0.09491,0.09491,0,2021.1465,2021.24141,Alpha_364
4,5,Queens,NewYork,0.08972,0.08972,0,2021.1465,2021.23622,Alpha_364
5,2,NewYork,NewYork,0.000189999999900006,0.0899099999999,0.08972,2021.23622,2021.23641,Alpha_364
5,3,NewYork,Queens,0.07619,0.16591,0.08972,2021.23622,2021.31241,Alpha_364
5,1,Kings,Kings,0.09236,0.09236,0,2021.19523365839,2021.28759365839,Alpha_731
5,6,Kings,Queens,0.0163,0.0163,0,2021.19523365839,2021.21153365839,Alpha_731
6,7,Queens,Queens,0.01084,0.02714,0.0163,2021.21153365839,2021.22237365839,Alpha_731
7,3,Queens,Queens,0.000220000000100001,0.0273600000001,0.02714,2021.22237365839,2021.22259365839,Alpha_731
6,2,Queens,Nassau,0.01306,0.02936,0.0163,2021.21153365839,2021.22459365839,Alpha_731
7,4,Queens,Queens,0.00822,0.03536,0.02714,2021.22237365839,2021.23059365839,Alpha_731
4,1,Nassau,Nassau,0.000952297639399999,0.000952297639399999,0,2020.95933301372,2020.96028531136,Alpha_306
4,5,Nassau,Nassau,0.000902297639500001,0.000902297639500001,0,2020.95933301372,2020.96023531136,Alpha_306
5,3,Nassau,Nassau,0.000049999999909997,0.000952297639409998,0.000902297639500001,2020.96023531136,2020.96028531136,Alpha_306
5,2,Nassau,Nassau,0.01905,0.0199522976395,0.000902297639500001,2020.96023531136,2020.97928531136,Alpha_306
4,1,Westchester,Westchester,0.0003145551736,0.0003145551736,0,2021.23930432362,2021.23961887879,Alpha_700
4,5,Westchester,Westchester,0.003254555174,0.003254555174,0,2021.23930432362,2021.24255887879,Alpha_700
5,2,Westchester,Westchester,0.0000599999999100001,0.00331455517391,0.003254555174,2021.24255887879,2021.24261887879,Alpha_700
5,3,Westchester,Westchester,0.01106,0.014314555174,0.003254555174,2021.24255887879,2021.25361887879,Alpha_700
4,1,Kings,Queens,0.10911,0.10911,0,2021.01541686742,2021.12452686742,Alpha_767
4,5,Kings,Kings,0.02466,0.02466,0,2021.01541686742,2021.04007686742,Alpha_767
