NewYork,Bronx,Kings,Queens,Richmond,Nassau,Suffolk,Westchester
NewYork,NA,Inf,NA,0.1,0.2,0.2,Inf,Inf
Bronx,0.4,NA,51.3,Inf,4,0.4,0,Inf
Kings,NA,129.1,NA,Inf,0.1,0,Inf,45.1
Queens,Inf,0.1,0,NA,1.3,27.5,40.4,0.1
Richmond,0.5,0.3,0.6,0.7,NA,0.2,1,0.1
Nassau,5.3,2.7,Inf,0.7,Inf,NA,0.1,0
Suffolk,0.7,0.1,0,0.1,0.7,1.9,NA,127.5
Westchester,0.1,0,0,10.8,0,Inf,0,NA
