# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Sep 20 13:50:16 CEST 2022 [seed=1663674615460]
# -overwrite All_clades.xml
state	joint	prior	likelihood	coordinates.precision.col11	coordinates.precision.col12	coordinates.precision.col21	coordinates.precision.col22	correlation	coordinates.varCovar.coordinates.precision.col11	coordinates.varCovar.coordinates.precision.col12	coordinates.varCovar.coordinates.precision.col21	coordinates.varCovar.coordinates.precision.col22	coordinates.diffusionRate1	coordinates.diffusionRate4	coordinates.diffusionRate8	coordinates.diffusionRate33	coordinates.diffusionRate139	coordinates.diffusionRate188	coordinates.diffusionRate258	coordinates.traitLikelihood1	coordinates.traitLikelihood4	coordinates.traitLikelihood8	coordinates.traitLikelihood33	coordinates.traitLikelihood139	coordinates.traitLikelihood188	coordinates.traitLikelihood258
0	-1032.1687803142918	-990.0035875020445	-42.165192812247334	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	147.07556340510712	2237.5842278818022	1357.9877011328283	2872.193763099136	1132.874978655287	846.7046520804732	5139.590834126205	140.1648184643	-27.134793491761744	-27.087028093852304	-26.74138433563023	-32.474259785476065	-42.46179181876795	-26.43075375105905
100000	-3878.527587548908	-836.8062647955145	-3041.7213227533935	5.705880740778868	-1.7074665496200059	-1.7074665496200059	3.8719098711780355	0.3632689172989106	0.2019015839369506	0.08903621529360424	0.08903621529360424	0.29753439456174335	78.88395847407726	257.7388608965053	190.46355934829117	1056.2270765589176	219.31887533039745	248.1527585393866	465.11677178893217	-2972.096172831507	-12.740886151159266	-12.884510201569872	-14.896823241997511	-15.13045174704996	-1.5274730073214613	-12.445005572788293
200000	-1918.6282546402956	-721.695458886898	-1196.9327957533976	1.9677995404661246	-1.449872385840634	-1.449872385840634	6.172766696370668	0.41600583248888146	0.61453354348596	0.14434292736139798	0.14434292736139798	0.195905480306537	80.40938661554289	260.78873854951723	333.7881406059591	722.3646941625883	309.92483317949774	365.5032328633075	954.4116029893338	-1112.238084942944	-14.536592922185793	-13.86791780172807	-14.346824934698905	-17.80929619287613	-10.916080722357568	-13.217998236607482
300000	-961.5398996185827	-687.3617985630702	-274.1781010555125	12.857363577973905	-2.0767037367766643	-2.0767037367766643	3.5513103932897545	0.3073295115334868	0.0858887585243247	0.050225265049092166	0.05022526504909217	0.31095648459640207	75.91166527219372	389.55346327028883	56.9905261914911	1204.7093196644196	303.18300462881416	244.67174577419402	468.761616950974	-204.2932510971261	-13.489893031275205	-11.463181773912728	-14.465811627510714	-15.908490680188992	-3.8217606996089017	-10.735712145889881
400000	-165.5726851967495	-639.5292286604808	473.95654346373135	5.052797097033611	-0.17977949194901235	-0.17977949194901235	2.2797638618572473	0.05296991631954904	0.19846704459119097	0.015650877286983025	0.01565087728698302	0.43987613083323956	79.52845655896218	314.53162036300046	126.7766118327718	715.9974321729106	267.66289184970753	330.7640863865803	919.0141217145257	556.0983539986036	-15.357651529114571	-13.765469580019387	-12.536424334902492	-15.542944080534681	-10.148226793993922	-14.791094216307195
500000	-208.1616745378417	-620.4725897415972	412.3109152037555	9.437349257866074	-0.21304282683638437	-0.21304282683638437	2.9282766939391784	0.04052619657849385	0.1061362727038457	0.007721801567968331	0.007721801567968332	0.34205957261739356	78.2387161372274	447.72671147677465	130.11327919419125	348.77319265423597	205.43920555551458	232.41985704812262	607.3988623865699	481.15627034584134	-13.897930273471008	-16.55061341683737	-11.23695780945729	-14.01305242674196	0.13966469819100524	-13.286465913769183
600000	-728.6023913498825	-607.5826595914156	-121.01973175846693	9.372097343157876	0.7572966048095707	0.7572966048095707	11.641360094567123	-0.0725012931453337	0.10726352670466731	-0.0069777331800993285	-0.006977733180099329	0.08635453293088236	75.96923883032936	101.0361506940673	47.23899201232435	260.48014674118	214.14518931064194	221.54523601940542	528.5663183183516	-50.68567062491095	-10.658688502846395	-9.558295379981725	-11.891429829470482	-15.942570046010761	-8.892961842419192	-13.39011553282742
700000	-36.25704744514337	-566.9650983287418	530.7080508835984	3.39817032861155	-1.9168392939324483	-1.9168392939324483	2.3722658535168577	0.6751207447767203	0.5407378359548277	0.436927223033456	0.436927223033456	0.7745840403912627	86.34761704706534	389.3987479645457	247.65114060489122	500.89430224827373	215.49238519435647	280.72101738436095	684.8313401874084	622.3920358675189	-16.507399645681748	-15.979567678691826	-17.51216114588171	-16.17117937209872	-9.892682111322717	-15.620995030243666
800000	-11.164975447208235	-560.6973044069233	549.5323289597151	3.607242790045169	0.854156663486362	0.854156663486362	4.626404614116327	-0.20908748561514665	0.2898934831898692	-0.05352200488741611	-0.053522004887416104	0.2260321490098364	79.11956867168729	766.826104925653	31.999470740410388	424.24664269722626	331.97563399998324	246.86430220340463	992.7152799407029	627.4753707697537	-14.851566417100429	-12.188334690236058	-13.793453597696418	-16.78205410521423	-6.0420534573585485	-14.285579542433014
900000	56.75326902534857	-555.0391366482722	611.7924056736208	4.500889031862504	-0.36193474426913236	-0.36193474426913236	2.349530536116903	0.11129882409145077	0.22496506670731356	0.034654869403301335	0.03465486940330133	0.43095536990491967	80.51232577170762	116.1544736047259	198.77037534387148	137.82424358145673	190.1834415783812	242.65754541060932	816.9280991620876	692.9496431355656	-13.74539716929983	-15.13749719535585	-12.732535664645644	-16.479579729380774	-9.948959452826376	-13.113268250436207
