# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Sep 20 18:47:43 CEST 2022 [seed=1663692462596]
# -overwrite All_clades.xml
state	joint	prior	likelihood	coordinates.precision.col11	coordinates.precision.col12	coordinates.precision.col21	coordinates.precision.col22	correlation	coordinates.varCovar.coordinates.precision.col11	coordinates.varCovar.coordinates.precision.col12	coordinates.varCovar.coordinates.precision.col21	coordinates.varCovar.coordinates.precision.col22	coordinates.diffusionRate9	coordinates.diffusionRate18	coordinates.diffusionRate58	coordinates.diffusionRate78	coordinates.diffusionRate129	coordinates.diffusionRate141	coordinates.diffusionRate142	coordinates.diffusionRate182	coordinates.diffusionRate232	coordinates.diffusionRate294	coordinates.diffusionRate363	coordinates.diffusionRate388	coordinates.diffusionRate428	coordinates.diffusionRate458	coordinates.diffusionRate474	coordinates.diffusionRate475	coordinates.diffusionRate503	coordinates.diffusionRate515	coordinates.diffusionRate533	coordinates.diffusionRate568	coordinates.diffusionRate616	coordinates.diffusionRate720	coordinates.traitLikelihood9	coordinates.traitLikelihood18	coordinates.traitLikelihood58	coordinates.traitLikelihood78	coordinates.traitLikelihood129	coordinates.traitLikelihood141	coordinates.traitLikelihood142	coordinates.traitLikelihood182	coordinates.traitLikelihood232	coordinates.traitLikelihood294	coordinates.traitLikelihood363	coordinates.traitLikelihood388	coordinates.traitLikelihood428	coordinates.traitLikelihood458	coordinates.traitLikelihood474	coordinates.traitLikelihood475	coordinates.traitLikelihood503	coordinates.traitLikelihood515	coordinates.traitLikelihood533	coordinates.traitLikelihood568	coordinates.traitLikelihood616	coordinates.traitLikelihood720
0	-1115.2034960501937	-362.83275583033674	-752.370740219857	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	490.7710303887701	618.459653880854	1050.2338114873853	640.1690985785215	747.6993010144954	2579.1841871555616	959.821486312449	2321.843150949811	9205.041199803245	3017.236655804473	3109.334143274307	3479.9288191508754	2216.2774218725485	1088.84698264573	1998.6889523066338	3845.6300764401003	1454.3915959646602	2033.8066990616187	1093.2049658830997	3083.4716091165255	14232.67361988353	1341.806446992947	-57.125161387332	-53.59325745965703	-35.10215689460329	-39.964112889435455	-29.867124677161247	-32.09200834162189	-54.405682725640276	-27.219601890606583	-30.349863377908136	-27.57541138866931	-26.802870431080137	-26.1181669468568	-35.196592502434015	-37.33128430037988	-25.00764239492468	-28.889698271847333	-30.09921301462073	-32.97206554924112	-32.35855036400634	-27.04768016449115	-29.65150017729115	-33.60109507004833
100000	-718.0622269438488	-451.1590192106112	-266.9032077332377	2.708469470480362	0.37131861408918176	0.37131861408918176	1.4274056693197166	-0.18884741299163027	0.38286651102340014	-0.09959709794491962	-0.09959709794491961	0.7264804103450315	90.65433521985024	173.49144148479598	245.61452443745156	177.24622131567406	130.55010311568032	225.16422339019178	217.2687245307254	538.2318095969744	836.0104835309758	427.56437985388914	438.34288820926105	700.7625747247836	439.090847474941	274.36688394931207	233.72801204269837	376.80157918135893	235.17657676854995	268.0985246571694	404.50170878113795	568.2347407455804	765.287167301175	385.6286504060782	19.50411697622166	-3.4937406322696987	-16.92076131829492	-18.65695075406753	-13.49683664413823	-12.104871061111004	-0.8622393478734836	-15.02456639630169	-13.462828997244376	-13.817399135664264	-15.597994340218388	-14.403006647734504	-16.248641872524267	-14.384851894777416	-12.632175615681886	-14.61230865076807	-18.129574119406655	-12.057272205695813	-11.143235679348217	-15.475745240578473	-22.83301812762003	-11.049306028140464
200000	-524.2259104152612	-405.08257369098635	-119.14333672427486	18.591372026227514	-0.4083416614802089	-0.4083416614802089	4.944018731630493	0.04259198854817085	0.053886145300792096	0.004450621912517045	0.004450621912517045	0.20263219634202057	69.28331999216509	152.09057493492674	137.82112261815936	95.52833676194459	114.65497291870206	109.34754069676269	185.85324886854164	127.10638661975482	491.3741532107067	272.7541946978575	449.8552817264409	391.0258698332713	258.08402508320205	117.82648876173198	175.34795083147657	394.2007341119178	108.61641022636682	258.38347352513705	307.32274306965576	269.89824729879393	947.4685270204814	192.72739058070275	39.0347648651651	7.551196313927502	-7.692135756770702	-5.503847566193244	-9.855903711476548	-6.6534871074964315	8.437877938394404	-9.577418457465296	-7.766808625280282	-11.986795735778385	-10.98442334459087	-9.382048259511347	-14.130919683935112	-0.4593466462533726	-8.531647661446181	-15.43947501578278	-8.84967539073361	-8.299978143535665	-6.314373297107159	-10.667325459892904	-12.33464721038867	-9.736918768123315
300000	-668.8048912055885	-400.5567466147282	-268.2481445908604	9.740822531661278	-3.592217360700704	-3.592217360700704	1.9432529598251485	0.8256578664469317	0.3225392856546957	0.5962328350401965	0.5962328350401965	1.6167724974590485	86.5404005278676	195.41038745313008	242.2516295534165	117.88198925487092	169.0965773384605	309.51687391653365	266.4339345869968	302.1134248399212	1488.1562414997854	338.86332131262145	788.7271015246451	1603.9619492685422	422.6055076590006	169.20715828823882	159.15736693595022	265.1414183471169	315.52537843338007	693.9194376923623	425.6484298592025	965.1901375894465	1254.2115767400412	806.8311595551365	17.93808507580915	-7.627572173424958	-16.011843149276118	-13.42378697991212	-16.76527043620714	-11.431464972915903	-1.4197522247570369	-15.325731979473513	-16.468963536112636	-16.30804930841908	-15.931896507453668	-16.01220910539063	-15.009251952113043	-11.243437447522542	-13.462154827750613	-16.571338612210447	-17.227569623508995	-14.36036392407576	-12.43241863388416	-15.000543581312172	-13.24837902717097	-10.90423166377804
400000	-611.824167550267	-411.3959362737274	-200.42823127653958	3.3137934086477947	-0.23901976653639817	-0.23901976653639817	8.11726751001446	0.04608569843253986	0.3024112515588451	0.008904753558558817	0.008904753558558817	0.12345637382041211	80.31221959720435	181.40247811732797	175.85735644266924	128.59834156379415	144.04359049626953	158.39257534629098	227.14895486056318	185.55280786164357	530.9812670660534	311.74659489401444	290.2444273984601	742.5793336204888	250.3439227632988	254.69963353113425	260.1140056260651	297.7905357667199	291.13833821874323	347.82565730025397	213.06412402869728	330.4400665733429	451.0056882459612	282.154952758883	24.75776659469694	-4.380344284194454	-13.757529015423001	-10.657017140006724	-11.155624986281982	-8.141129396981311	-6.022176404279136	-13.11686485188029	-11.813442942369528	-12.828641549220844	-14.298945065537982	-12.86750850732593	-12.00758073107706	-8.137136423044375	-10.052656738089013	-12.735290623824357	-13.173827242834848	-9.199685157187005	-9.916305215157347	-14.293558371756665	-10.1089578797382	-6.521775345026459
500000	-590.68956510755	-417.71865701783935	-172.97090808971072	11.576558567222328	-2.1142879244303545	-2.1142879244303545	2.753548956625064	0.3744794510875905	0.10047099288853469	0.07714575275978347	0.07714575275978348	0.4224033608273609	71.8464038084011	209.6010402270662	120.02955618910458	113.89932520843898	82.08295794239324	163.18235328605084	209.91336024614486	169.789951299186	559.2868958918057	266.5295675017394	318.19540887353236	565.2901290180813	365.4427861885696	202.05925626364015	563.3664430847294	283.7529880735093	190.91034603301046	159.03269069234554	224.35119881878524	488.86247257890227	1162.526417582903	175.63834743198922	28.605617048608266	-0.3205467029074036	-13.85818175241682	-9.128554186542512	-9.959185133020526	-10.80775568409261	9.81308722456216	-11.74219110529683	-9.608116624588089	-11.980682672379626	-12.564033712138686	-12.23923601791672	-11.645074572335872	-8.321176610309191	-10.31213188375283	-10.9938859314505	-12.001987838862718	-11.618638543017566	-10.17107702258226	-15.53084926522077	-13.072028905605535	-5.514278198444098
600000	-597.3351630776999	-396.8366546387786	-200.4985084389213	8.646452532385865	-4.816047917938868	-4.816047917938868	5.698969368749866	0.6860782588670108	0.21850577291084866	0.18465343548876756	0.18465343548876753	0.33151604637250004	78.77037316028165	196.08127892965624	159.7990140017859	132.6571595221857	93.40278218252755	179.82883771423963	215.56587107098008	140.05484171916493	705.6095122402942	432.7656460765688	287.13558855474326	462.7879508367668	423.8918067816756	157.6284078095184	734.5431876467259	352.3809787050421	96.47562155200345	204.4873524072559	266.1561336024717	272.84177954695264	1289.5738918699187	345.7618464879246	19.47194052786569	-6.010919300627256	-11.435854435854417	-8.620606768182189	-11.083118038692671	-7.5154207534709805	3.5750853145058272	-14.604970421488723	-14.213332747035622	-13.135469072532603	-13.051714279380533	-12.524294558685673	-13.482964147046403	-9.35227848184949	-10.557854080561953	-11.283980811947742	-10.958179549254664	-9.02554846741685	-6.867776915877304	-12.67211707114691	-14.834487665667567	-12.314646714573303
700000	-579.4112666601787	-404.177402488942	-175.23386417123677	11.947663592314354	0.17555340555347546	0.17555340555347546	2.189596748829464	-0.03432303601956185	0.08379709158645574	-0.006718526966823032	-0.006718526966823031	0.457243764553701	72.16117456264621	203.33715856714605	123.32866589961091	111.21522536102215	88.75042188103932	243.33452621632668	206.95043384130278	542.052344370009	646.6789935850746	289.8983490369895	536.7146594292644	455.1934489740161	288.2674679926774	201.31711613553378	243.15130762009866	281.8352504206345	114.40040070413002	151.74056430517828	102.77066546672972	318.25237626839476	689.1558294299152	181.34170853493717	22.85376123373465	2.79300433771148	-12.1837903488871	-10.709509307580571	-10.76031083251396	-7.376380036348049	11.955953432913468	-14.476353734151385	-10.353811890266499	-12.28743934923934	-13.943184292907805	-11.22018451428123	-12.847043942128563	-6.897456495934517	-9.47059031770764	-10.411086465801592	-15.350726054521983	-9.878707388379642	-9.14720319143498	-14.791137840707883	-9.71416215367973	-11.017505019123885
800000	-628.7835259435843	-417.1279910426168	-211.65553490096747	5.686398330453602	1.5646804805018004	1.5646804805018004	2.6605551781655623	-0.4022730055164139	0.20981052854557086	-0.12339020115544913	-0.12339020115544916	0.44842754964237747	80.65646102691234	183.42639380856977	141.7166305271187	103.1089664526576	307.30242679479915	271.23863722933015	220.61991322425175	261.23040173542637	679.2698646370955	294.1055626096707	559.9787444083217	503.40787018673063	468.50085307720434	185.3309612205609	94.40726887788654	241.05635166461047	299.53725644114024	211.4297102977649	108.51771506553438	751.8185100378487	804.9014672838756	216.58116949314538	25.09401436215081	2.1735645038869507	-13.620256447162593	-8.826222807805209	-16.510248018348438	-9.874072904313032	4.916637539385274	-15.903096755092358	-11.371908139623155	-14.405279994072178	-15.442440204788191	-11.96400005437134	-13.709019422418097	-11.522669029130228	-10.6078867862353	-12.52474719046487	-16.93883438285854	-11.256151810394908	-9.862458368422118	-14.543250556062414	-15.255937257644746	-9.701271177182816
900000	-660.3307568835157	-410.06288837527603	-250.2678685082397	4.501821304158227	4.588150888297876	4.588150888297876	9.4558241970996	-0.703224302978826	0.4394521250570636	-0.21323076824581935	-0.21323076824581935	0.20921866751142776	75.01792641669964	167.5795459167507	149.14728899696928	140.89739816514293	162.0149401994285	126.79035455044158	262.66909461558134	165.26565529320987	332.823918041724	357.8395585769699	572.0252865049537	600.5655918737812	385.8455789088649	171.66317611875692	1134.020267295612	260.0695569520679	177.56528239972045	366.93581647213193	506.72965385031756	1138.5454716942238	648.8656418768772	490.3571563548427	11.637282154149705	-12.10008957685136	-14.360259152588053	-11.574877655500021	-15.126914555160482	-7.565408211443001	-9.417453953596306	-14.880974665138883	-9.616418237791628	-14.670373491637225	-13.675562246223532	-10.549756181795441	-15.906226782621816	-11.739529800712093	-13.820251216414194	-12.879131871234778	-10.721132858799487	-13.170803758914314	-10.251701679471106	-14.387878592937803	-13.879103173243587	-11.611303000314331
