NewYork,Bronx,Kings,Queens,Richmond,Nassau,Suffolk,Westchester
NewYork,NA,Inf,Inf,Inf,Inf,Inf,Inf,3705.1
Bronx,Inf,NA,Inf,Inf,0.2,Inf,2.7,Inf
Kings,734,6,NA,Inf,109.7,3436.6,1342.1,145.2
Queens,1426.7,16.7,24382.1,NA,29.2,Inf,1.4,0.3
Richmond,1.9,1.9,2.1,2.9,NA,2.7,2.6,2.8
Nassau,4.7,135.9,6,Inf,0.2,NA,Inf,0.3
Suffolk,0.2,0.1,0.1,0.2,0.1,0.1,NA,Inf
Westchester,10,71.7,0.2,9720.2,0.1,4.9,0.1,NA
