node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear,cladeID
12,13,Kings,Kings,0.07975,0.07975,0,2021.01818205479,2021.09793205479,Alpha_64
12,17,Kings,Kings,0.0125,0.0125,0,2021.01818205479,2021.03068205479,Alpha_64
17,18,Kings,Nassau,0.01821030039,0.03071030039,0.0125,2021.03068205479,2021.04889235518,Alpha_64
18,7,Nassau,Nassau,0.00122969960700001,0.031939999997,0.03071030039,2021.04889235518,2021.05012205479,Alpha_64
18,19,Nassau,Queens,0.03442969961,0.06514,0.03071030039,2021.04889235518,2021.08332205479,Alpha_64
19,20,Queens,Queens,0.00267000000000001,0.06781,0.06514,2021.08332205479,2021.08599205479,Alpha_64
17,6,Kings,Kings,0.05544,0.06794,0.0125,2021.03068205479,2021.08612205479,Alpha_64
20,9,Queens,Queens,0.00513,0.07294,0.06781,2021.08599205479,2021.09112205479,Alpha_64
19,8,Queens,Queens,0.0218,0.08694,0.06514,2021.08332205479,2021.10512205479,Alpha_64
20,21,Queens,Queens,0.01918,0.08699,0.06781,2021.08599205479,2021.10517205479,Alpha_64
21,10,Queens,Queens,0.00294999999999999,0.08994,0.08699,2021.10517205479,2021.10812205479,Alpha_64
13,14,Kings,Kings,0.02621,0.10596,0.07975,2021.09793205479,2021.12414205479,Alpha_64
21,11,Queens,Queens,0.02195,0.10894,0.08699,2021.10517205479,2021.12712205479,Alpha_64
14,15,Kings,Kings,0.04795842914,0.15391842914,0.10596,2021.12414205479,2021.17210048393,Alpha_64
15,2,Kings,Kings,0.001021570857,0.154939999997,0.15391842914,2021.17210048393,2021.17312205479,Alpha_64
14,16,Kings,Kings,0.0598283803,0.1657883803,0.10596,2021.12414205479,2021.18397043509,Alpha_64
16,4,Kings,Kings,0.000151619704700012,0.1659400000047,0.1657883803,2021.18397043509,2021.18412205479,Alpha_64
16,5,Kings,Kings,0.000151619704700012,0.1659400000047,0.1657883803,2021.18397043509,2021.18412205479,Alpha_64
15,3,Kings,Kings,0.01802157086,0.17194,0.15391842914,2021.17210048393,2021.19012205479,Alpha_64
13,1,Kings,Kings,0.09719,0.17694,0.07975,2021.09793205479,2021.19512205479,Alpha_64
6,1,NewYork,NewYork,0.03247,0.03247,0,2021.07494191781,2021.10741191781,Alpha_114
6,7,NewYork,NewYork,0.02878,0.02878,0,2021.07494191781,2021.10372191781,Alpha_114
7,8,NewYork,NewYork,0.02339,0.05217,0.02878,2021.10372191781,2021.12711191781,Alpha_114
8,9,NewYork,NewYork,0.001302092182,0.053472092182,0.05217,2021.12711191781,2021.12841400999,Alpha_114
7,2,NewYork,NewYork,0.02569,0.05447,0.02878,2021.10372191781,2021.12941191781,Alpha_114
8,3,NewYork,NewYork,0.0023,0.05447,0.05217,2021.12711191781,2021.12941191781,Alpha_114
9,4,NewYork,NewYork,0.0009979078184,0.0544700000004,0.053472092182,2021.12841400999,2021.12941191781,Alpha_114
9,5,NewYork,NewYork,0.0009979078184,0.0544700000004,0.053472092182,2021.12841400999,2021.12941191781,Alpha_114
12,13,Suffolk,Suffolk,0.00181381202200001,0.00181381202200001,0,2021.08792109589,2021.08973490791,Alpha_478
12,14,Suffolk,Suffolk,0.00181381202200001,0.00181381202200001,0,2021.08792109589,2021.08973490791,Alpha_478
14,15,Suffolk,Suffolk,0.02385,0.025663812022,0.00181381202200001,2021.08973490791,2021.11358490791,Alpha_478
15,4,Suffolk,Suffolk,0.00375,0.029413812022,0.025663812022,2021.11358490791,2021.11733490791,Alpha_478
15,16,Suffolk,Suffolk,0.01159,0.037253812022,0.025663812022,2021.11358490791,2021.12517490791,Alpha_478
16,17,Suffolk,Suffolk,0.01176438873,0.049018200752,0.037253812022,2021.12517490791,2021.13693929664,Alpha_478
