node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear,cladeID
7,8,NewYork,NewYork,0.000416842242400017,0.000416842242400017,0,2021.01818205479,2021.01859889703,Alpha_40
7,10,NewYork,NewYork,0.000416842242400017,0.000416842242400017,0,2021.01818205479,2021.01859889703,Alpha_40
8,9,NewYork,Queens,0.1578040248,0.1582208670424,0.000416842242400017,2021.01859889703,2021.17640292183,Alpha_40
9,1,Queens,Queens,0.000925975184399991,0.1591468422268,0.1582208670424,2021.17640292183,2021.17732889701,Alpha_40
9,2,Queens,Queens,0.01492597518,0.1731468422224,0.1582208670424,2021.17640292183,2021.19132889701,Alpha_40
8,3,NewYork,NewYork,0.17773,0.1781468422424,0.000416842242400017,2021.01859889703,2021.19632889703,Alpha_40
10,11,NewYork,NewYork,0.20367,0.2040868422424,0.000416842242400017,2021.01859889703,2021.22226889703,Alpha_40
10,4,NewYork,Westchester,0.20573,0.2061468422424,0.000416842242400017,2021.01859889703,2021.22432889703,Alpha_40
11,5,NewYork,NewYork,0.00706000000000001,0.2111468422424,0.2040868422424,2021.22226889703,2021.22932889703,Alpha_40
11,6,NewYork,Nassau,0.11106,0.3151468422424,0.2040868422424,2021.22226889703,2021.33332889703,Alpha_40
6,1,Queens,Queens,0.00436,0.00436,0,2021.07494191781,2021.07930191781,O-BA1_363
6,7,Queens,NewYork,0.00174,0.00174,0,2021.07494191781,2021.07668191781,O-BA1_363
7,8,NewYork,NewYork,0.00185,0.00359,0.00174,2021.07668191781,2021.07853191781,O-BA1_363
7,5,NewYork,NewYork,0.00262,0.00436,0.00174,2021.07668191781,2021.07930191781,O-BA1_363
8,2,NewYork,NewYork,0.00077,0.00436,0.00359,2021.07853191781,2021.07930191781,O-BA1_363
8,9,NewYork,NewYork,0.00274,0.00633,0.00359,2021.07853191781,2021.08127191781,O-BA1_363
9,3,NewYork,NewYork,0.0000299999999500006,0.00635999999995,0.00633,2021.08127191781,2021.08130191781,O-BA1_363
9,4,NewYork,Kings,0.00903,0.01536,0.00633,2021.08127191781,2021.09030191781,O-BA1_363
5,6,NewYork,Queens,0.02511515499,0.02511515499,0,2021.08792109589,2021.11303625088,Delta_1821
5,7,NewYork,NewYork,0.000555154993999996,0.000555154993999996,0,2021.08792109589,2021.08847625088,Delta_1821
7,4,NewYork,NewYork,0.13506,0.135615154994,0.000555154993999996,2021.08847625088,2021.22353625088,Delta_1821
7,3,NewYork,NewYork,0.14906,0.149615154994,0.000555154993999996,2021.08847625088,2021.23753625088,Delta_1821
6,1,Queens,Queens,0.1265,0.15161515499,0.02511515499,2021.11303625088,2021.23953625088,Delta_1821
6,2,Queens,Queens,0.1265,0.15161515499,0.02511515499,2021.11303625088,2021.23953625088,Delta_1821
4,1,NewYork,NewYork,0.000149999999999997,0.000149999999999997,0,2021.15151054795,2021.15166054795,Alpha_281
4,5,NewYork,NewYork,0.02752,0.02752,0,2021.15151054795,2021.17903054795,Alpha_281
5,2,NewYork,NewYork,0.00763,0.03515,0.02752,2021.17903054795,2021.18666054795,Alpha_281
5,3,NewYork,NewYork,0.01863,0.04615,0.02752,2021.17903054795,2021.19766054795,Alpha_281
5,1,Queens,Queens,0.00097,0.00097,0,2021.30697739726,2021.30794739726,O-BA1_238
5,6,Queens,Queens,0.00274,0.00274,0,2021.30697739726,2021.30971739726,O-BA1_238
6,2,Queens,Queens,0.000229999999900001,0.0029699999999,0.00274,2021.30971739726,2021.30994739726,O-BA1_238
6,7,Queens,Queens,0.00914,0.01188,0.00274,2021.30971739726,2021.31885739726,O-BA1_238
7,3,Queens,Queens,0.00209,0.01397,0.01188,2021.31885739726,2021.32094739726,O-BA1_238
7,4,Queens,Queens,0.00209,0.01397,0.01188,2021.31885739726,2021.32094739726,O-BA1_238
4,1,Westchester,Westchester,0.00081,0.00081,0,2021.2032990411,2021.2041090411,O-BA1_772
4,5,Westchester,Westchester,0.00637,0.00637,0,2021.2032990411,2021.2096690411,O-BA1_772
5,2,Westchester,Westchester,0.00244,0.00881,0.00637,2021.2096690411,2021.2121090411,O-BA1_772
5,3,Westchester,Westchester,0.00244,0.00881,0.00637,2021.2096690411,2021.2121090411,O-BA1_772
4,1,NewYork,NewYork,0.0005500000001,0.0005500000001,0,2020.92594904817,2020.92649904817,O-BA1_542
4,5,NewYork,Bronx,0.00548,0.00548,0,2020.92594904817,2020.93142904817,O-BA1_542
5,2,Bronx,Bronx,0.0000699999999499998,0.00554999999995,0.00548,2020.93142904817,2020.93149904817,O-BA1_542
5,3,Bronx,Bronx,0.0000699999999499998,0.00554999999995,0.00548,2020.93142904817,2020.93149904817,O-BA1_542
10,11,NewYork,NewYork,0.01335491466,0.01335491466,0,2021.11762808218,2021.13098299684,Delta_1574
10,17,NewYork,NewYork,0.000714914657599985,0.000714914657599985,0,2021.11762808218,2021.11834299684,Delta_1574
11,12,NewYork,NewYork,0.00380000000000003,0.01715491466,0.01335491466,2021.13098299684,2021.13478299684,Delta_1574
12,13,NewYork,NewYork,0.01918,0.03633491466,0.01715491466,2021.13478299684,2021.15396299684,Delta_1574
13,14,NewYork,Nassau,0.05205,0.08838491466,0.03633491466,2021.15396299684,2021.20601299684,Delta_1574
17,8,NewYork,Kings,0.11172,0.1124349146576,0.000714914657599985,2021.11834299684,2021.23006299684,Delta_1574
12,2,NewYork,Suffolk,0.11128,0.12843491466,0.01715491466,2021.13478299684,2021.24606299684,Delta_1574
14,15,Nassau,Nassau,0.04593,0.13431491466,0.08838491466,2021.20601299684,2021.25194299684,Delta_1574
17,9,NewYork,NewYork,0.14672,0.1474349146576,0.000714914657599985,2021.11834299684,2021.26506299684,Delta_1574
13,3,NewYork,NewYork,0.1111,0.14743491466,0.03633491466,2021.15396299684,2021.26506299684,Delta_1574
11,1,NewYork,NewYork,0.15608,0.16943491466,0.01335491466,2021.13098299684,2021.28706299684,Delta_1574
14,4,Nassau,Nassau,0.11205,0.20043491466,0.08838491466,2021.20601299684,2021.31806299684,Delta_1574
15,16,Nassau,Nassau,0.07188,0.20619491466,0.13431491466,2021.25194299684,2021.32382299684,Delta_1574
15,5,Nassau,Nassau,0.14512,0.27943491466,0.13431491466,2021.25194299684,2021.39706299684,Delta_1574
16,6,Nassau,Nassau,0.11124,0.31743491466,0.20619491466,2021.32382299684,2021.43506299684,Delta_1574
16,7,Nassau,Nassau,0.20524,0.41143491466,0.20619491466,2021.32382299684,2021.52906299684,Delta_1574
7,1,NewYork,NewYork,0.000229999999899998,0.000229999999899998,0,2021.03044614651,2021.03067614651,O-BA1_1115
7,8,NewYork,NewYork,0.01459,0.01459,0,2021.03044614651,2021.04503614651,O-BA1_1115
8,9,NewYork,NewYork,0.00185,0.01644,0.01459,2021.04503614651,2021.04688614651,O-BA1_1115
8,10,NewYork,NewYork,0.00185,0.01644,0.01459,2021.04503614651,2021.04688614651,O-BA1_1115
9,2,NewYork,NewYork,0.000789999999999999,0.01723,0.01644,2021.04688614651,2021.04767614651,O-BA1_1115
10,4,NewYork,Kings,0.000789999999999999,0.01723,0.01644,2021.04688614651,2021.04767614651,O-BA1_1115
9,3,NewYork,Bronx,0.00279,0.01923,0.01644,2021.04688614651,2021.04967614651,O-BA1_1115
10,11,NewYork,NewYork,0.00548,0.02192,0.01644,2021.04688614651,2021.05236614651,O-BA1_1115
11,5,NewYork,NewYork,0.000309999999900001,0.0222299999999,0.02192,2021.05236614651,2021.05267614651,O-BA1_1115
11,6,NewYork,NewYork,0.01131,0.03323,0.02192,2021.05236614651,2021.06367614651,O-BA1_1115
5,1,Kings,Queens,0.07625,0.07625,0,2020.95854452051,2021.03479452051,O-BA1_1036
5,6,Kings,Kings,0.00175,0.00175,0,2020.95854452051,2020.96029452051,O-BA1_1036
6,2,Kings,Kings,0.0005,0.00225,0.00175,2020.96029452051,2020.96079452051,O-BA1_1036
6,7,Kings,Queens,0.01918,0.02093,0.00175,2020.96029452051,2020.97947452051,O-BA1_1036
7,4,Queens,Queens,0.000320000000000001,0.02125,0.02093,2020.97947452051,2020.97979452051,O-BA1_1036
7,3,Queens,NewYork,0.02232,0.04325,0.02093,2020.97947452051,2021.00179452051,O-BA1_1036
4,1,NewYork,Kings,0.1704980264,0.1704980264,0,2021.16200452055,2021.33250254695,Delta_918
4,5,NewYork,NewYork,0.001078026382,0.001078026382,0,2021.16200452055,2021.16308254693,Delta_918
5,2,NewYork,Kings,0.17442,0.175498026382,0.001078026382,2021.16308254693,2021.33750254693,Delta_918
5,3,NewYork,NewYork,0.19042,0.191498026382,0.001078026382,2021.16308254693,2021.35350254693,Delta_918
5,1,Queens,Suffolk,0.1764,0.1764,0,2021.10117616438,2021.27757616438,Alpha_472
5,6,Queens,Queens,0.06442282677,0.06442282677,0,2021.10117616438,2021.16559899115,Alpha_472
6,2,Queens,Queens,0.00197717323399998,0.066400000004,0.06442282677,2021.16559899115,2021.16757616438,Alpha_472
6,7,Queens,NewYork,0.06564717323,0.13007,0.06442282677,2021.16559899115,2021.23124616438,Alpha_472
7,4,NewYork,NewYork,0.00533,0.1354,0.13007,2021.23124616438,2021.23657616438,Alpha_472
7,3,NewYork,Suffolk,0.12533,0.2554,0.13007,2021.23124616438,2021.35657616438,Alpha_472
6,7,Westchester,Westchester,0.01897852608,0.01897852608,0,2021.16826547945,2021.18724400553,O-BA1_1209
6,9,Westchester,Westchester,0.001158526076,0.001158526076,0,2021.16826547945,2021.16942400553,O-BA1_1209
7,1,Westchester,Westchester,0.000609999999999999,0.01958852608,0.01897852608,2021.18724400553,2021.18785400553,O-BA1_1209
9,5,Westchester,Nassau,0.02143,0.022588526076,0.001158526076,2021.16942400553,2021.19085400553,O-BA1_1209
7,8,Westchester,Westchester,0.00548,0.02445852608,0.01897852608,2021.18724400553,2021.19272400553,O-BA1_1209
8,2,Westchester,Westchester,0.000129999999899998,0.0245885260799,0.02445852608,2021.19272400553,2021.19285400553,O-BA1_1209
9,4,Westchester,Westchester,0.03243,0.033588526076,0.001158526076,2021.16942400553,2021.20185400553,O-BA1_1209
8,3,Westchester,Westchester,0.01113,0.03558852608,0.02445852608,2021.19272400553,2021.20385400553,O-BA1_1209
5,6,Queens,NewYork,0.00185,0.00185,0,2021.17232150685,2021.17417150685,O-BA1_200
5,7,Queens,Queens,0.00185,0.00185,0,2021.17232150685,2021.17417150685,O-BA1_200
6,1,NewYork,NewYork,0.00063,0.00248,0.00185,2021.17417150685,2021.17480150685,O-BA1_200
6,2,NewYork,NewYork,0.00063,0.00248,0.00185,2021.17417150685,2021.17480150685,O-BA1_200
7,3,Queens,Suffolk,0.00063,0.00248,0.00185,2021.17417150685,2021.17480150685,O-BA1_200
7,4,Queens,Queens,0.00063,0.00248,0.00185,2021.17417150685,2021.17480150685,O-BA1_200
4,1,Nassau,Nassau,0.000100000000099999,0.000100000000099999,0,2021.03529835616,2021.03539835616,O-BA1_1274
4,5,Nassau,Suffolk,0.01918,0.01918,0,2021.03529835616,2021.05447835616,O-BA1_1274
5,2,Suffolk,Suffolk,0.000920000000100001,0.0201000000001,0.01918,2021.05447835616,2021.05539835616,O-BA1_1274
5,3,Suffolk,Suffolk,0.000920000000100001,0.0201000000001,0.01918,2021.05447835616,2021.05539835616,O-BA1_1274
4,1,Kings,Bronx,0.08853053412,0.08853053412,0,2021.12472438356,2021.21325491768,Alpha_401
4,5,Kings,Kings,0.001990534116,0.001990534116,0,2021.12472438356,2021.12671491768,Alpha_401
5,3,Kings,Kings,0.06154,0.063530534116,0.001990534116,2021.12671491768,2021.18825491768,Alpha_401
5,2,Kings,Nassau,0.07554,0.077530534116,0.001990534116,2021.12671491768,2021.20225491768,Alpha_401
9,10,Suffolk,Suffolk,0.08115,0.08115,0,2021.07337452055,2021.15452452055,Alpha_616
9,11,Suffolk,Suffolk,0.06381532149,0.06381532149,0,2021.07337452055,2021.13718984204,Alpha_616
11,15,Suffolk,Suffolk,0.0000039775453520019,0.063819299035352,0.06381532149,2021.13718984204,2021.13719381959,Alpha_616
15,8,Suffolk,Suffolk,0.000720700963599996,0.064539999998952,0.063819299035352,2021.13719381959,2021.13791452055,Alpha_616
11,12,Suffolk,Suffolk,0.01197467851,0.07579,0.06381532149,2021.13718984204,2021.14916452055,Alpha_616
12,14,Suffolk,Suffolk,0.00262,0.07841,0.07579,2021.14916452055,2021.15178452055,Alpha_616
14,5,Suffolk,Suffolk,0.000130000000000005,0.07854,0.07841,2021.15178452055,2021.15191452055,Alpha_616
14,6,Suffolk,Suffolk,0.000130000000000005,0.07854,0.07841,2021.15178452055,2021.15191452055,Alpha_616
10,1,Suffolk,Suffolk,0.000390000000000001,0.08154,0.08115,2021.15452452055,2021.15491452055,Alpha_616
12,13,Suffolk,Suffolk,0.006154365014,0.081944365014,0.07579,2021.14916452055,2021.15531888556,Alpha_616
13,3,Suffolk,Suffolk,0.001595634986,0.08354,0.081944365014,2021.15531888556,2021.15691452055,Alpha_616
15,7,Suffolk,Suffolk,0.03072070096,0.094539999995352,0.063819299035352,2021.13719381959,2021.16791452055,Alpha_616
13,4,Suffolk,Suffolk,0.01259563499,0.094540000004,0.081944365014,2021.15531888556,2021.16791452055,Alpha_616
10,2,Suffolk,Suffolk,0.04139,0.12254,0.08115,2021.15452452055,2021.19591452055,Alpha_616
5,1,Suffolk,Suffolk,0.1301,0.1301,0,2021.19222178082,2021.32232178082,Delta_1493
5,6,Suffolk,Suffolk,0.06316,0.06316,0,2021.19222178082,2021.25538178082,Delta_1493
6,7,Suffolk,Suffolk,0.02376,0.08692,0.06316,2021.25538178082,2021.27914178082,Delta_1493
6,2,Suffolk,Suffolk,0.11294,0.1761,0.06316,2021.25538178082,2021.36832178082,Delta_1493
7,3,Suffolk,Suffolk,0.11118,0.1981,0.08692,2021.27914178082,2021.39032178082,Delta_1493
7,4,Suffolk,Kings,0.14418,0.2311,0.08692,2021.27914178082,2021.42332178082,Delta_1493
7,8,Kings,Queens,0.0802107886,0.0802107886,0,2021.22772178082,2021.30793256942,O-BA1_1072
7,9,Kings,Kings,0.00107912984200001,0.00107912984200001,0,2021.22772178082,2021.22880091066,O-BA1_1072
9,10,Kings,Kings,0.000462864151100001,0.00154199399310001,0.00107912984200001,2021.22880091066,2021.22926377481,O-BA1_1072
9,3,Kings,Kings,0.03940165876,0.040480788602,0.00107912984200001,2021.22880091066,2021.26820256942,O-BA1_1072
10,4,Kings,Westchester,0.03893879461,0.0404807886031,0.00154199399310001,2021.22926377481,2021.26820256942,O-BA1_1072
10,11,Kings,Bronx,0.1039687946,0.1055107885931,0.00154199399310001,2021.22926377481,2021.33323256941,O-BA1_1072
11,5,Bronx,Bronx,0.000969999999999999,0.1064807885931,0.1055107885931,2021.33323256941,2021.33420256941,O-BA1_1072
8,2,Queens,Queens,0.02627,0.1064807886,0.0802107886,2021.30793256942,2021.33420256942,O-BA1_1072
8,1,Queens,Queens,0.03427,0.1144807886,0.0802107886,2021.30793256942,2021.34220256942,O-BA1_1072
11,6,Bronx,Bronx,0.02197,0.1274807885931,0.1055107885931,2021.33323256941,2021.35520256941,O-BA1_1072
6,1,Kings,Nassau,0.00208999999999999,0.00208999999999999,0,2021.12321821918,2021.12530821918,Alpha_664
6,7,Kings,Kings,0.00127025499900001,0.00127025499900001,0,2021.12321821918,2021.12448847418,Alpha_664
7,2,Kings,Kings,0.000819745001299998,0.0020900000003,0.00127025499900001,2021.12448847418,2021.12530821918,Alpha_664
7,8,Kings,Kings,0.020529745,0.021799999999,0.00127025499900001,2021.12448847418,2021.14501821918,Alpha_664
8,3,Kings,Kings,0.000289999999999999,0.022089999999,0.021799999999,2021.14501821918,2021.14530821918,Alpha_664
8,9,Kings,Kings,0.03059990869,0.052399908689,0.021799999999,2021.14501821918,2021.17561812787,Alpha_664
9,4,Kings,Kings,0.001690091315,0.054090000004,0.052399908689,2021.17561812787,2021.17730821919,Alpha_664
9,5,Kings,Queens,0.05669009131,0.109089999999,0.052399908689,2021.17561812787,2021.23230821918,Alpha_664
4,1,Westchester,Westchester,0.1138,0.1138,0,2021.13329666194,2021.24709666194,Delta_3327
4,5,Westchester,Westchester,0.00228,0.00228,0,2021.13329666194,2021.13557666194,Delta_3327
5,2,Westchester,Westchester,0.11152,0.1138,0.00228,2021.13557666194,2021.24709666194,Delta_3327
5,3,Westchester,Westchester,0.12252,0.1248,0.00228,2021.13557666194,2021.25809666194,Delta_3327
4,1,Nassau,Nassau,0.22524,0.22524,0,2021.01541686742,2021.24065686742,Delta_1753
4,5,Nassau,Nassau,0.05231,0.05231,0,2021.01541686742,2021.06772686742,Delta_1753
5,2,Nassau,Nassau,0.13393,0.18624,0.05231,2021.06772686742,2021.20165686742,Delta_1753
5,3,Nassau,Nassau,0.13993,0.19224,0.05231,2021.06772686742,2021.20765686742,Delta_1753
5,1,Kings,Kings,0.09236,0.09236,0,2021.20306438356,2021.29542438356,Alpha_731
5,6,Kings,Queens,0.0163,0.0163,0,2021.20306438356,2021.21936438356,Alpha_731
6,7,Queens,Queens,0.01084,0.02714,0.0163,2021.21936438356,2021.23020438356,Alpha_731
7,3,Queens,Queens,0.000220000000100001,0.0273600000001,0.02714,2021.23020438356,2021.23042438356,Alpha_731
6,2,Queens,Nassau,0.01306,0.02936,0.0163,2021.21936438356,2021.23242438356,Alpha_731
7,4,Queens,Queens,0.00822,0.03536,0.02714,2021.23020438356,2021.23842438356,Alpha_731
4,1,NewYork,NewYork,0.11355,0.11355,0,2021.28976109589,2021.40331109589,Delta_2545
4,5,NewYork,NewYork,0.01997190762,0.01997190762,0,2021.28976109589,2021.30973300351,Delta_2545
5,2,NewYork,NewYork,0.1205780924,0.14055000002,0.01997190762,2021.30973300351,2021.43031109591,Delta_2545
5,3,NewYork,Queens,0.1235780924,0.14355000002,0.01997190762,2021.30973300351,2021.43331109591,Delta_2545
5,1,Queens,Queens,0.1671,0.1671,0,2021.13156575344,2021.29866575344,Alpha_612
5,6,Queens,Queens,0.02767,0.02767,0,2021.13156575344,2021.15923575344,Alpha_612
6,2,Queens,Queens,0.00243000000000002,0.0301,0.02767,2021.15923575344,2021.16166575344,Alpha_612
6,7,Queens,Nassau,0.1016362383,0.1293062383,0.02767,2021.15923575344,2021.26087199174,Alpha_612
7,3,Nassau,Nassau,0.00179376168299999,0.131099999983,0.1293062383,2021.26087199174,2021.26266575342,Alpha_612
7,4,Nassau,NewYork,0.04879376168,0.17809999998,0.1293062383,2021.26087199174,2021.30966575342,Alpha_612
4,1,Westchester,Westchester,0.17906,0.17906,0,2021.01790643836,2021.19696643836,Delta_2459
4,5,Westchester,Westchester,0.07022,0.07022,0,2021.01790643836,2021.08812643836,Delta_2459
5,2,Westchester,Westchester,0.11184,0.18206,0.07022,2021.08812643836,2021.19996643836,Delta_2459
5,3,Westchester,Westchester,0.11384,0.18406,0.07022,2021.08812643836,2021.20196643836,Delta_2459
4,1,Nassau,Nassau,0.1794692936,0.1794692936,0,2021.13984864869,2021.31931794229,Delta_1748
4,5,Nassau,Nassau,0.002289293552,0.002289293552,0,2021.13984864869,2021.14213794224,Delta_1748
5,3,Nassau,Nassau,0.11118,0.113469293552,0.002289293552,2021.14213794224,2021.25331794224,Delta_1748
5,2,Nassau,Nassau,0.12018,0.122469293552,0.002289293552,2021.14213794224,2021.26231794224,Delta_1748
5,6,NewYork,NewYork,0.004633989487,0.004633989487,0,2021.12880191781,2021.1334359073,Delta_3447
5,7,NewYork,NewYork,0.00189398948699999,0.00189398948699999,0,2021.12880191781,2021.1306959073,Delta_3447
7,3,NewYork,NewYork,0.11119,0.113083989487,0.00189398948699999,2021.1306959073,2021.2418859073,Delta_3447
7,4,NewYork,NewYork,0.11119,0.113083989487,0.00189398948699999,2021.1306959073,2021.2418859073,Delta_3447
6,1,NewYork,NewYork,0.11145,0.116083989487,0.004633989487,2021.1334359073,2021.2448859073,Delta_3447
6,2,NewYork,NewYork,0.11145,0.116083989487,0.004633989487,2021.1334359073,2021.2448859073,Delta_3447
13,14,Nassau,Nassau,0.00166115928999999,0.00166115928999999,0,2021.24115931507,2021.24282047436,Delta_3203
13,15,Nassau,Nassau,0.00166115928999999,0.00166115928999999,0,2021.24115931507,2021.24282047436,Delta_3203
15,18,Nassau,Nassau,0.00712000000000002,0.00878115929000001,0.00166115928999999,2021.24282047436,2021.24994047436,Delta_3203
18,19,Nassau,Nassau,0.01062,0.01940115929,0.00878115929000001,2021.24994047436,2021.26056047436,Delta_3203
19,20,Nassau,Nassau,0.00478999999999999,0.02419115929,0.01940115929,2021.26056047436,2021.26535047436,Delta_3203
20,21,Nassau,Nassau,0.00822000000000001,0.03241115929,0.02419115929,2021.26535047436,2021.27357047436,Delta_3203
15,16,Nassau,Nassau,0.03278300515,0.03444416444,0.00166115928999999,2021.24282047436,2021.27560347951,Delta_3203
16,17,Nassau,Nassau,0.000696994846599991,0.0351411592866,0.03444416444,2021.27560347951,2021.27630047436,Delta_3203
21,22,Nassau,Nassau,0.00273999999999999,0.03515115929,0.03241115929,2021.27357047436,2021.27631047436,Delta_3203
22,23,Nassau,Nassau,0.00548000000000001,0.04063115929,0.03515115929,2021.27631047436,2021.28179047436,Delta_3203
20,8,Nassau,Nassau,0.11197,0.13616115929,0.02419115929,2021.26535047436,2021.37732047436,Delta_3203
14,1,Nassau,Nassau,0.1365,0.13816115929,0.00166115928999999,2021.24282047436,2021.37932047436,Delta_3203
21,9,Nassau,Suffolk,0.11175,0.14416115929,0.03241115929,2021.27357047436,2021.38532047436,Delta_3203
17,5,Nassau,Nassau,0.11202,0.1471611592866,0.0351411592866,2021.27630047436,2021.38832047436,Delta_3203
22,10,Nassau,Nassau,0.11201,0.14716115929,0.03515115929,2021.27631047436,2021.38832047436,Delta_3203
23,12,Nassau,Nassau,0.11153,0.15216115929,0.04063115929,2021.28179047436,2021.39332047436,Delta_3203
23,11,Nassau,Nassau,0.11753,0.15816115929,0.04063115929,2021.28179047436,2021.39932047436,Delta_3203
18,6,Nassau,Nassau,0.15138,0.16016115929,0.00878115929000001,2021.24994047436,2021.40132047436,Delta_3203
17,4,Nassau,Nassau,0.13602,0.1711611592866,0.0351411592866,2021.27630047436,2021.41232047436,Delta_3203
19,7,Nassau,Nassau,0.15976,0.17916115929,0.01940115929,2021.26056047436,2021.42032047436,Delta_3203
16,3,Nassau,Nassau,0.1647169948,0.19916115924,0.03444416444,2021.27560347951,2021.44032047431,Delta_3203
14,2,Nassau,Nassau,0.2325,0.23416115929,0.00166115928999999,2021.24282047436,2021.47532047436,Delta_3203
6,1,Kings,Kings,0.000709999999899999,0.000709999999899999,0,2021.15033164384,2021.15104164384,O-BA1_1849
6,7,Kings,Westchester,0.03836,0.03836,0,2021.15033164384,2021.18869164384,O-BA1_1849
7,2,Westchester,Westchester,0.000349999999899986,0.0387099999999,0.03836,2021.18869164384,2021.18904164384,O-BA1_1849
7,8,Westchester,Westchester,0.00639999999999999,0.04476,0.03836,2021.18869164384,2021.19509164384,O-BA1_1849
8,9,Westchester,Westchester,0.00182000000000002,0.04658,0.04476,2021.19509164384,2021.19691164384,O-BA1_1849
8,3,Westchester,Westchester,0.00195000000000001,0.04671,0.04476,2021.19509164384,2021.19704164384,O-BA1_1849
9,5,Westchester,Westchester,0.000129999999999991,0.04671,0.04658,2021.19691164384,2021.19704164384,O-BA1_1849
9,4,Westchester,Kings,0.07713,0.12371,0.04658,2021.19691164384,2021.27404164384,O-BA1_1849
4,1,NewYork,NewYork,0.00016,0.00016,0,2021.06673097384,2021.06689097384,O-BA1_320
4,5,NewYork,Westchester,0.0037,0.0037,0,2021.06673097384,2021.07043097384,O-BA1_320
5,2,Westchester,Westchester,0.00246,0.00616,0.0037,2021.07043097384,2021.07289097384,O-BA1_320
5,3,Westchester,Westchester,0.00246,0.00616,0.0037,2021.07043097384,2021.07289097384,O-BA1_320
