node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear,cladeID
4,1,NewYork,NewYork,0.11115,0.11115,0,2021.01818205479,2021.12933205479,Delta_688
4,5,NewYork,NewYork,0.03014,0.03014,0,2021.01818205479,2021.04832205479,Delta_688
5,2,NewYork,Westchester,0.11201,0.14215,0.03014,2021.04832205479,2021.16033205479,Delta_688
5,3,NewYork,Queens,0.16101,0.19115,0.03014,2021.04832205479,2021.20933205479,Delta_688
4,1,Nassau,Kings,0.112,0.112,0,2021.07494191781,2021.18694191781,Delta_1435
4,5,Nassau,Nassau,0.03288,0.03288,0,2021.07494191781,2021.10782191781,Delta_1435
5,2,Nassau,Nassau,0.11112,0.144,0.03288,2021.10782191781,2021.21894191781,Delta_1435
5,3,Nassau,Nassau,0.11112,0.144,0.03288,2021.10782191781,2021.21894191781,Delta_1435
6,1,NewYork,NewYork,0.0000199999999800013,0.0000199999999800013,0,2021.08792109589,2021.08794109589,O-BA1_1699
6,7,NewYork,NewYork,0.00637,0.00637,0,2021.08792109589,2021.09429109589,O-BA1_1699
7,8,NewYork,NewYork,0.00185,0.00822,0.00637,2021.09429109589,2021.09614109589,O-BA1_1699
7,9,NewYork,NewYork,0.00185,0.00822,0.00637,2021.09429109589,2021.09614109589,O-BA1_1699
8,2,NewYork,Kings,0.0008,0.00902,0.00822,2021.09614109589,2021.09694109589,O-BA1_1699
9,4,NewYork,NewYork,0.0008,0.00902,0.00822,2021.09614109589,2021.09694109589,O-BA1_1699
9,5,NewYork,Queens,0.0058,0.01402,0.00822,2021.09614109589,2021.10194109589,O-BA1_1699
8,3,NewYork,NewYork,0.0118,0.02002,0.00822,2021.09614109589,2021.10794109589,O-BA1_1699
14,1,NewYork,NewYork,0.22474,0.22474,0,2021.15151054795,2021.37625054795,Delta_554
14,15,NewYork,NewYork,0.00520999999999999,0.00520999999999999,0,2021.15151054795,2021.15672054795,Delta_554
15,18,NewYork,NewYork,0.00241,0.00761999999999999,0.00520999999999999,2021.15672054795,2021.15913054795,Delta_554
18,19,NewYork,NewYork,0.00236,0.00997999999999999,0.00761999999999999,2021.15913054795,2021.16149054795,Delta_554
19,20,NewYork,NewYork,0.00261,0.01259,0.00997999999999999,2021.16149054795,2021.16410054795,Delta_554
20,22,NewYork,NewYork,0.00228,0.01487,0.01259,2021.16410054795,2021.16638054795,Delta_554
