node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear,cladeID
9,10,Suffolk,Suffolk,0.08115,0.08115,0,2021.01818205479,2021.09933205479,Alpha_616
9,11,Suffolk,Suffolk,0.06381532149,0.06381532149,0,2021.01818205479,2021.08199737628,Alpha_616
11,15,Suffolk,Suffolk,0.0000039775453520019,0.063819299035352,0.06381532149,2021.08199737628,2021.08200135383,Alpha_616
15,8,Suffolk,Suffolk,0.000720700963599996,0.064539999998952,0.063819299035352,2021.08200135383,2021.08272205479,Alpha_616
11,12,Suffolk,Suffolk,0.01197467851,0.07579,0.06381532149,2021.08199737628,2021.09397205479,Alpha_616
12,14,Suffolk,Suffolk,0.00262,0.07841,0.07579,2021.09397205479,2021.09659205479,Alpha_616
14,5,Suffolk,Suffolk,0.000130000000000005,0.07854,0.07841,2021.09659205479,2021.09672205479,Alpha_616
14,6,Suffolk,Suffolk,0.000130000000000005,0.07854,0.07841,2021.09659205479,2021.09672205479,Alpha_616
10,1,Suffolk,Suffolk,0.000390000000000001,0.08154,0.08115,2021.09933205479,2021.09972205479,Alpha_616
12,13,Suffolk,Suffolk,0.006154365014,0.081944365014,0.07579,2021.09397205479,2021.1001264198,Alpha_616
13,3,Suffolk,Suffolk,0.001595634986,0.08354,0.081944365014,2021.1001264198,2021.10172205479,Alpha_616
15,7,Suffolk,Suffolk,0.03072070096,0.094539999995352,0.063819299035352,2021.08200135383,2021.11272205479,Alpha_616
13,4,Suffolk,Suffolk,0.01259563499,0.094540000004,0.081944365014,2021.1001264198,2021.11272205479,Alpha_616
10,2,Suffolk,Suffolk,0.04139,0.12254,0.08115,2021.09933205479,2021.14072205479,Alpha_616
4,1,NewYork,Kings,0.02707756844,0.02707756844,0,2021.07494191781,2021.10201948625,O-BA1_1518
4,5,NewYork,NewYork,0.03412756844,0.03412756844,0,2021.07494191781,2021.10906948625,O-BA1_1518
5,3,NewYork,Kings,0.00894999999999999,0.04307756844,0.03412756844,2021.10906948625,2021.11801948625,O-BA1_1518
5,2,NewYork,NewYork,0.06695,0.10107756844,0.03412756844,2021.10906948625,2021.17601948625,O-BA1_1518
4,1,Kings,Kings,0.13761,0.13761,0,2021.08792109589,2021.22553109589,Delta_3049
4,5,Kings,Kings,0.02617,0.02617,0,2021.08792109589,2021.11409109589,Delta_3049
5,2,Kings,Kings,0.11144,0.13761,0.02617,2021.11409109589,2021.22553109589,Delta_3049
5,3,Kings,Kings,0.11444,0.14061,0.02617,2021.11409109589,2021.22853109589,Delta_3049
4,1,Nassau,Kings,0.23125,0.23125,0,2021.15151054795,2021.38276054795,Delta_502
4,5,Nassau,Nassau,0.00228,0.00228,0,2021.15151054795,2021.15379054795,Delta_502
5,2,Nassau,Nassau,0.11197,0.11425,0.00228,2021.15379054795,2021.26576054795,Delta_502
5,3,Nassau,Nassau,0.11197,0.11425,0.00228,2021.15379054795,2021.26576054795,Delta_502
4,1,Bronx,Bronx,0.11175,0.11175,0,2021.30697739726,2021.41872739726,Delta_1045
4,5,Bronx,Bronx,0.09589,0.09589,0,2021.30697739726,2021.40286739726,Delta_1045
5,2,Bronx,Bronx,0.11186,0.20775,0.09589,2021.40286739726,2021.51472739726,Delta_1045
5,3,Bronx,Queens,0.11186,0.20775,0.09589,2021.40286739726,2021.51472739726,Delta_1045
4,1,Westchester,Westchester,0.12427,0.12427,0,2021.2032990411,2021.3275690411,Delta_595
