name,accession,date,loc
hCoV-19/Antigua_and_Barbuda/81142/2021|EPI_ISL_3655553|2021-07-28,EPI_ISL_3655553,2021-07-28,Antigua and Barbuda
hCoV-19/Argentina/INEI104729/2021|EPI_ISL_2158817|2021-05-06,EPI_ISL_2158817,2021-05-06,Argentina
hCoV-19/Argentina/INEI104767/2021|EPI_ISL_2158826|2021-04-30,EPI_ISL_2158826,2021-04-30,Argentina
hCoV-19/Argentina/INEI104799/2021|EPI_ISL_2158837|2021-04-30,EPI_ISL_2158837,2021-04-30,Argentina
hCoV-19/Argentina/PAIS-B0003/2020|EPI_ISL_792399|2020-05-30,EPI_ISL_792399,2020-05-30,Argentina
hCoV-19/Argentina/PAIS-C0018/2020|EPI_ISL_792419|2020-05-31,EPI_ISL_792419,2020-05-31,Argentina
hCoV-19/Argentina/PAIS-E0298/2021|EPI_ISL_3033079|2021-06-23,EPI_ISL_3033079,2021-06-23,Argentina
hCoV-19/Argentina/PAIS-E0320/2021|EPI_ISL_3260104|2021-06-25,EPI_ISL_3260104,2021-06-25,Argentina
hCoV-19/Argentina/PAIS-G0326/2021|EPI_ISL_3230016|2021-07-27,EPI_ISL_3230016,2021-07-27,Argentina
hCoV-19/Argentina/PAIS-G0328/2021|EPI_ISL_3230018|2021-07-27,EPI_ISL_3230018,2021-07-27,Argentina
hCoV-19/Argentina/PAIS-G0335/2021|EPI_ISL_3230025|2021-05-12,EPI_ISL_3230025,2021-05-12,Argentina
hCoV-19/Argentina/PAIS-G0340/2021|EPI_ISL_3860393|2021-08-13,EPI_ISL_3860393,2021-08-13,Argentina
hCoV-19/Argentina/PAIS-G0341/2021|EPI_ISL_3860395|2021-08-16,EPI_ISL_3860395,2021-08-16,Argentina
hCoV-19/Armenia/IMB5-14/2021|EPI_ISL_3543613|2021-06-26,EPI_ISL_3543613,2021-06-26,Armenia
hCoV-19/Armenia/IMB5-24/2021|EPI_ISL_3543616|2021-06-28,EPI_ISL_3543616,2021-06-28,Armenia
hCoV-19/Armenia/IMB6-4/2021|EPI_ISL_3543620|2021-07-30,EPI_ISL_3543620,2021-07-30,Armenia
hCoV-19/Armenia/IMB6-9/2021|EPI_ISL_3543625|2021-07-31,EPI_ISL_3543625,2021-07-31,Armenia
hCoV-19/Armenia/IMB7-11/2021|EPI_ISL_3543635|2021-08-03,EPI_ISL_3543635,2021-08-03,Armenia
hCoV-19/Armenia/IMB8-7/2021|EPI_ISL_3543643|2021-08-05,EPI_ISL_3543643,2021-08-05,Armenia
hCoV-19/Armenia/UW-ARM28/2020|EPI_ISL_1854622|2020-08-20,EPI_ISL_1854622,2020-08-20,Armenia
hCoV-19/Aruba/AW-RIVM-10101/2020|EPI_ISL_547445|2020-03-13,EPI_ISL_547445,2020-03-13,Aruba
hCoV-19/Aruba/AW-RIVM-13663/2021|EPI_ISL_1090199|2021-02-12,EPI_ISL_1090199,2021-02-12,Aruba
hCoV-19/Aruba/AW-RIVM-16766/2021|EPI_ISL_1289134|2021-02-28,EPI_ISL_1289134,2021-02-28,Aruba
hCoV-19/Aruba/AW-RIVM-17625/2021|EPI_ISL_1371260|2021-03-05,EPI_ISL_1371260,2021-03-05,Aruba
hCoV-19/Aruba/AW-RIVM-18286/2021|EPI_ISL_1457612|2021-03-10,EPI_ISL_1457612,2021-03-10,Aruba
hCoV-19/Aruba/AW-RIVM-31205/2021|EPI_ISL_2094342|2021-04-30,EPI_ISL_2094342,2021-04-30,Aruba
hCoV-19/Aruba/AW-RIVM-31239/2021|EPI_ISL_2094347|2021-04-30,EPI_ISL_2094347,2021-04-30,Aruba
hCoV-19/Aruba/AW-RIVM-33488/2021|EPI_ISL_2303363|2021-05-10,EPI_ISL_2303363,2021-05-10,Aruba
hCoV-19/Aruba/AW-RIVM-38687/2021|EPI_ISL_2610149|2021-05-31,EPI_ISL_2610149,2021-05-31,Aruba
hCoV-19/Aruba/AW-RIVM-41515/2021|EPI_ISL_2787905|2021-06-20,EPI_ISL_2787905,2021-06-20,Aruba
hCoV-19/Aruba/AW-RIVM-41531/2021|EPI_ISL_2787922|2021-06-16,EPI_ISL_2787922,2021-06-16,Aruba
hCoV-19/Aruba/AW-RIVM-44195/2021|EPI_ISL_3057818|2021-07-11,EPI_ISL_3057818,2021-07-11,Aruba
