NewYork,Bronx,Kings,Queens,Richmond,Nassau,Suffolk,Westchester
NewYork,NA,Inf,Inf,0,535.6,0.3,1.3,7.1
Bronx,22,NA,2.6,0,0.1,0,0.1,0
Kings,0,0.2,NA,Inf,1,38.5,0.6,0
Queens,Inf,Inf,1.9,NA,0.2,0,1.2,14.6
Richmond,0.8,0.1,0.2,0,NA,23.3,0.1,0.1
Nassau,0.3,0.2,0,Inf,Inf,NA,NA,3.4
Suffolk,0.1,0,0,0.1,0,Inf,NA,0
Westchester,1,0.2,0.1,0.3,2.2,0.2,0.1,NA
