# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Jul 12 13:07:51 CEST 2022 [seed=1657624070736]
# -overwrite All_clades.xml
state	joint	prior	likelihood	coordinates.precision.col11	coordinates.precision.col12	coordinates.precision.col21	coordinates.precision.col22	correlation	coordinates.varCovar.coordinates.precision.col11	coordinates.varCovar.coordinates.precision.col12	coordinates.varCovar.coordinates.precision.col21	coordinates.varCovar.coordinates.precision.col22	coordinates.diffusionRate28	coordinates.diffusionRate89	coordinates.diffusionRate128	coordinates.diffusionRate150	coordinates.diffusionRate157	coordinates.diffusionRate233	coordinates.diffusionRate290	coordinates.diffusionRate292	coordinates.diffusionRate293	coordinates.diffusionRate294	coordinates.diffusionRate296	coordinates.diffusionRate314	coordinates.diffusionRate363	coordinates.diffusionRate423	coordinates.diffusionRate521	coordinates.diffusionRate615	coordinates.diffusionRate642	coordinates.diffusionRate647	coordinates.diffusionRate837	coordinates.diffusionRate957	coordinates.diffusionRate1036	coordinates.diffusionRate1047	coordinates.diffusionRate1060	coordinates.diffusionRate1061	coordinates.diffusionRate1072	coordinates.diffusionRate1073	coordinates.diffusionRate1091	coordinates.diffusionRate1128	coordinates.diffusionRate1158	coordinates.diffusionRate1274	coordinates.diffusionRate1275	coordinates.diffusionRate1286	coordinates.diffusionRate1300	coordinates.diffusionRate1345	coordinates.diffusionRate1356	coordinates.diffusionRate1420	coordinates.diffusionRate1433	coordinates.diffusionRate1448	coordinates.diffusionRate1518	coordinates.diffusionRate1571	coordinates.diffusionRate1578	coordinates.diffusionRate1581	coordinates.diffusionRate1627	coordinates.diffusionRate1723	coordinates.diffusionRate1784	coordinates.diffusionRate1926	coordinates.diffusionRate2037	coordinates.diffusionRate2072	coordinates.diffusionRate2135	coordinates.traitLikelihood28	coordinates.traitLikelihood89	coordinates.traitLikelihood128	coordinates.traitLikelihood150	coordinates.traitLikelihood157	coordinates.traitLikelihood233	coordinates.traitLikelihood290	coordinates.traitLikelihood292	coordinates.traitLikelihood293	coordinates.traitLikelihood294	coordinates.traitLikelihood296	coordinates.traitLikelihood314	coordinates.traitLikelihood363	coordinates.traitLikelihood423	coordinates.traitLikelihood521	coordinates.traitLikelihood615	coordinates.traitLikelihood642	coordinates.traitLikelihood647	coordinates.traitLikelihood837	coordinates.traitLikelihood957	coordinates.traitLikelihood1036	coordinates.traitLikelihood1047	coordinates.traitLikelihood1060	coordinates.traitLikelihood1061	coordinates.traitLikelihood1072	coordinates.traitLikelihood1073	coordinates.traitLikelihood1091	coordinates.traitLikelihood1128	coordinates.traitLikelihood1158	coordinates.traitLikelihood1274	coordinates.traitLikelihood1275	coordinates.traitLikelihood1286	coordinates.traitLikelihood1300	coordinates.traitLikelihood1345	coordinates.traitLikelihood1356	coordinates.traitLikelihood1420	coordinates.traitLikelihood1433	coordinates.traitLikelihood1448	coordinates.traitLikelihood1518	coordinates.traitLikelihood1571	coordinates.traitLikelihood1578	coordinates.traitLikelihood1581	coordinates.traitLikelihood1627	coordinates.traitLikelihood1723	coordinates.traitLikelihood1784	coordinates.traitLikelihood1926	coordinates.traitLikelihood2037	coordinates.traitLikelihood2072	coordinates.traitLikelihood2135
0	-2013.4282326884486	-555.808396344706	-1457.6198363437427	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	26980.99672962469	24928.31232385442	1573.7615196112577	3258.046270266584	953.7661861649276	16910.125843304428	2457.9383196396843	1740.8132936159973	32716.51372997499	64964.30673650817	1916.4386834890734	10767.237831063178	17023.32166201692	2852.966720812278	3576.794083562464	2663.457728223866	37708.76303403404	42654.419573978856	14155.841071718705	217931.14245569796	1704.6624166430313	620.499016874235	16731.574461407363	22178.67426802047	2732.731851921543	1621.9165114109105	246.72148556123705	3506.684992260405	179909.9206760148	30647.07436580307	14577.766246278235	10185.96363648514	8116.229211916897	29796.391383385562	1564.2070368697666	3912.676499181495	2357.0215791754085	1816.2315377465452	4161.5970187246	1265.4413565620616	27847.384746576958	35369.253047285914	1853.7408438146726	22161.806647391862	25196.952021176337	1719.1338951966286	31896.321483112763	4838.461445783048	97062.50227785866	-26.827332233160437	-40.486138309737925	-26.18191743554655	-27.018886995856505	-27.119052008603852	-38.78986400449484	-25.62272739154802	-52.208182811288985	-31.38074980964464	-29.20630708641982	-28.87749731497745	-35.954140537108714	-32.5196675368722	-31.050336368094907	-33.149531548911646	-31.191726026408325	-26.15032084226661	-26.56193990307743	-24.344274721270878	-26.993987178151855	-29.27461604274083	-27.179951992058438	-38.38571967607807	-27.89135379714736	-29.305992347812797	-37.89887196259063	-26.523857350901544	-29.26679328100864	-27.089731614713195	-25.81741813210958	-26.963099439957578	-26.944895285704874	-24.557662710754197	-26.794840614076186	-34.41634926728379	-32.04752544388941	-29.98782482384617	-26.32218846317312	-27.04328734688673	-37.529186927133814	-29.80424462617229	-25.383683576121143	-26.44138414295658	-26.93351616363947	-25.57123930391082	-26.567656261768384	-30.184223303841407	-27.16692511346255	-26.691217268560813
100000	-1458.9026473410295	-647.4992326217828	-811.4034147192466	2.4789390629277124	0.8391245246723087	0.8391245246723087	4.76115453333408	-0.24425156204079942	0.4289915087375738	-0.07560714388444621	-0.07560714388444621	0.2233583894890242	5756.599969684656	4343.535231007264	114.46118518718977	699.4785119843082	466.1559231388524	3701.0999219322684	974.0606365008567	475.9411935431913	4367.3501985850935	6822.608311920714	342.56501663790954	1771.3140057074631	9427.04073300844	466.19492774384037	1615.0622983083158	419.61746329451773	6207.083424440393	12199.692313736057	1651.013339213814	32036.3403162172	514.4716226415936	134.1150080227003	4816.26922451954	3964.2051380662338	228.31217881888497	398.86563814561885	572.6874257107313	501.26969652118277	13187.554024786356	2595.3888440197525	4810.361582049489	2067.5218915786672	901.8924569378485	5338.816927226007	547.3252193394561	398.6132625487363	416.4536759682314	698.1888446238552	692.4549282985554	187.79427439434548	3769.354911756632	2818.24072886822	437.1103597403943	1171.554743457809	2295.416013887618	130.29512114806346	4468.831506598359	1068.6980364316757	17207.25642514371	-13.186477716069643	-10.748333907014494	-14.37579195120163	-15.343424811933145	-15.923789074976806	-12.270167202841899	-12.570557853823349	-205.60339459566	-11.094244248239661	-15.67303077731545	-13.561008184069308	-7.845370053113368	-10.940873521587365	-11.366843421125283	-14.60646626062121	-0.6935205511291169	-13.460040006364544	-14.28832893196699	-12.352414276497552	-17.111638387643957	-12.073269861078273	-13.672846202465045	-8.786839565652208	-10.823168166104033	-13.634744462300374	-12.128216043533534	-15.767982206256702	-11.473688816224875	-13.06374504456172	-14.317365752932375	-16.579410747803554	-15.449673340410833	-11.213273997182034	-14.347413502008013	-8.244616973254177	-10.42717339307363	-13.798354135362413	-14.168229252583155	-14.910736352371007	7.15793159032971	-14.785586088443136	-13.693614662055825	-15.023853347414043	-16.20865881009873	-11.833432495586402	-12.12865493273454	-12.743680105456384	-15.94414239231842	-18.303259927116073
200000	-1300.7132415309222	-666.8779137462536	-633.8353277846686	5.216659754120952	3.1272899910389578	3.1272899910389578	4.9181333743153255	-0.6174072827268555	0.3097785874736467	-0.1969786913677159	-0.19697869136771587	0.32858187588033466	2156.7410782476945	5259.943433632279	235.0515369357319	456.9221858677564	361.29368631545526	4015.0352873593324	340.50121228810576	457.594812437306	3847.8000077865454	8936.009090483527	318.1949559294412	1492.121910137129	5136.401502614508	648.4351998182997	524.1567624456874	490.08888759700153	3994.968221402989	16030.000033107846	2577.5479203441796	6054.810986740908	777.3243618123458	180.52973694322097	3355.5323759000685	6236.022159551371	209.71666253309465	312.02095217577704	165.69129266566247	1043.5496940324836	40264.601384794965	2372.733443711467	1526.6639069442606	2006.3231432953287	1504.9006963009444	3519.5412641579674	410.56582171980534	361.7841794316893	479.41175220892825	543.4482973218957	900.7045319117016	285.2551187898212	3565.6762439738955	3237.8397148707954	679.6873329918953	3109.6606690780895	3012.379713136255	182.5852353635302	4866.873245354692	512.4754383261826	3944.108661936209	-11.91347842092103	-6.639947004199488	-11.282963439913088	-14.19556145779702	-16.575989635392038	-11.269178580240032	-12.101220596509334	-75.79275379531214	-10.759461970895389	-12.208449804866651	-10.048345677695433	-9.170762539438558	-12.437122519604994	-11.921077595946816	-12.636833328926306	-1.2603206853909779	-11.875207565911447	-12.667708510939365	-12.341312904301887	-12.374841663345384	-12.270083103089366	-14.075266774776232	-7.253156332725953	-11.049677961529202	-9.627765493432864	-12.80263013560419	-11.030371403182532	-12.90942390906302	-14.979526483034867	-12.994765789697603	-12.662736311015568	-12.725255877720423	-12.219008586465492	-11.902366878144653	-7.067788422171139	-10.916463810125316	-13.328920875849349	-15.867724619428639	-13.854209726210671	4.984656972323197	-12.58475495857407	-11.888332867642998	-15.272478360614878	-12.583502951588555	-11.548343473989565	-12.207385135970565	-16.144239389092903	-15.200233989974704	-12.381033438728942
300000	-1192.251972330811	-627.6750346722135	-564.5769376585976	5.118368419400383	-1.4137887547060968	-1.4137887547060968	2.1270822405852163	0.428476108089648	0.2393101315820717	0.15906012774799191	0.1590601277479919	0.575848642126423	6364.822358604323	5790.095329253657	140.45661385107303	356.410241249502	432.13341158859	4018.2617522720893	454.46100366299544	490.9406243392984	7647.274754029043	9984.082187955526	384.6816500022098	2972.050431713979	7484.590298598802	494.28338604379974	385.38391438520574	682.8078590627717	3246.5230084537106	21132.828956346053	8352.234406618332	15499.034495745926	857.3025854453938	182.4823664051904	2988.1901620300137	4786.31826198466	197.6348390655764	353.5188208365869	316.1457434144531	515.9040321734794	25170.66704119283	3325.5563461220595	1194.903323345334	5898.595456627884	2663.773830703083	4243.285576676843	332.4290628040697	445.83003188469615	278.2258057338853	1277.8049740743447	501.2681252409838	217.50955409460195	2757.453808144848	3336.8020643942787	433.7377750889214	811.2879478363143	1359.8534656523652	81.5484447260023	6989.68303929065	717.2212856734079	7776.613312298529	-14.537845485053818	-5.4542127110256065	-12.73325988373589	-14.35345517436679	-16.23946873648613	-5.069037372912794	-15.819259749055602	45.591273904606474	-12.178820352443118	-15.08200409496542	-10.415623626847264	-14.0279040825432	-14.071626662715943	-13.311487054110497	-20.010253627340255	-1.3008010188587633	-11.610466279507998	-14.764668822806081	-13.853469471327244	-13.746916213238327	-12.919758503415503	-13.567268441499662	-10.28115761079279	-11.058276794013025	-12.644720636278217	-14.539746171525787	-12.743312339708082	-11.796346030516162	-15.734287118750688	-13.993631129693267	-13.282504010765415	-14.371705117309768	-12.599341230700578	-13.56607518524804	-8.361767738323579	-11.902749349005855	-13.701269252000492	-14.233613142144684	-14.044416241692852	2.433623896952284	-12.948009901600589	-13.760932074956441	-19.41251556118639	-14.256887517624058	-11.396705219699014	-13.937020417079674	-13.179311847462252	-16.922425425641705	-12.865501032181148
400000	-1120.950101491502	-623.7429220570044	-497.2071794344975	7.728160510444824	-0.9280346837761845	-0.9280346837761845	2.5498606606991454	0.20905854160150053	0.13531071736454925	0.04924701993971203	0.04924701993971203	0.4101019944713172	3611.488221871882	3597.6182223374526	106.58998209445025	429.17774088598867	304.818224262323	3191.65553273584	372.755065919783	445.0274072665759	5563.681783115211	10017.218043484296	273.8596770536965	1673.97128325076	3348.3132896148113	351.48504787495006	602.7589432592891	500.2716348686639	6267.7796550690555	11263.525955694	1080.862707083992	42365.03428954549	556.4886413052552	178.3436112530732	3370.4113764323847	4313.931948941165	169.86029036573953	312.88554519330677	373.8439311545184	379.17584102588677	10061.093226741426	3571.424577376945	1490.8801129631825	1254.6853327322615	1730.4889430287988	1601.6537068253642	364.5392379528266	432.6821817173012	396.0079790717845	458.382763273705	518.4976846642847	297.369999774835	2223.63263396318	5030.491390894227	325.84482553293725	3050.26236408652	544.105913863275	118.24908375736997	8035.968044761455	659.5397237770596	12665.699958199612	-15.225196473115966	-2.9909565050527593	-10.867597306251877	-13.909026253601587	-15.416472874599254	-6.371486393307093	-16.142906299506972	53.69893925331449	-9.990805952098288	-13.995119075918982	-11.063861312980043	-8.027597725449933	-12.715402383253121	-12.471344232199552	-12.5258182826461	1.982580272680032	-15.0695704778156	-14.226863870707877	-10.181223705633023	-13.593554302692946	-17.711255154027704	-12.337353127493053	-7.2982664477543056	-14.145765576875524	-10.571448988171287	-9.562691204401748	-11.88685600011894	-9.413412372612564	-13.284457777473765	-13.357007565416708	-13.386765287423035	-12.87964427576995	-14.561536919589646	-11.308654743852696	-7.490086171945678	-11.220951629351145	-15.329275098350383	-12.992657045687308	-14.826715383374278	5.908729673788411	-11.473906350797805	-9.643329628310427	-12.890536576645692	-14.253417130966554	-10.412446911468422	-12.024404046930277	-12.999117416748394	-13.401362541052254	-13.349303834840004
500000	-1266.2829218557408	-636.4615351698151	-629.8213866859257	2.5562463950499916	-0.12115413184350503	-0.12115413184350503	1.5026506939724795	0.061816990115706585	0.3926992330895733	0.031662138680281234	0.03166213868028123	0.6680434800654362	5777.210769458062	5608.247455991482	702.986179061637	650.4097272544194	447.3000346329267	3635.9431008897436	430.996167958804	491.262931632698	6330.8539206792175	8488.08465111554	758.1083232542478	2340.4356067320246	5291.211856352535	758.1510143422292	496.8664931895847	706.3559820608245	3531.54942125494	41824.60529275092	1712.1652899165433	16389.11545162204	685.3839576723369	163.0284281903228	4944.96972749764	5611.75778682461	232.7166450033228	287.94056476160375	194.87397083126032	690.2151985052543	29045.63287033181	3340.7212831394045	1243.1314620096066	5510.412066455976	2524.8924744067494	3259.312637004225	515.7109176572804	878.4593510890891	710.0984636348895	913.1990198545878	552.791216538257	277.1922431628631	5491.592153286232	1758.2442752362167	347.51370116861005	2586.4009534491533	3008.361627439005	219.83246485881241	6705.089715750806	1052.1448898360447	31304.540652937987	-16.672786626223697	-8.11530990027308	-13.642991178099713	-14.558844751246822	-16.333667639451086	-11.380764553024267	-13.726481596453485	47.778374050514984	-16.67201965420481	-15.029389030416539	-14.1052277326692	-9.90521029279121	-14.017740979745264	-15.76848475981019	-15.349660501839784	-2.922263033122194	-14.815056203035866	-21.347644455980216	-13.909072890641417	-15.554694749224998	-16.338062425792053	-18.210173237291958	-14.097008490820519	-12.658521058201952	-11.265691209219964	-9.178315169517422	-13.45103746141802	-14.564612163120133	-16.824345201337863	-13.692292471377987	-15.38231567886728	-18.911037197528103	-15.171655090198938	-13.897205296460639	-10.058278847097185	-13.553452798366287	-17.128018203421767	-15.096405094333196	-17.42529264052541	0.2984142064989399	-16.284391393558145	-11.514014239254335	-15.058461437486194	-14.070382951521664	-16.436587896788918	-17.87210819147628	-13.59671137656225	-16.08948375810033	-16.24500343504102
600000	-1197.1156795806874	-673.552869201242	-523.5628103794454	2.8780868308653207	0.5991826921755542	0.5991826921755542	6.422248994697073	-0.13936821704462454	0.35433546842229147	-0.0330587742826326	-0.033058774282632604	0.15879300946082275	2323.7572164238427	3834.59550134968	169.5594079187839	291.15755893733126	482.1325819362031	2504.6301074708367	503.81630025763394	508.98385761112957	2859.4965010128944	13118.690182459453	361.0706392367768	2354.94294840828	3738.9109540011013	750.65289537126	582.1129292997251	537.6279447519884	1916.2588803632284	19859.831971388678	867.5778651667698	11259.314190286233	647.9802759216758	260.5212044247769	3670.07598204048	4162.181187364593	171.99761730241488	250.04390351225342	145.25735669721706	1756.4784791481056	18016.63194991359	3265.4438353245855	1172.0369264117137	1483.8795694384587	1811.189466557477	1734.9138524919608	273.2610585817269	273.68042110813957	447.15816369034167	432.95575825130913	672.6063100282419	201.6675548892603	3430.6609202170152	2553.1929237339764	349.28014515421586	2698.9416816816797	2925.753834173718	1163.4538604477948	3954.1462372928445	459.4841744703509	7492.57560386816	-13.873211064130304	-5.851303884800078	-9.814602382706154	-12.944583630905072	-14.768112717510675	-12.13206612992153	-11.835110990532192	31.89971711544613	-10.275375788410864	-15.067856635702045	-10.2896946649665	-7.548529950681161	-9.037614223099919	-12.823087772369794	-13.298774926125326	1.0522859958289388	-10.301564802358847	-13.233192818044214	-10.230187454167668	-15.089674837245544	-12.006256093207075	-14.519646552347133	-11.206610431425078	-10.159714955934184	-10.831383819905486	-10.101017374842304	-13.018582847194757	-11.858935352948427	-16.08439725011275	-12.69008655489889	-12.555693264508069	-10.479286003039485	-12.349616647109281	-14.151804566207922	-5.572209691080847	-12.223435890044644	-16.123385259634194	-13.560513489420028	-13.7372845715876	5.73175213092744	-12.59388166191652	-11.988555499271083	-14.153852756960612	-15.181019377605878	-10.028846270252686	-16.046983331491727	-13.355302370100441	-14.863881693081755	-12.389837371841217
700000	-1193.1546226343755	-657.812231817557	-535.3423908168186	4.9858737596095395	-1.9958034077057536	-1.9958034077057536	3.1501936705363356	0.5035916186466339	0.268713645085687	0.17024337696283318	0.1702433769628332	0.4252983949566679	2362.455436492293	4610.889186806007	756.5270598483651	290.34868511918813	582.3550346581544	4793.264551143317	330.50649531736815	479.33882258864014	4467.34077970986	7457.179168115225	273.7102035175071	1099.7336609116264	4671.909227595215	954.5963795443098	484.47016551232315	838.1006981540176	2554.551388920732	20093.013158602025	1237.5649707409948	11371.675316834178	672.869626061914	502.5895751111393	2479.7160742096466	7311.48061234609	252.7636637338521	486.6699110959909	104.61465596081065	543.8050793820007	22985.13370913922	4385.868040945523	744.594301894325	2022.831803726392	891.3540784713331	2452.046131831292	474.9701663256672	560.2155830265305	369.7005519208205	511.44765379982414	558.8639952789692	187.67250636994282	3450.3017440103276	1541.7538250958278	363.4234871395712	2316.8000514884893	4304.0903918381355	134.36277243384788	7684.398845220136	750.6192268029178	7981.451926810047	-13.108476548803992	-5.449880642683	-11.18862940100964	-12.008006609188355	-17.056963500799398	-12.890831958044465	-12.268215299455136	54.41663506037381	-12.102930511387303	-13.954208008716886	-11.187958318079025	-7.5462114222271826	-13.2135860796585	-12.90130329412041	-14.360650540950012	-1.4211343910907743	-12.334317560760526	-14.815273187155487	-10.70520543069724	-14.038152980323899	-13.156830633489664	-15.493187367788556	-8.976190622245351	-11.045084360758615	-9.949149207580145	-13.92345764592087	-13.224784580018444	-10.679200386063947	-14.920474871192432	-12.786572540125368	-12.93068503324154	-15.403909648284287	-10.980350311948962	-13.197700953020615	-6.721824307914341	-12.091877909209312	-14.914673210957895	-15.569299730286147	-17.40982416415624	0.1168274731120782	-12.250775778050702	-10.852626054261183	-15.050543558976562	-14.794266535415511	-11.766624439817999	-13.272016190010238	-15.834615484298883	-15.389244959606517	-14.73812718051279
800000	-1109.0892114243525	-650.635552424234	-458.45365900011853	7.839531778864949	4.136269831560746	4.136269831560746	10.95339311808725	-0.4463643101642093	0.15929718428331288	-0.06015452294098801	-0.06015452294098802	0.11401173362531641	5898.455316741168	3729.0878442830226	88.48401426453943	321.9351380509993	374.5563290286987	3531.0338900719707	172.26778607420786	468.9221596705338	4944.751389473321	5780.747544025857	350.47582552280284	1246.9861925082712	3336.366970731135	419.2429759476229	728.1240492969393	370.99535188169773	2133.6626402572615	20524.9049234035	1298.0985899392053	27311.01348609827	639.8328963275195	162.19745408116776	3208.4682701859947	4078.7951906483163	136.28533005592004	279.16152350091824	88.50063483117556	476.4986957048363	16622.15508011949	3052.4845519434207	1286.62474988355	1484.1186877318535	751.203574265322	1438.6057071544033	304.0416950366029	248.84710859867207	353.61195670777914	524.1309540929971	491.13085625661813	167.2776469867244	1909.3510267044205	2682.2533701620428	290.57015960888333	695.611965378756	1693.246935617178	93.71380661820804	6912.785443016876	710.9392584481844	8077.475991889872	-11.407596559809939	-5.514601952842348	-9.001252158670212	-12.7437652774269	-12.626772897831156	-10.110350784282552	-11.059615638651138	9.112730409233006	-7.23968435563191	-12.87676775528252	-12.94956643438529	-3.2309533380263105	-14.01110679454175	-10.138803277001065	-14.287002562636324	6.040800060793309	-12.247335509674869	-13.291087885836085	-7.740668238434662	-12.273650811593708	-11.005778782641311	-12.340506041637687	-2.3925096209945913	-10.115048039265867	-9.098844867033426	-7.42019140986327	-9.138228226080575	-8.726643376160977	-12.051748662792452	-12.90739319865931	-13.62520234029573	-10.21143800865774	-9.397571806604478	-10.812229059657083	-3.123988479785247	-6.1305352777583675	-14.019632494716141	-13.613874707815132	-11.26887645870902	5.483281389301016	-10.041741059130587	-10.090141545157008	-12.87066803821082	-12.48973819442033	-9.226624103035917	-8.233770647459082	-11.878349389823356	-13.309557679158385	-10.799057111363263
900000	-1224.1651097323343	-654.3662947860747	-569.7988149462594	2.033352695595104	-0.5500473638016371	-0.5500473638016371	16.974072774684625	0.0936269120067897	0.4961478267543478	0.016077744439104473	0.016077744439104473	0.05943438173831854	4983.106944864861	4974.028044047965	165.30236793773392	381.853643914427	286.1593761847113	5275.80562477925	282.20557053920265	500.22894706029416	3657.7883038805717	9636.617081980276	330.4817605716057	1675.861556826451	16881.858915497476	647.8024048825363	676.8078230348992	805.1285164515253	3003.9683803982343	20522.14402065595	977.0220299763921	17834.77069002584	909.0750430853557	184.0271298289627	2196.40223723748	4036.0711023516906	249.200227104428	448.99735778561575	188.6474340476442	371.64717199191443	16400.82055100151	4751.497823078157	9616.192527450316	1153.9412165937736	1136.5343552477161	1665.136547984629	304.89953314500326	745.4703900571589	457.79054963205715	899.1565988643075	516.1077702428237	273.1487805187719	4049.449904297988	6363.305786387025	401.74808868474474	5017.9266878725375	2470.439484118253	464.57542467470387	8846.719817633735	705.6968310551688	15358.687093972901	-11.714868638934892	-21.33034567198993	-11.01083835733311	-13.562265015619204	-16.174219257553595	-21.697017903573503	-13.738258430676815	-3.9167924690475076	-8.815653800403231	-13.43332922045284	-12.125011148791446	-6.424663118511569	-13.598398303553488	-11.19749279320752	-14.188888470279746	0.6472328032442078	-10.437767618166635	-12.687864868646525	-9.681193894023306	-14.051119721597551	-14.967368991223422	-16.25636016768211	-4.476948208336108	-11.895902624806562	-9.601879201414656	-10.864177234900588	-12.315683141456478	-9.079249188837728	-16.994765787230612	-13.739865428190566	-14.797124602994462	-10.045905858874137	-12.498979533107578	-12.36367395665119	-3.1549892809128206	-6.694314255831854	-13.877777931017734	-15.501711907405692	-12.726805791022407	3.157910176629617	-8.918331316297547	-9.843905916158526	-15.345005377151132	-14.300552465511917	-10.288502332421679	-12.680150229247314	-12.719640904596847	-15.626639959423152	-12.241757631065822
